"('date', '')","('open', 'BGH')","('high', 'BGH')","('low', 'BGH')","('close', 'BGH')","('volume', 'BGH')"
2024-01-02 00:00:00+00:00,11.167357216733851,11.217063903808594,11.059660843183723,11.217063903808594,61200
2024-01-03 00:00:00+00:00,11.225348668827232,11.25848619740432,11.167357401271579,11.200495719909668,73500
2024-01-04 00:00:00+00:00,11.142505964619195,11.283340677701208,11.142505964619195,11.241918563842773,44700
2024-01-05 00:00:00+00:00,11.266769024447711,11.341327859602316,11.258484446076906,11.316474914550781,38900
2024-01-08 00:00:00+00:00,11.341331657905522,11.391038354716644,11.308194123385157,11.333047866821289,39900
2024-01-09 00:00:00+00:00,11.266769750596302,11.366182327270508,11.266769750596302,11.366182327270508,62600
2024-01-10 00:00:00+00:00,11.308195606133483,11.415892804961384,11.308195606133483,11.391039848327637,61100
2024-01-11 00:00:00+00:00,11.324762886341889,11.399322533898875,11.324762886341889,11.382753372192383,43000
2024-01-12 00:00:00+00:00,11.333047866821289,11.37446919242589,11.32476328567591,11.333047866821289,56000
2024-01-16 00:00:00+00:00,11.357897016343925,11.391034539766265,11.291621969499246,11.316474914550781,57600
2024-01-17 00:00:00+00:00,11.333046948208693,11.349615319095339,11.250202723592237,11.30819320678711,62700
2024-01-18 00:00:00+00:00,11.374466116114327,11.415888220577145,11.349613169461009,11.366182327270508,52300
2024-01-19 00:00:00+00:00,11.415890382764072,11.415890382764072,11.233634352705591,11.30819320678711,60700
2024-01-22 00:00:00+00:00,11.405045191928295,11.480188370479633,11.371648312154859,11.463489532470703,107800
2024-01-23 00:00:00+00:00,11.51358524879364,11.605426469097845,11.45514090825864,11.49688720703125,98400
2024-01-24 00:00:00+00:00,11.580376627767256,11.605424083384078,11.57202721048023,11.597075462341309,54100
2024-01-25 00:00:00+00:00,11.647171020507812,11.680567895266663,11.580377270990114,11.647171020507812,45600
2024-01-26 00:00:00+00:00,11.68057076565903,11.697269605264191,11.61377699972738,11.638824462890625,35900
2024-01-29 00:00:00+00:00,11.680568695702734,11.730664409396075,11.647171818655293,11.697267532348633,58200
2024-01-30 00:00:00+00:00,11.697265621637925,11.722313076270996,11.672217370760627,11.680566787719727,33200
2024-01-31 00:00:00+00:00,11.663869856899375,11.672218478406498,11.6388216036451,11.65552043914795,54900
2024-02-01 00:00:00+00:00,11.7640603263192,11.772409743960711,11.663869703353937,11.68891716003418,46600
2024-02-02 00:00:00+00:00,11.68892018546161,11.68892018546161,11.62212641952996,11.638824462890625,49400
2024-02-05 00:00:00+00:00,11.663869358971866,11.663869358971866,11.538630486779814,11.546979904174805,109000
