"('date', '')","('open', 'ARIS')","('high', 'ARIS')","('low', 'ARIS')","('close', 'ARIS')","('volume', 'ARIS')"
2024-01-02 00:00:00+00:00,8.01847285012037,8.58437002707949,7.912966953372567,8.334991455078125,330100
2024-01-03 00:00:00+00:00,8.258259141593376,8.651510360948157,8.128774932180384,8.344582557678223,369600
2024-01-04 00:00:00+00:00,8.402133053197963,8.402133053197963,7.8554183084535865,7.9225592613220215,259700
2024-01-05 00:00:00+00:00,7.9609242418449035,8.15275355429727,7.759503235091339,7.98969841003418,285500
2024-01-08 00:00:00+00:00,7.960924127531868,8.018472463084068,7.692363093954893,7.9992899894714355,246400
2024-01-09 00:00:00+00:00,7.922557520048964,7.922557520048964,7.747033009289394,7.797868251800537,154000
2024-01-10 00:00:00+00:00,7.76909492245589,7.807460784912109,7.625222252209336,7.807460784912109,192600
2024-01-11 00:00:00+00:00,7.79786849868711,7.80554112176734,7.558081647859269,7.74031925201416,99700
2024-01-12 00:00:00+00:00,7.884191911339411,7.960923630427182,7.730728473163873,7.74031925201416,101000
2024-01-16 00:00:00+00:00,7.682771383446139,7.692363077589199,7.538899172800276,7.558082103729248,166700
2024-01-17 00:00:00+00:00,7.500533514813342,7.653996966416385,7.438188873260315,7.615631103515625,186200
2024-01-18 00:00:00+00:00,7.64440559161236,7.692363608279098,7.490942133593267,7.663588523864746,163000
2024-01-19 00:00:00+00:00,7.711546083174303,7.711546083174303,7.423801642031323,7.663588523864746,331400
2024-01-22 00:00:00+00:00,7.72113693249675,7.759502792800372,7.548490103773316,7.730728626251221,164400
2024-01-23 00:00:00+00:00,7.82664253125318,7.927353482535557,7.682770789094617,7.788276672363281,157600
2024-01-24 00:00:00+00:00,7.922558372280764,7.980106708607935,7.749911533870624,7.807460784912109,128100
2024-01-25 00:00:00+00:00,7.912967303204099,8.171937581280957,7.86980559019129,8.162345886230469,150300
2024-01-26 00:00:00+00:00,8.21989457537392,8.382949739283166,8.171937927518373,8.354175567626953,131900
2024-01-29 00:00:00+00:00,8.373357312101422,8.440498259717888,8.181527993299406,8.411724090576172,104000
2024-01-30 00:00:00+00:00,8.258258878075985,8.498045730787167,8.258258878075985,8.440497398376465,156100
2024-01-31 00:00:00+00:00,8.373356724801745,8.593961111986832,8.296625002662832,8.344582557678223,190700
2024-02-01 00:00:00+00:00,8.392540340095929,8.574777956435145,8.28511537736212,8.402132034301758,159200
2024-02-02 00:00:00+00:00,8.32540048947712,8.402132215348532,8.104796091561067,8.277442932128906,197500
2024-02-05 00:00:00+00:00,8.152753829956055,8.240995408139176,8.028064543967476,8.152753829956055,239400
2024-02-06 00:00:00+00:00,8.133570801079005,8.287035177743654,7.9705165587926405,8.162345886230469,305100
2024-02-07 00:00:00+00:00,8.229485466873431,8.392540614853445,8.076022013413262,8.306217193603516,217900
2024-02-08 00:00:00+00:00,8.267851642379226,8.454885119005693,8.267851642379226,8.39254093170166,136100
