"('date', '')","('open', 'C')","('high', 'C')","('low', 'C')","('close', 'C')","('volume', 'C')"
1977-01-03 00:00:00+00:00,6.68422932164901,6.727214813232422,6.68422932164901,6.727214813232422,47952
1977-01-04 00:00:00+00:00,6.727216369335939,6.748708724975586,6.705723223448999,6.748708724975586,34217
1977-01-05 00:00:00+00:00,6.748709747388149,6.748709747388149,6.68423188045368,6.705724239349365,15422
1977-01-06 00:00:00+00:00,6.684227644035298,6.684227644035298,6.598256682445546,6.662734508514404,39036
1977-01-07 00:00:00+00:00,6.6627376587601725,6.684230804443359,6.598259802205184,6.684230804443359,20482
1977-01-10 00:00:00+00:00,6.684230867809352,6.770201870862526,6.684230867809352,6.748708724975586,42892
1977-01-11 00:00:00+00:00,6.748708537753753,6.791694038087842,6.748708537753753,6.770201683044434,22169
1977-01-12 00:00:00+00:00,6.770201683044434,6.770201683044434,6.684230682376256,6.770201683044434,34940
1977-01-13 00:00:00+00:00,6.770199090856117,6.856169268360578,6.770199090856117,6.813183784484863,34458
1977-01-14 00:00:00+00:00,6.813183606055251,6.856169088805224,6.791691259803738,6.834676742553711,20723
1977-01-17 00:00:00+00:00,6.748708660998348,6.748708660998348,6.641245303324271,6.684230804443359,33735
1977-01-18 00:00:00+00:00,6.68423188045368,6.705724239349365,6.641246372414897,6.705724239349365,34217
1977-01-19 00:00:00+00:00,6.705721672317161,6.727214813232422,6.662736180733749,6.727214813232422,19759
1977-01-20 00:00:00+00:00,6.727216305562447,6.770201806681535,6.598259802205184,6.684230804443359,79518
1977-01-21 00:00:00+00:00,6.684230804443359,6.70572315987926,6.619752552764727,6.684230804443359,19277
1977-01-24 00:00:00+00:00,6.68423188045368,6.705724239349365,6.641246372414897,6.705724239349365,24096
1977-01-25 00:00:00+00:00,6.705723223448999,6.770201870862526,6.705723223448999,6.748708724975586,25060
1977-01-26 00:00:00+00:00,6.727216305562447,6.727216305562447,6.6627376587601725,6.684230804443359,22892
1977-01-27 00:00:00+00:00,6.68423188045368,6.705724239349365,6.619753618395506,6.705724239349365,26506
1977-01-28 00:00:00+00:00,6.68423188045368,6.705724239349365,6.619753618395506,6.705724239349365,26506
1977-01-31 00:00:00+00:00,6.684228946968072,6.684228946968072,6.619750713207248,6.6412434577941895,18072
1977-02-01 00:00:00+00:00,6.641245303324271,6.684230804443359,6.641245303324271,6.684230804443359,20241
1977-02-02 00:00:00+00:00,6.684228946968072,6.705721296431481,6.6412434577941895,6.6412434577941895,72048
1977-02-03 00:00:00+00:00,6.6412434577941895,6.705721296431481,6.576765224033365,6.6412434577941895,186988
1977-02-04 00:00:00+00:00,6.641242163240422,6.70571998930928,6.619749422842984,6.662734508514404,35663
1977-02-07 00:00:00+00:00,6.6627376587601725,6.70572315987926,6.641245303324271,6.684230804443359,20723
1977-02-08 00:00:00+00:00,6.68423188045368,6.7272173884924635,6.662738731310582,6.705724239349365,23614
1977-02-09 00:00:00+00:00,6.70571998930928,6.70571998930928,6.641242163240422,6.662734508514404,17349
1977-02-10 00:00:00+00:00,6.662737721922412,6.748708724975586,6.662737721922412,6.748708724975586,16386
1977-02-11 00:00:00+00:00,6.748707163900573,6.748707163900573,6.68422932164901,6.727214813232422,24819
1977-02-14 00:00:00+00:00,6.7272173884924635,6.7272173884924635,6.68423188045368,6.705724239349365,17349
1977-02-15 00:00:00+00:00,6.705724239349365,6.705724239349365,6.662738731310582,6.705724239349365,16867
1977-02-16 00:00:00+00:00,6.705724239349365,6.7272173884924635,6.662738731310582,6.705724239349365,25301
1977-02-17 00:00:00+00:00,6.70572315987926,6.727216305562447,6.684230804443359,6.684230804443359,22410
1977-02-18 00:00:00+00:00,6.684230867809352,6.748708724975586,6.662737721922412,6.748708724975586,26265
1977-02-22 00:00:00+00:00,6.748708724975586,6.748708724975586,6.705723223448999,6.748708724975586,17590
