"('date', '')","('open', 'BRX')","('high', 'BRX')","('low', 'BRX')","('close', 'BRX')","('volume', 'BRX')"
2013-10-30 00:00:00+00:00,11.878695086288635,11.99374342158502,11.654352039361152,11.734885215759277,24172100
2013-10-31 00:00:00+00:00,11.746388779834213,12.068522541777499,11.683112093723494,11.878693580627441,1771800
2013-11-01 00:00:00+00:00,12.05126958521516,12.05126958521516,11.798163863952025,11.953478813171387,1286100
2013-11-04 00:00:00+00:00,11.913208202505515,12.074275639700788,11.688865173383157,12.045514106750488,1257400
2013-11-05 00:00:00+00:00,11.907455913712855,12.05701719087178,11.792407595856064,11.855684280395508,1951100
2013-11-06 00:00:00+00:00,11.849924530032864,11.993734291083793,11.63708560091767,11.706114768981934,653100
2013-11-07 00:00:00+00:00,11.677356924809997,11.734881072146282,11.349470711329577,11.412747383117676,917200
2013-11-08 00:00:00+00:00,11.360974311828615,11.435754925804748,11.251678555541915,11.360974311828613,906600
2013-11-11 00:00:00+00:00,11.395492008946464,11.50478780025991,11.22292063081539,11.435758590698242,814000
2013-11-12 00:00:00+00:00,11.389735328338439,11.642840874820664,11.257430580224739,11.309202194213867,1589600
2013-11-13 00:00:00+00:00,11.257432549446106,11.533547140900064,11.148136778885718,11.516290664672852,496700
2013-11-14 00:00:00+00:00,11.504785650846816,11.677356996736775,11.441508978668963,11.619833946228027,1025800
2013-11-15 00:00:00+00:00,11.884443953505814,11.918958004594824,11.608329350429926,11.665853500366211,266600
2013-11-18 00:00:00+00:00,11.936218767165318,11.936218767165318,11.493284120674492,11.683113098144531,257800
2013-11-19 00:00:00+00:00,11.786655116633158,11.792407642266845,11.61983626198455,11.660102844238281,218600
2013-11-20 00:00:00+00:00,11.619836694364514,11.763646549011687,11.493283320078444,11.602579116821289,116900
2013-11-21 00:00:00+00:00,11.58532201219406,11.67160880625031,11.458769729924212,11.55080795288086,124800
2013-11-22 00:00:00+00:00,11.775149117895682,11.775149117895682,11.435757813091326,11.562311172485352,199800
2013-11-25 00:00:00+00:00,11.447263439710888,11.723378078718389,11.447263439710888,11.52779769897461,57200
2013-11-26 00:00:00+00:00,11.53355088692515,11.637094166646058,11.504789352416992,11.504789352416992,544500
2013-11-27 00:00:00+00:00,11.556559894615265,11.637093061334696,11.504788259672171,11.585321426391602,164800
2013-11-29 00:00:00+00:00,11.5853215768323,11.78090306756101,11.504788409067109,11.608331680297852,55700
2013-12-02 00:00:00+00:00,11.6083326321379,11.648599219322206,11.493284299740845,11.504789352416992,724200
2013-12-03 00:00:00+00:00,11.499034508296205,11.61408281750375,11.35522467037777,11.464520454406738,966500
2013-12-04 00:00:00+00:00,11.562310024426381,11.573815073625644,11.389737577983073,11.533547401428223,840000
