"('date', '')","('open', 'CRCL')","('high', 'CRCL')","('low', 'CRCL')","('close', 'CRCL')","('volume', 'CRCL')"
2025-06-05 00:00:00+00:00,69.0,103.75,64.0,83.2300033569336,47192000
2025-06-06 00:00:00+00:00,96.38999938964844,123.51499938964844,92.94999694824219,107.69999694824219,60706300
2025-06-09 00:00:00+00:00,132.72000122070312,138.57000732421875,108.4000015258789,115.25,45521100
2025-06-10 00:00:00+00:00,115.0,115.0,101.51000213623047,105.91000366210938,25517800
2025-06-11 00:00:00+00:00,107.0,120.48999786376953,106.5,117.19999694824219,26481400
2025-06-12 00:00:00+00:00,116.79000091552734,117.93099975585938,104.26000213623047,106.54000091552734,13416500
2025-06-13 00:00:00+00:00,108.80999755859375,134.72000122070312,108.80000305175781,133.55999755859375,34013600
2025-06-16 00:00:00+00:00,147.5399932861328,165.60000610351562,145.8800048828125,151.05999755859375,43781500
2025-06-17 00:00:00+00:00,156.36000061035156,164.4199981689453,143.52999877929688,149.14999389648438,31234200
2025-06-18 00:00:00+00:00,153.22000122070312,200.89999389648438,148.0,199.58999633789062,63566800
2025-06-20 00:00:00+00:00,231.5,248.8800048828125,206.1699981689453,240.27999877929688,92427200
2025-06-23 00:00:00+00:00,238.4600067138672,298.989990234375,232.47999572753906,263.45001220703125,99128700
2025-06-24 00:00:00+00:00,250.4199981689453,265.0,217.57899475097656,222.64999389648438,68222600
2025-06-25 00:00:00+00:00,218.5449981689453,227.5399932861328,198.0,198.6199951171875,49283200
2025-06-26 00:00:00+00:00,209.0399932861328,226.9499969482422,205.67999267578125,213.6300048828125,45550300
2025-06-27 00:00:00+00:00,223.64700317382812,223.64700317382812,175.60000610351562,180.42999267578125,48112100
2025-06-30 00:00:00+00:00,181.77000427246094,192.5,178.0,181.2899932861328,34461500
2025-07-01 00:00:00+00:00,184.6699981689453,194.0,171.5,192.52999877929688,31252100
2025-07-02 00:00:00+00:00,187.2100067138672,189.0,176.0,177.97000122070312,18546000
2025-07-03 00:00:00+00:00,182.1699981689453,192.5,181.38999938964844,188.77000427246094,17192000
2025-07-07 00:00:00+00:00,193.75,208.60000610351562,186.60000610351562,207.4600067138672,31640800
2025-07-08 00:00:00+00:00,199.5,209.5,196.0,204.80999755859375,22225500
2025-07-09 00:00:00+00:00,209.36000061035156,215.60000610351562,197.25,200.67999267578125,17934400
2025-07-10 00:00:00+00:00,208.83999633789062,209.57000732421875,199.0,202.89999389648438,12340100
2025-07-11 00:00:00+00:00,204.17999267578125,206.8000030517578,182.5,187.3300018310547,18227400
2025-07-14 00:00:00+00:00,189.27000427246094,204.91000366210938,185.5399932861328,204.6999969482422,15445200
2025-07-15 00:00:00+00:00,198.0,203.4600067138672,188.10000610351562,195.3300018310547,14758500
2025-07-16 00:00:00+00:00,203.0500030517578,239.697998046875,201.32000732421875,233.1999969482422,43669500
2025-07-17 00:00:00+00:00,225.5850067138672,244.36000061035156,220.00999450683594,235.0800018310547,29222500
2025-07-18 00:00:00+00:00,244.89999389648438,262.9700012207031,222.49000549316406,223.77999877929688,42877400
2025-07-21 00:00:00+00:00,226.39999389648438,231.8800048828125,213.3300018310547,216.10000610351562,19033100
2025-07-22 00:00:00+00:00,207.5500030517578,211.99000549316406,192.89999389648438,198.30999755859375,18485900
2025-07-23 00:00:00+00:00,198.3800048828125,202.5,195.0800018310547,202.41000366210938,10319800
2025-07-24 00:00:00+00:00,199.75,201.25,189.22999572753906,193.0800018310547,9085900
2025-07-25 00:00:00+00:00,192.5399932861328,195.6999969482422,187.5,192.86000061035156,6988500
