"('date', '')","('open', 'BH-A')","('high', 'BH-A')","('low', 'BH-A')","('close', 'BH-A')","('volume', 'BH-A')"
2024-01-02 00:00:00+00:00,793.9299926757812,793.9299926757812,793.9299926757812,793.9299926757812,0
2024-01-03 00:00:00+00:00,792.9600219726562,800.510009765625,792.9600219726562,798.8499755859375,99
2024-01-04 00:00:00+00:00,785.0499877929688,809.969970703125,775.0499877929688,775.0599975585938,346
2024-01-05 00:00:00+00:00,815.0,815.0,814.6900024414062,814.6900024414062,37
2024-01-08 00:00:00+00:00,814.6900024414062,814.6900024414062,814.6900024414062,814.6900024414062,0
2024-01-09 00:00:00+00:00,814.6900024414062,814.6900024414062,814.6900024414062,814.6900024414062,0
2024-01-10 00:00:00+00:00,808.1199951171875,808.1199951171875,808.1199951171875,808.1199951171875,63
2024-01-11 00:00:00+00:00,801.010009765625,801.010009765625,801.010009765625,801.010009765625,25
2024-01-12 00:00:00+00:00,801.010009765625,801.010009765625,801.010009765625,801.010009765625,0
2024-01-16 00:00:00+00:00,801.010009765625,801.010009765625,801.010009765625,801.010009765625,0
2024-01-17 00:00:00+00:00,797.989990234375,797.989990234375,771.0,771.0,102
2024-01-18 00:00:00+00:00,764.7100219726562,769.1900024414062,759.0,759.0,115
2024-01-19 00:00:00+00:00,759.0,759.0,759.0,759.0,0
2024-01-22 00:00:00+00:00,768.0700073242188,787.469970703125,767.0,787.469970703125,83
2024-01-23 00:00:00+00:00,787.469970703125,787.469970703125,787.469970703125,787.469970703125,0
2024-01-24 00:00:00+00:00,787.4500122070312,788.9500122070312,781.989990234375,788.9500122070312,106
2024-01-25 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-01-26 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-01-29 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-01-30 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-01-31 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-02-01 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-02-02 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-02-05 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-02-06 00:00:00+00:00,788.9500122070312,788.9500122070312,788.9500122070312,788.9500122070312,0
2024-02-07 00:00:00+00:00,781.0,781.0,780.0,780.0,104
2024-02-08 00:00:00+00:00,769.2899780273438,769.2899780273438,762.0,762.0,118
2024-02-09 00:00:00+00:00,755.3200073242188,755.3200073242188,755.3200073242188,755.3200073242188,22
2024-02-12 00:00:00+00:00,760.0,760.0,760.0,760.0,69
2024-02-13 00:00:00+00:00,760.0,760.0,750.0,750.0,240
