"('date', '')","('open', 'AQNB')","('high', 'AQNB')","('low', 'AQNB')","('close', 'AQNB')","('volume', 'AQNB')"
2024-01-02 00:00:00+00:00,20.96651059791685,21.0707790999911,20.961298415781854,21.062089920043945,30100
2024-01-03 00:00:00+00:00,21.070778870300366,21.21849161320857,20.983888729067612,21.183734893798828,36700
2024-01-04 00:00:00+00:00,21.20111277042519,21.36620386927658,21.157668529444514,21.3227596282959,117400
2024-01-05 00:00:00+00:00,21.29669407126757,21.46178518548284,21.29669407126757,21.40096092224121,17200
2024-01-08 00:00:00+00:00,21.444404513969477,21.522605472419585,21.350563695287654,21.385318756103516,20400
2024-01-09 00:00:00+00:00,21.340138316291302,21.47047270865421,21.340138316291302,21.40096092224121,27500
2024-01-10 00:00:00+00:00,21.36620585768057,21.45309600501975,21.36620585768057,21.40096092224121,39300
2024-01-11 00:00:00+00:00,21.392271686878306,21.46178346772773,21.392271686878306,21.427026748657227,59500
2024-01-12 00:00:00+00:00,21.37489268285885,21.54867130109694,21.37489268285885,21.392271041870117,61700
2024-01-16 00:00:00+00:00,21.418338775634766,21.557362345166435,21.383583711897685,21.418338775634766,36600
2024-01-17 00:00:00+00:00,21.41833619656845,21.618182346544508,21.374891957805474,21.531293869018555,42800
2024-01-18 00:00:00+00:00,21.479161530078663,21.592119216918945,21.46178482673466,21.592119216918945,21800
2024-01-19 00:00:00+00:00,21.55736249564757,21.626874280898633,21.487850710396508,21.592119216918945,24400
2024-01-22 00:00:00+00:00,21.53998319015,21.63556084751658,21.46178223402822,21.58342742919922,46900
2024-01-23 00:00:00+00:00,21.513918251350038,21.61818510058079,21.479161530078663,21.592119216918945,10100
2024-01-24 00:00:00+00:00,21.63556239034654,21.65294075012207,21.592118148199315,21.65294075012207,41700
2024-01-25 00:00:00+00:00,21.6790093196264,21.791965348950015,21.566051633011103,21.739831924438477,27100
2024-01-26 00:00:00+00:00,21.626875248583396,21.739832940477918,21.626875248583396,21.705076217651367,18000
2024-01-29 00:00:00+00:00,21.63556221711601,21.754602157604513,21.566050435862056,21.748519897460938,15000
2024-01-30 00:00:00+00:00,21.757209112337726,21.757209112337726,21.600807189941406,21.600807189941406,37800
2024-01-31 00:00:00+00:00,21.652940276880813,21.652940276880813,21.460044796546462,21.522605895996094,102900
2024-02-01 00:00:00+00:00,21.522607431667883,21.67813928466973,21.49653989071435,21.592119216918945,64900
2024-02-02 00:00:00+00:00,21.505227675436707,21.610364595980496,21.46091335587902,21.574739456176758,112400
2024-02-05 00:00:00+00:00,21.557363113446428,21.6094981968476,21.53129722903758,21.541723251342773,17100
2024-02-06 00:00:00+00:00,21.51392046954626,21.59733528336471,21.51392046954626,21.548675537109375,7900
2024-02-07 00:00:00+00:00,21.522606034944616,21.66858027731125,21.522606034944616,21.574739456176758,8800
2024-02-08 00:00:00+00:00,21.557363518306424,21.72245463759383,21.557363518306424,21.67901039123535,14600
2024-02-09 00:00:00+00:00,21.6008081623535,21.713764190673828,21.6008081623535,21.713764190673828,14900
2024-02-12 00:00:00+00:00,21.713765072175406,21.722454252751515,21.583430678117246,21.626874923706055,31800
2024-02-13 00:00:00+00:00,21.56605130592855,21.661630630493164,21.413994796204534,21.661630630493164,17100
