"('date', '')","('open', 'AGD')","('high', 'AGD')","('low', 'AGD')","('close', 'AGD')","('volume', 'AGD')"
2024-01-02 00:00:00+00:00,7.643370151519775,7.67628021780016,7.6269155106985185,7.643370151519775,49500
2024-01-03 00:00:00+00:00,7.635141565047213,7.635141565047213,7.552866801080468,7.602231502532959,100900
2024-01-04 00:00:00+00:00,7.569319831130994,7.63513994216919,7.569319831130994,7.6351399421691895,38300
2024-01-05 00:00:00+00:00,7.569321440018704,7.651596988623233,7.569321440018704,7.602231502532959,45400
2024-01-08 00:00:00+00:00,7.63514016126433,7.709187984466553,7.626913235626691,7.709187984466553,50200
2024-01-09 00:00:00+00:00,7.692735082124523,7.692735082124523,7.651597306115305,7.684507369995117,32400
2024-01-10 00:00:00+00:00,7.692735082124523,7.725645146004334,7.659825018244712,7.684507369995117,68800
2024-01-11 00:00:00+00:00,7.700959867040408,7.7091875768806855,7.635139757593382,7.6680498123168945,44300
2024-01-12 00:00:00+00:00,7.692735446706165,7.7174177996263404,7.659825381266648,7.6762800216674805,37000
2024-01-16 00:00:00+00:00,7.659826478693376,7.668053407753542,7.618688694840688,7.626916408538818,73200
2024-01-17 00:00:00+00:00,7.577548712265346,7.577548712265346,7.478818530449499,7.487046241760254,133800
2024-01-18 00:00:00+00:00,7.544638502915191,7.635140971635999,7.536410791766648,7.594003200531006,116100
2024-01-19 00:00:00+00:00,7.610457897186279,7.618685607550327,7.569320130003689,7.610457897186279,49500
2024-01-22 00:00:00+00:00,7.610457897186279,7.668050300459318,7.585775550731784,7.610457897186279,78800
2024-01-23 00:00:00+00:00,7.639457609673385,7.664314625041866,7.5814568535599,7.606314659118652,87400
2024-01-24 00:00:00+00:00,7.680888800117741,7.689173947599736,7.606316941446227,7.614602088928223,109200
2024-01-25 00:00:00+00:00,7.622886657714844,7.647743676078127,7.606315575536111,7.622886657714844,92800
2024-01-26 00:00:00+00:00,7.639459508553777,7.656030592854951,7.622887634062135,7.647744655609131,106800
2024-01-29 00:00:00+00:00,7.647744512942877,7.714031219482422,7.647744512942877,7.714031219482422,81600
2024-01-30 00:00:00+00:00,7.70574327807577,7.730600292693591,7.680886263457951,7.722314357757568,70200
2024-01-31 00:00:00+00:00,7.755458540047626,7.755458540047626,7.622886720759861,7.6311726570129395,92900
2024-02-01 00:00:00+00:00,7.6394573789680855,7.738886227629614,7.631171444032063,7.722314357757568,102100
2024-02-02 00:00:00+00:00,7.714031968224967,7.714031968224967,7.656031193146977,7.6643171310424805,92000
2024-02-05 00:00:00+00:00,7.656028689855615,7.656028689855615,7.598028723932401,7.606314659118652,66600
2024-02-06 00:00:00+00:00,7.622888785304081,7.705746589894905,7.622888785304081,7.697460651397705,31100
2024-02-07 00:00:00+00:00,7.71403085387438,7.788601913589957,7.71403085387438,7.772030830383301,45100
2024-02-08 00:00:00+00:00,7.788604259490967,7.788604259490967,7.75546129290469,7.788604259490967,37500
2024-02-09 00:00:00+00:00,7.788602476144502,7.805174350738526,7.780317329037962,7.805174350738525,47100
2024-02-12 00:00:00+00:00,7.813461262163294,7.863175311762421,7.813461262163294,7.8300323486328125,107300
2024-02-13 00:00:00+00:00,7.755459741863087,7.780317554474384,7.6891738219472865,7.705745697021484,95300
2024-02-14 00:00:00+00:00,7.763745907794004,7.796888868726904,7.763745907794004,7.780317783355713,88000
2024-02-15 00:00:00+00:00,7.788603447173159,7.838318286962857,7.780318299033685,7.8300323486328125,46700
2024-02-16 00:00:00+00:00,7.863174873703327,7.863174873703327,7.805174889005346,7.813460826873779,80200
2024-02-20 00:00:00+00:00,7.854888394139652,7.863174331436665,7.788602476144502,7.805174350738525,87700
2024-02-21 00:00:00+00:00,7.817689429331627,7.8677496910095215,7.801003205892906,7.8677496910095215,47700
2024-02-22 00:00:00+00:00,7.917807223659518,7.959523965591347,7.917807223659518,7.951180458068848,65500
2024-02-23 00:00:00+00:00,7.967870125094729,7.9762136353942354,7.92615336927813,7.934496879577637,55300
2024-02-26 00:00:00+00:00,7.92615255193183,7.92615255193183,7.834376335144043,7.834376335144043,82700
2024-02-27 00:00:00+00:00,7.842718975692806,7.901122745540629,7.842718975692806,7.859405994415283,49300
2024-02-28 00:00:00+00:00,7.842717238302146,7.8510607458150545,7.792657784586038,7.817687511444092,67200
2024-02-29 00:00:00+00:00,7.867750563192432,7.884436788480913,7.826033806449802,7.842720031738281,48700
2024-03-01 00:00:00+00:00,7.8427166546990765,7.92615013225825,7.8427166546990765,7.917806625366211,62200
2024-03-04 00:00:00+00:00,7.93449363915029,7.93449363915029,7.909463118474171,7.917806625366211,31200
2024-03-05 00:00:00+00:00,7.9094647188955,7.9428387532166465,7.842718241614754,7.876091480255127,54700
2024-03-06 00:00:00+00:00,7.942838668823242,7.967868398617386,7.917808143348335,7.942838668823242,33100
2024-03-07 00:00:00+00:00,7.9928991280991015,8.009586147169452,7.96786939517444,8.001242637634277,31600
2024-03-08 00:00:00+00:00,8.026269854660633,8.026269854660633,7.942837172504113,7.967866897583008,51500
2024-03-11 00:00:00+00:00,7.926150731182019,7.951180458068848,7.90112100429519,7.951180458068848,28700
2024-03-12 00:00:00+00:00,7.9928980351043,8.051301002502441,7.951181288813876,8.051301002502441,55500
2024-03-13 00:00:00+00:00,8.0846744291831,8.109704954950292,8.042958477599324,8.05964469909668,70800
2024-03-14 00:00:00+00:00,8.084676121361134,8.093019631696553,7.984556384378937,7.9928998947143555,61700
2024-03-15 00:00:00+00:00,8.001243218401688,8.009586728542475,7.976213483660253,7.984556198120117,29300
2024-03-18 00:00:00+00:00,7.992898363081,8.05130133287562,7.992898363081,8.0095853805542,30500
2024-03-19 00:00:00+00:00,8.009586735573507,8.034616470336914,7.976213490661988,8.034616470336914,30900
2024-03-20 00:00:00+00:00,8.047212508839426,8.106012344360352,8.022012693771554,8.106012344360352,21100
2024-03-21 00:00:00+00:00,8.114412549745534,8.164812980968955,8.106012344360352,8.106012344360352,28300
2024-03-22 00:00:00+00:00,8.131212960515901,8.139612364813406,8.089212734677663,8.106012344360352,24800
2024-03-25 00:00:00+00:00,8.122816202640019,8.131216411590444,8.047215924262238,8.064016342163086,35900
