"('date', '')","('open', 'BHR')","('high', 'BHR')","('low', 'BHR')","('close', 'BHR')","('volume', 'BHR')"
2024-01-02 00:00:00+00:00,2.2451764275957866,2.3431802802418997,2.209538740239881,2.2184481620788574,501500
2024-01-03 00:00:00+00:00,2.2006293469488707,2.2006293469488707,2.093716071076834,2.173901081085205,445100
2024-01-04 00:00:00+00:00,2.1917198965619282,2.2362670057568104,2.1739010528839753,2.2184481620788574,204200
2024-01-05 00:00:00+00:00,2.209538545435771,2.2719044928101084,2.191719703328818,2.2273573875427246,537400
2024-01-08 00:00:00+00:00,2.209538740239881,2.2540858494347633,2.1739010528839753,2.2184481620788574,142100
2024-01-09 00:00:00+00:00,2.164991730721501,2.191719997469004,2.111534984809115,2.138263463973999,355400
2024-01-10 00:00:00+00:00,2.120444578016583,2.1560822663164623,2.1026255214492657,2.1293540000915527,239800
2024-01-11 00:00:00+00:00,2.1204444957065767,2.138263339164836,2.058078331185299,2.0669877529144287,272400
2024-01-12 00:00:00+00:00,2.120444408467533,2.1382632511926922,2.049168825149536,2.049168825149536,171700
2024-01-16 00:00:00+00:00,2.0313498108397834,2.0848063344998806,2.0046215490097348,2.013530969619751,164400
2024-01-17 00:00:00+00:00,1.9868028414441536,1.9868028414441536,1.91552747176925,1.9422557353973389,298200
2024-01-18 00:00:00+00:00,1.9422555727689652,1.9600744136956891,1.9066178909155171,1.933346152305603,343700
2024-01-19 00:00:00+00:00,1.9511651901611615,2.0669876678746952,1.8977086619856844,2.049168825149536,229400
2024-01-22 00:00:00+00:00,2.0758972552243566,2.164991688391432,2.0669878331493865,2.1293540000915527,226900
2024-01-23 00:00:00+00:00,2.1917195933650757,2.209538434578016,2.0848063336700915,2.111534595489502,125700
2024-01-24 00:00:00+00:00,2.1739011007852893,2.1739011007852893,2.0313501358032227,2.0313501358032227,261800
2024-01-25 00:00:00+00:00,2.09371614031078,2.156082308472334,2.049169029064943,2.138263463973999,254100
2024-01-26 00:00:00+00:00,2.1649913787841797,2.2451761659919836,2.1382631163815784,2.1649913787841797,133200
