"('date', '')","('open', 'AWR')","('high', 'AWR')","('low', 'AWR')","('close', 'AWR')","('volume', 'AWR')"
2024-01-02 00:00:00+00:00,76.94397121923309,78.03796074147296,76.59850007310727,77.2126693725586,207700
2024-01-03 00:00:00+00:00,77.35662757671723,77.38541562262039,75.91716670974664,76.31061553955078,186200
2024-01-04 00:00:00+00:00,76.8096211331729,76.8096211331729,75.10146233392956,75.11105346679688,238600
2024-01-05 00:00:00+00:00,75.10145706625127,75.51410271634235,74.15140783278987,74.41051483154297,190000
2024-01-08 00:00:00+00:00,74.18980256413809,74.9767074584961,73.9594909008195,74.9767074584961,130400
2024-01-09 00:00:00+00:00,73.90192015869857,75.15904692532334,73.73877570230444,74.8135757446289,190100
2024-01-10 00:00:00+00:00,74.7272034354488,75.80199603872057,74.7272034354488,75.68684387207031,146100
2024-01-11 00:00:00+00:00,75.20703028346318,75.20703028346318,73.31653728523062,74.2569808959961,239800
2024-01-12 00:00:00+00:00,74.63123796097571,75.64846186272928,74.55447228581441,75.43733978271484,205900
2024-01-16 00:00:00+00:00,75.46612320701063,77.02074334711897,75.12065206476433,75.3989486694336,387000
2024-01-17 00:00:00+00:00,74.68881973780407,75.26460255705497,73.40289769738379,73.92110443115234,143800
2024-01-18 00:00:00+00:00,73.65239959882365,74.05544680364365,73.04782879159367,74.0074691772461,189500
2024-01-19 00:00:00+00:00,74.33375235396862,74.69841310874033,73.03823914147662,73.60442352294922,300300
2024-01-22 00:00:00+00:00,73.60441921592303,75.10146328899108,73.55644158654988,74.62164306640625,190400
2024-01-23 00:00:00+00:00,75.24539982651163,75.27418786422463,73.86351544449207,74.56404876708984,221700
2024-01-24 00:00:00+00:00,74.9862878072119,75.16862179577922,72.22252655029297,72.22252655029297,239200
2024-01-25 00:00:00+00:00,72.9998465350753,73.52765169523327,72.18415364149284,72.81751251220703,173500
2024-01-26 00:00:00+00:00,73.34531304219267,73.34531304219267,72.09777764501531,72.10737609863281,168200
2024-01-29 00:00:00+00:00,72.08819106368468,73.05742261746512,71.28208930285027,72.81751251220703,152900
2024-01-30 00:00:00+00:00,72.55840688080053,72.6831574895923,71.81947971706333,72.12657165527344,119100
