"('date', '')","('open', 'AGM-A')","('high', 'AGM-A')","('low', 'AGM-A')","('close', 'AGM-A')","('volume', 'AGM-A')"
2024-01-02 00:00:00+00:00,146.50408935546875,146.50408935546875,146.50408935546875,146.50408935546875,0
2024-01-03 00:00:00+00:00,146.50408935546875,146.50408935546875,146.50408935546875,146.50408935546875,0
2024-01-04 00:00:00+00:00,141.61814880371094,141.61814880371094,141.61814880371094,141.61814880371094,600
2024-01-05 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,400
2024-01-08 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,0
2024-01-09 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,0
2024-01-10 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,0
2024-01-11 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,0
2024-01-12 00:00:00+00:00,141.2265167236328,141.2265167236328,141.2265167236328,141.2265167236328,0
2024-01-16 00:00:00+00:00,131.48255920410156,131.48255920410156,131.48255920410156,131.48255920410156,200
2024-01-17 00:00:00+00:00,131.48255920410156,131.48255920410156,131.48255920410156,131.48255920410156,0
2024-01-18 00:00:00+00:00,131.48255920410156,131.48255920410156,131.48255920410156,131.48255920410156,0
2024-01-19 00:00:00+00:00,131.48255920410156,131.48255920410156,131.48255920410156,131.48255920410156,0
2024-01-22 00:00:00+00:00,141.1799073593488,141.62747192382812,141.1799073593488,141.62747192382812,400
2024-01-23 00:00:00+00:00,141.62747192382812,141.62747192382812,141.62747192382812,141.62747192382812,0
2024-01-24 00:00:00+00:00,141.62747192382812,141.62747192382812,141.62747192382812,141.62747192382812,0
2024-01-25 00:00:00+00:00,141.62747192382812,141.62747192382812,141.62747192382812,141.62747192382812,0
2024-01-26 00:00:00+00:00,141.62747192382812,141.62747192382812,141.62747192382812,141.62747192382812,0
2024-01-29 00:00:00+00:00,141.62747192382812,141.62747192382812,141.62747192382812,141.62747192382812,0
2024-01-30 00:00:00+00:00,142.1962522531612,145.04949936618317,142.14962768554688,142.14962768554688,700
2024-01-31 00:00:00+00:00,143.75341796875,143.75341796875,143.75341796875,143.75341796875,200
