"('date', '')","('open', 'AM')","('high', 'AM')","('low', 'AM')","('close', 'AM')","('volume', 'AM')"
2024-01-02 00:00:00+00:00,11.300929814040494,11.368411307054457,11.294631552800173,11.354914665222168,1164500
2024-01-03 00:00:00+00:00,11.318924531736071,11.372910241245826,11.273936583490235,11.291932106018066,2363700
2024-01-04 00:00:00+00:00,11.36391140986464,11.417896256217004,11.093984603881836,11.093984603881836,2956100
2024-01-05 00:00:00+00:00,11.138975081541831,11.309928277973896,11.093987127299544,11.201957702636719,2884200
2024-01-08 00:00:00+00:00,11.111981879567917,11.111981879567917,10.950025598786658,11.084988594055176,4906600
2024-01-09 00:00:00+00:00,11.075990789739043,11.116478998568597,10.9635213501352,11.022005081176758,2027500
2024-01-10 00:00:00+00:00,11.004009136041873,11.057994842529297,10.851051493487175,11.057994842529297,2274800
2024-01-11 00:00:00+00:00,11.066992338274483,11.066992338274483,10.860048136114242,10.97701644897461,2203200
2024-01-12 00:00:00+00:00,11.165965984556662,11.210953932649446,10.932029340933179,11.03100299835205,2019300
2024-01-16 00:00:00+00:00,10.977016711835008,11.1299752124634,10.977016711835008,11.057994842529297,2023000
2024-01-17 00:00:00+00:00,10.977017558370134,11.129976070794514,10.94102737062756,10.986015319824219,2461500
2024-01-18 00:00:00+00:00,11.013006633079824,11.044497936912677,10.878043657203687,10.97701644897461,2953500
2024-01-19 00:00:00+00:00,10.959023008767172,10.959023008767172,10.824059159758088,10.932029724121094,2969100
2024-01-22 00:00:00+00:00,10.95902309222481,11.138974034200222,10.869047192200215,11.129976272583008,3834000
2024-01-23 00:00:00+00:00,11.107064991025027,11.180378882136438,10.923780263246499,10.99709415435791,3095600
2024-01-24 00:00:00+00:00,11.042916468350777,11.162051769755244,11.015423975402236,11.125394821166992,2075100
2024-01-25 00:00:00+00:00,11.180378671149182,11.262857015585684,11.047497573756322,11.198707580566406,2027000
2024-01-26 00:00:00+00:00,11.207871548863894,11.272021860071943,11.162051021677405,11.23536491394043,1588400
2024-01-29 00:00:00+00:00,11.290351404465078,11.363665306522334,11.157470284725298,11.354501724243164,3032400
2024-01-30 00:00:00+00:00,11.336171505194612,11.400320943608513,11.272022066780712,11.345335960388184,1672700
2024-01-31 00:00:00+00:00,11.37282752326524,11.40948446707548,11.207870839133921,11.217035293579102,2422100
2024-02-01 00:00:00+00:00,11.272021860071943,11.391157153491994,11.207871548863894,11.23536491394043,3014800
2024-02-02 00:00:00+00:00,11.299513635644761,11.30867809008994,11.070407518338142,11.217035293579102,3036900
2024-02-05 00:00:00+00:00,11.22620142847632,11.23536588429333,11.044749398358476,11.079573631286621,2192800
2024-02-06 00:00:00+00:00,11.134558416706188,11.134558416706188,10.942109217885484,10.969602584838867,1472200
