"('date', '')","('open', 'ATI')","('high', 'ATI')","('low', 'ATI')","('close', 'ATI')","('volume', 'ATI')"
2024-01-02 00:00:00+00:00,44.88999938964844,45.63999938964844,43.93000030517578,44.29999923706055,1381900
2024-01-03 00:00:00+00:00,43.84000015258789,43.84000015258789,42.529998779296875,42.7400016784668,1236600
2024-01-04 00:00:00+00:00,43.060001373291016,44.11000061035156,43.0,43.68000030517578,1506200
2024-01-05 00:00:00+00:00,43.369998931884766,43.9900016784668,42.939998626708984,43.20000076293945,855500
2024-01-08 00:00:00+00:00,42.83000183105469,43.529998779296875,42.34000015258789,43.5099983215332,551400
2024-01-09 00:00:00+00:00,43.0,43.0,41.880001068115234,42.06999969482422,805500
2024-01-10 00:00:00+00:00,41.900001525878906,42.91999816894531,41.52000045776367,42.70000076293945,1007700
2024-01-11 00:00:00+00:00,42.5099983215332,42.810001373291016,41.619998931884766,42.65999984741211,1578300
2024-01-12 00:00:00+00:00,43.15999984741211,43.70000076293945,42.47999954223633,42.90999984741211,993300
2024-01-16 00:00:00+00:00,42.599998474121094,42.900001525878906,42.150001525878906,42.36000061035156,914700
2024-01-17 00:00:00+00:00,41.43000030517578,42.47999954223633,41.31999969482422,41.7400016784668,959300
2024-01-18 00:00:00+00:00,41.9900016784668,42.560001373291016,41.33000183105469,42.560001373291016,839400
2024-01-19 00:00:00+00:00,42.790000915527344,42.91999816894531,41.09000015258789,42.0099983215332,1066500
2024-01-22 00:00:00+00:00,42.130001068115234,43.11000061035156,41.7599983215332,42.91999816894531,977300
2024-01-23 00:00:00+00:00,43.630001068115234,43.97999954223633,43.0099983215332,43.060001373291016,1328700
2024-01-24 00:00:00+00:00,43.59000015258789,43.619998931884766,42.689998626708984,42.95000076293945,1008900
2024-01-25 00:00:00+00:00,42.7400016784668,42.849998474121094,39.7400016784668,40.72999954223633,3010300
2024-01-26 00:00:00+00:00,41.2400016784668,41.40999984741211,40.75,41.130001068115234,941200
2024-01-29 00:00:00+00:00,41.099998474121094,41.68000030517578,40.54999923706055,41.65999984741211,1112800
2024-01-30 00:00:00+00:00,41.220001220703125,41.45000076293945,40.470001220703125,41.349998474121094,2191200
2024-01-31 00:00:00+00:00,41.810001373291016,41.959999084472656,40.61000061035156,40.869998931884766,2148300
2024-02-01 00:00:00+00:00,40.0099983215332,41.0,38.040000915527344,38.54999923706055,3979400
2024-02-02 00:00:00+00:00,38.529998779296875,39.75,38.33000183105469,39.150001525878906,1790900
2024-02-05 00:00:00+00:00,38.5099983215332,38.88999938964844,38.08000183105469,38.619998931884766,1505900
2024-02-06 00:00:00+00:00,38.61000061035156,39.54999923706055,38.41999816894531,39.04999923706055,1406700
2024-02-07 00:00:00+00:00,39.209999084472656,40.310001373291016,39.040000915527344,40.13999938964844,1392300
2024-02-08 00:00:00+00:00,40.0,40.869998931884766,39.709999084472656,40.75,1276900
2024-02-09 00:00:00+00:00,40.75,42.4900016784668,40.75,42.25,1941300
2024-02-12 00:00:00+00:00,42.439998626708984,43.790000915527344,42.439998626708984,43.08000183105469,1920200
2024-02-13 00:00:00+00:00,41.880001068115234,43.209999084472656,41.369998931884766,41.68000030517578,1808000
