"('date', '')","('open', 'CRI')","('high', 'CRI')","('low', 'CRI')","('close', 'CRI')","('volume', 'CRI')"
2003-10-28 00:00:00+00:00,9.88434179086151,10.676597595214844,9.88434179086151,10.676597595214844,1478400
2003-10-29 00:00:00+00:00,10.752053297535625,11.280224192797627,10.26160904898718,10.491740226745605,780800
2003-10-30 00:00:00+00:00,10.586055284655382,10.827505364527456,10.148427959330556,10.280470848083496,445200
2003-10-31 00:00:00+00:00,10.299333570659655,10.563419342041016,9.771162747472772,10.563419342041016,872600
2003-11-03 00:00:00+00:00,10.563419108690177,10.857686042908128,10.476648338709847,10.706779479980469,281200
2003-11-04 00:00:00+00:00,10.744503745205394,10.910500495980033,10.676595950816875,10.786003112792969,205800
2003-11-05 00:00:00+00:00,10.770912892041597,10.82373046875,10.676596664547096,10.82373046875,64600
2003-11-06 00:00:00+00:00,10.861460930469992,10.884096631562686,10.789780370837837,10.827507019042969,146800
2003-11-07 00:00:00+00:00,10.884093756333657,10.918047658791146,10.80486774407426,10.812413215637207,348000
2003-11-10 00:00:00+00:00,10.770914077758789,10.804867980960685,10.714324478947558,10.770914077758789,401600
2003-11-11 00:00:00+00:00,10.752049677836052,10.767140619271453,10.714323043823242,10.714323043823242,284400
2003-11-12 00:00:00+00:00,10.718097222561351,11.091589438476465,10.718097222561351,10.90295696258545,253400
2003-11-13 00:00:00+00:00,10.902951685414694,10.902951685414694,10.714319300824213,10.846362113952637,301000
2003-11-14 00:00:00+00:00,10.846365903080228,10.846365903080228,10.714323043823242,10.714323043823242,173200
2003-11-17 00:00:00+00:00,10.714322754848698,10.714322754848698,10.43137408674754,10.487963676452637,144800
2003-11-18 00:00:00+00:00,10.487967817254123,10.544558148877575,9.940933941360399,9.959796905517578,295200
2003-11-19 00:00:00+00:00,9.865477748736687,9.865477748736687,9.337306992089214,9.46934986114502,579400
2003-11-20 00:00:00+00:00,9.242987911002217,9.488209895338192,8.97890225428623,9.333531379699707,649400
2003-11-21 00:00:00+00:00,9.333536353830068,9.688165668236481,9.280719482169335,9.673074722290039,648800
2003-11-24 00:00:00+00:00,9.80888872280807,10.793550474861902,9.707027013373029,10.53323745727539,688000
2003-11-25 00:00:00+00:00,10.533235987094512,10.56341715016911,10.072973070312964,10.337058067321777,190000
2003-11-26 00:00:00+00:00,10.337057075698988,10.352148015576473,10.054108429176704,10.212559700012207,165400
