"('date', '')","('open', 'CNI')","('high', 'CNI')","('low', 'CNI')","('close', 'CNI')","('volume', 'CNI')"
1996-11-26 00:00:00+00:00,1.8794119378450547,1.8978979587554932,1.8794119378450547,1.8978979587554932,258000
1996-11-27 00:00:00+00:00,1.9040607145854407,1.9656809904856867,1.9040607145854407,1.9410327672958374,1950000
1996-11-29 00:00:00+00:00,1.9595186911951028,2.033462792749635,1.9595186911951028,2.0273005962371826,477600
1996-12-02 00:00:00+00:00,2.014975813208112,2.014975813208112,1.9964897965731754,2.0088136196136475,1275600
1996-12-03 00:00:00+00:00,2.039625202783425,2.0889210875974884,2.014976978302002,2.014976978302002,13077600
1996-12-04 00:00:00+00:00,2.0149762792378,2.0149762792378,1.8978979587554932,1.8978979587554932,1459200
1996-12-05 00:00:00+00:00,1.8794122364238783,1.8794122364238783,1.7931443131861322,1.8547645807266235,2210400
1996-12-06 00:00:00+00:00,1.8301166600109213,1.836278857016777,1.793144606273327,1.823954463005066,3147600
1996-12-09 00:00:00+00:00,1.8424407610270341,1.9102232456207275,1.8424407610270341,1.9102232456207275,672000
1996-12-10 00:00:00+00:00,1.9102228010040063,1.9102228010040063,1.8855745792388916,1.8855745792388916,655200
1996-12-11 00:00:00+00:00,1.8609271799618314,1.8609271799618314,1.823955113047696,1.8362795114517212,688800
1996-12-12 00:00:00+00:00,1.8486025407142246,1.8486025407142246,1.7931444644927979,1.7931444644927979,552000
1996-12-13 00:00:00+00:00,1.780820369415174,1.780820369415174,1.7376861285297818,1.7623343467712402,1448400
1996-12-16 00:00:00+00:00,1.7623348963756251,1.7684965297460857,1.713038444519043,1.713038444519043,1532400
1996-12-17 00:00:00+00:00,1.7253632165510757,1.7993073463439941,1.7253632165510757,1.7993073463439941,5722800
1996-12-18 00:00:00+00:00,1.8116306331421241,1.823954463005066,1.8116306331421241,1.823954463005066,1424400
1996-12-19 00:00:00+00:00,1.8362785568793438,1.8609262125765986,1.8362785568793438,1.8547645807266235,1364400
1996-12-20 00:00:00+00:00,1.8609258913948699,1.928708343235275,1.8609258913948699,1.922546148300171,4774800
1996-12-23 00:00:00+00:00,1.9163831472396848,1.9225453395826666,1.9102215190450456,1.916383147239685,325200
1996-12-24 00:00:00+00:00,1.9287075319256481,1.9287075319256481,1.9102215190450456,1.916383147239685,181200
1996-12-26 00:00:00+00:00,1.9040601276434386,1.9225461483001711,1.8917363019218103,1.922546148300171,672000
1996-12-27 00:00:00+00:00,1.9471950662263173,1.9471950662263173,1.8917369842529297,1.8917369842529297,1422000
1996-12-30 00:00:00+00:00,1.9040610612067612,1.9040610612067612,1.8670890017658532,1.87325119972229,1094400
1996-12-31 00:00:00+00:00,1.87325119972229,1.8794128335298705,1.8670890017658532,1.87325119972229,549600
1997-01-02 00:00:00+00:00,1.8732503028694019,1.8732503028694019,1.8486020869932958,1.8609259128570557,1240800
1997-01-03 00:00:00+00:00,1.8670890017658532,1.891737229442744,1.8670890017658532,1.87325119972229,626400
1997-01-06 00:00:00+00:00,1.8609262125765986,1.8794122364238783,1.8486023847279713,1.8547645807266235,7567200
1997-01-07 00:00:00+00:00,1.8547645807266235,1.8609262125765986,1.842440188729319,1.8547645807266235,674400
1997-01-08 00:00:00+00:00,1.8670877433439013,1.8670877433439013,1.8424395322799683,1.8424395322799683,2052000
