"('date', '')","('open', 'ATO')","('high', 'ATO')","('low', 'ATO')","('close', 'ATO')","('volume', 'ATO')"
2024-01-02 00:00:00+00:00,110.83220135928359,112.42277681574149,110.83220135928359,112.03950500488281,882300
2024-01-03 00:00:00+00:00,112.2119794489054,113.72589911478806,112.14490742878665,113.08391571044922,1093500
2024-01-04 00:00:00+00:00,113.33305563619002,113.78339952395432,112.57609572212066,112.6814956665039,550600
2024-01-05 00:00:00+00:00,112.45153676446871,113.48636860648412,112.12575312073669,113.04560852050781,628200
2024-01-08 00:00:00+00:00,113.28513941936164,113.94627581670574,112.47068405938529,113.87920379638672,492600
2024-01-09 00:00:00+00:00,113.52468222439181,113.84087471103871,112.79646650392549,113.40969848632812,594200
2024-01-10 00:00:00+00:00,113.56300873448299,113.81213652476337,112.73898415488281,113.10308837890625,627600
2024-01-11 00:00:00+00:00,112.83479863449092,112.83479863449092,110.42019121700596,110.56391906738281,623400
2024-01-12 00:00:00+00:00,111.31129354460418,111.75205358531213,110.640573332723,110.94718933105469,509400
2024-01-16 00:00:00+00:00,110.33394840834302,111.03341267124625,109.00208458799706,109.30870056152344,692500
2024-01-17 00:00:00+00:00,108.76254929834336,109.68239729223214,107.12406937388818,108.02474975585938,854500
2024-01-18 00:00:00+00:00,107.76603481892202,107.80436272866437,106.51082684364079,107.72770690917969,1127000
2024-01-19 00:00:00+00:00,108.56133239939683,108.75296465528535,107.4594286522829,108.35053253173828,1169900
2024-01-22 00:00:00+00:00,108.53258789215404,109.10749931702892,107.73730740030834,108.40802764892578,685900
2024-01-23 00:00:00+00:00,106.980331822976,108.54215577871304,106.980331822976,107.98641204833984,752300
2024-01-24 00:00:00+00:00,108.6379846268101,108.72422426211739,106.08924044697427,106.25212860107422,831900
2024-01-25 00:00:00+00:00,106.73121167857052,109.26079544041448,106.68329996000529,109.1553955078125,1102000
2024-01-26 00:00:00+00:00,109.50992291112952,109.70155516424894,108.67630725842612,108.94459533691406,799700
2024-01-29 00:00:00+00:00,109.0020903428687,109.7111384484018,108.56133031454802,109.4811782836914,572900
2024-01-30 00:00:00+00:00,109.14582192656023,110.15190225057559,108.81045450825303,109.7207260131836,525400
2024-01-31 00:00:00+00:00,110.70764820744374,111.05259212824572,108.45593622631579,109.17456817626953,1123100
2024-02-01 00:00:00+00:00,109.27038149104966,110.97593343866359,108.57090986125752,110.94718933105469,638600
2024-02-02 00:00:00+00:00,109.86445628177104,110.22856050558006,107.93852060438424,109.01167297363281,774700
2024-02-05 00:00:00+00:00,107.99600808119371,108.33136819428589,106.57791180003191,107.10490417480469,780300
2024-02-06 00:00:00+00:00,106.83661191689481,107.277371949809,106.2042123194732,107.1336441040039,1171800
2024-02-07 00:00:00+00:00,108.52301010590548,108.52301010590548,106.0125864860752,107.2486343383789,1227500
2024-02-08 00:00:00+00:00,106.79828265560108,108.31220229973692,106.69288272402822,108.20680236816406,819200
2024-02-09 00:00:00+00:00,107.88102451267221,108.76255192461599,107.88102451267221,108.37928009033203,745100
2024-02-12 00:00:00+00:00,108.52299994518705,109.51950371677461,108.25471187404841,109.23204803466797,918500
2024-02-13 00:00:00+00:00,108.89668452561004,108.99250064653572,105.84010128906128,107.0761489868164,633600
2024-02-14 00:00:00+00:00,107.12406712637195,108.55174715159258,106.87493934878452,108.25471496582031,700700
2024-02-15 00:00:00+00:00,108.55173735338784,109.7973615082875,108.55173735338784,109.4907455444336,719100
2024-02-16 00:00:00+00:00,108.8966946768336,109.72072655215233,108.56133456718113,109.18414306640625,1012100
