"('date', '')","('open', 'APA')","('high', 'APA')","('low', 'APA')","('close', 'APA')","('volume', 'APA')"
2024-01-02 00:00:00+00:00,33.55666683731812,34.02092620926113,33.34310795126648,33.528812408447266,2838700
2024-01-03 00:00:00+00:00,33.41739321797159,34.2716288150167,33.05526791016182,34.12306594848633,3007300
2024-01-04 00:00:00+00:00,32.266025986099265,32.61886409656118,31.5417825074829,31.61606216430664,19168900
2024-01-05 00:00:00+00:00,31.85747768015747,32.01532415803779,31.37464753402481,31.885332107543945,9375700
2024-01-08 00:00:00+00:00,31.188950940454387,31.3746554345013,30.808258321566594,31.31894302368164,7849000
2024-01-09 00:00:00+00:00,31.448934705423053,31.513930746206924,30.548273765124332,30.613269805908203,5460200
2024-01-10 00:00:00+00:00,30.55755599480508,30.55755599480508,30.01901688985545,30.241859436035156,5385300
2024-01-11 00:00:00+00:00,30.48327158213389,30.678259665196503,29.972583447420583,30.13971710205078,4322400
2024-01-12 00:00:00+00:00,30.715403611456242,30.8268248757176,29.991156538712083,30.21400260925293,4447400
2024-01-16 00:00:00+00:00,29.805453106134134,29.89830711459412,28.988357312786608,29.0347843170166,5331500
2024-01-17 00:00:00+00:00,28.73765986228747,29.08121085394516,28.50553014375852,28.607666015625,5407100
2024-01-18 00:00:00+00:00,28.589095186502366,28.607664216850115,28.069123374565358,28.486957550048828,5286300
2024-01-19 00:00:00+00:00,28.55248829228996,28.599294935922572,28.037608070095217,28.430789947509766,6662200
2024-01-22 00:00:00+00:00,28.43079035533668,28.93630889894454,28.168668504780626,28.74907875061035,5194700
2024-01-23 00:00:00+00:00,28.580573498417426,29.114177095063432,28.505681796880427,28.88014030456543,5541000
2024-01-24 00:00:00+00:00,29.123541049334825,29.46991452633728,28.833334120911076,29.366939544677734,5783500
2024-01-25 00:00:00+00:00,29.479271999497893,30.003513876159644,29.11417520144618,29.99415397644043,4761900
2024-01-26 00:00:00+00:00,30.02223801135181,30.209468150564728,29.61033277641875,30.05968475341797,4159500
2024-01-29 00:00:00+00:00,30.003511679861642,30.069041686452614,29.385654781205684,29.835006713867188,4862300
2024-01-30 00:00:00+00:00,29.441827571905936,30.406057960576295,29.357574188451004,30.34988784790039,5113900
2024-01-31 00:00:00+00:00,30.396697669100202,30.44350431016821,29.29204379852984,29.32948875427246,5400300
2024-02-01 00:00:00+00:00,29.432465516518842,29.685223878147763,28.655463489857652,28.833330154418945,6403700
2024-02-02 00:00:00+00:00,28.795882727897748,28.795882727897748,28.234194155305556,28.309085845947266,4652300
2024-02-05 00:00:00+00:00,28.10313746619325,28.27164423645226,27.588255469784173,27.906545639038086,5604000
2024-02-06 00:00:00+00:00,28.09377561022002,28.80524764391143,27.91590715540743,28.571210861206055,4672000
2024-02-07 00:00:00+00:00,28.627379719722025,28.889501564011827,28.243559531815624,28.599294662475586,3937300
2024-02-08 00:00:00+00:00,28.636741060481622,28.842692787797432,28.365257533713592,28.524402618408203,6213800
2024-02-09 00:00:00+00:00,28.571212366250265,28.730357458295554,27.897185253795374,27.962717056274414,5287700
2024-02-12 00:00:00+00:00,28.103137065910992,28.87077742121587,28.103137065910992,28.533763885498047,6317500
2024-02-13 00:00:00+00:00,28.43079142770283,28.515043033516125,27.588257513978927,27.738040924072266,6006500
2024-02-14 00:00:00+00:00,27.850379632793135,28.41206831863356,27.766126240639117,27.897186279296875,6141500
2024-02-15 00:00:00+00:00,28.075051156582546,29.460548428243726,28.04696610093955,29.254596710205078,6701900
2024-02-16 00:00:00+00:00,29.31076641611749,29.872455056514,28.964392974671604,29.55416488647461,8155900
2024-02-20 00:00:00+00:00,29.48863563742447,29.619695668878585,28.964393726049003,29.00183868408203,6566300
2024-02-21 00:00:00+00:00,29.132899708606715,29.947346718429422,29.09545296603332,29.432466506958008,8274000
2024-02-22 00:00:00+00:00,29.198431033490934,29.2077927195546,28.028247058918378,28.290367126464844,13861400
2024-02-23 00:00:00+00:00,27.859739080905683,28.53376437842636,27.691232310135774,28.112499237060547,7868200
2024-02-26 00:00:00+00:00,28.056327804555888,28.383979645036867,27.709954379192848,27.72867774963379,5751700
