"('date', '')","('open', 'CB')","('high', 'CB')","('low', 'CB')","('close', 'CB')","('volume', 'CB')"
1993-03-25 00:00:00+00:00,5.1606131952033545,5.182856877448136,5.049392747478439,5.093881130218506,20047500
1993-03-26 00:00:00+00:00,5.093884746634879,5.182860557033111,5.071640539472514,5.116128444671631,5826000
1993-03-29 00:00:00+00:00,5.071634975605934,5.116122831999389,5.027147119212479,5.04939079284668,2249400
1993-03-30 00:00:00+00:00,5.027147119212479,5.049390792846679,4.982658753693969,5.04939079284668,2520900
1993-03-31 00:00:00+00:00,5.027146610998748,5.182854347197268,5.027146610998748,5.160610675811768,2130900
1993-04-01 00:00:00+00:00,5.138369003833321,5.1606131952033545,5.093881130218506,5.093881130218506,1686300
1993-04-02 00:00:00+00:00,5.093880867008968,5.093880867008968,5.07163667678833,5.07163667678833,1596000
1993-04-05 00:00:00+00:00,5.049392138420807,5.049392138420807,5.004904270172119,5.004904270172119,1044300
1993-04-06 00:00:00+00:00,5.0271488054722795,5.07163667678833,5.0271488054722795,5.07163667678833,458100
1993-04-07 00:00:00+00:00,5.071638027785077,5.271834265723962,5.071638027785077,5.182857990264893,632100
1993-04-08 00:00:00+00:00,5.160611838414829,5.205099700333236,5.138367652893066,5.138367652893066,1555500
1993-04-12 00:00:00+00:00,5.138369003833321,5.1606131952033545,5.0716369388484726,5.093881130218506,980100
1993-04-13 00:00:00+00:00,5.071640539472514,5.11612844467163,5.071640539472514,5.116128444671631,4521000
1993-04-14 00:00:00+00:00,5.116124812463288,5.138369003833321,5.093881130218506,5.093881130218506,385200
1993-04-15 00:00:00+00:00,5.116122314790759,5.182854347197268,5.093878643405257,5.160610675811768,479100
1993-04-16 00:00:00+00:00,5.160614303244146,5.2051021864110005,5.160614303244146,5.182857990264893,317400
1993-04-19 00:00:00+00:00,5.138366495301263,5.182854347197268,5.116122314790759,5.160610675811768,189900
1993-04-20 00:00:00+00:00,5.160612355005581,5.160612355005581,5.027148246765137,5.027148246765137,1680000
1993-04-21 00:00:00+00:00,5.027147119212479,5.049390792846679,5.027147119212479,5.04939079284668,440400
1993-04-22 00:00:00+00:00,5.027148246765137,5.049391925388432,5.004904059016673,5.027148246765137,390900
1993-04-23 00:00:00+00:00,5.049390792846679,5.049390792846679,4.982658753693969,5.04939079284668,700800
1993-04-26 00:00:00+00:00,5.027148992071528,5.027148992071528,4.8936848640441895,4.8936848640441895,1038300
1993-04-27 00:00:00+00:00,4.8936846827032525,4.915928363800049,4.8936846827032525,4.915928363800049,604200
1993-04-28 00:00:00+00:00,4.91592854596525,4.91592854596525,4.8936848640441895,4.8936848640441895,815700
1993-04-29 00:00:00+00:00,4.91592854596525,4.938172737011555,4.8936848640441895,4.8936848640441895,477600
1993-04-30 00:00:00+00:00,4.915928617508743,5.093881130218506,4.915928617508743,5.093881130218506,1086600
1993-05-03 00:00:00+00:00,5.071634462894753,5.160610675811767,5.071634462894753,5.160610675811768,654600
1993-05-04 00:00:00+00:00,5.294078350067139,5.338566232294476,5.271834154390795,5.294078350067139,1054200
1993-05-05 00:00:00+00:00,5.472027642618844,5.649979591369629,5.449783458103086,5.649979591369629,1123500
1993-05-06 00:00:00+00:00,5.69446602139631,5.69446602139631,5.516513624114445,5.538757801055908,699600
1993-05-07 00:00:00+00:00,5.494271580581875,5.561003622009489,5.494271580581875,5.516515254974365,197400
