"('date', '')","('open', 'BGY')","('high', 'BGY')","('low', 'BGY')","('close', 'BGY')","('volume', 'BGY')"
2024-01-02 00:00:00+00:00,4.5424604415893555,4.559765036292447,4.525155846886264,4.5424604415893555,197700
2024-01-03 00:00:00+00:00,4.507852073008337,4.525156670862386,4.4818949699401855,4.4818949699401855,210200
2024-01-04 00:00:00+00:00,4.473242711750879,4.551113605499268,4.473242711750879,4.551113605499268,215700
2024-01-05 00:00:00+00:00,4.5338085957115,4.58572279992652,4.516503998497874,4.551113605499268,242800
2024-01-08 00:00:00+00:00,4.577070655563869,4.637636956869378,4.559766056987177,4.628984451293945,322100
2024-01-09 00:00:00+00:00,4.611679553985596,4.611679553985596,4.585722864089046,4.611679553985596,175500
2024-01-10 00:00:00+00:00,4.62033253911278,4.65494173762062,4.611680033198724,4.637637138366699,210400
2024-01-11 00:00:00+00:00,4.64982795715332,4.667243026029221,4.61499781940152,4.64982795715332,181300
2024-01-12 00:00:00+00:00,4.684657096862793,4.693364421841695,4.658534291510276,4.684657096862793,178800
2024-01-16 00:00:00+00:00,4.641119780221715,4.641119780221715,4.554044444001486,4.562751770019531,327500
2024-01-17 00:00:00+00:00,4.53662937675744,4.571459511245531,4.53662937675744,4.562751770019531,233300
2024-01-18 00:00:00+00:00,4.571459511245531,4.571459511245531,4.554044444001486,4.562751770019531,327600
2024-01-19 00:00:00+00:00,4.5801670540117225,4.5801670540117225,4.536629180184137,4.554044246673584,305300
2024-01-22 00:00:00+00:00,4.571459076313886,4.5975818822985905,4.562751335916346,4.580166816711426,167100
2024-01-23 00:00:00+00:00,4.562751572314339,4.562751572314339,4.527921439335446,4.554044246673584,132000
2024-01-24 00:00:00+00:00,4.588875317086864,4.614998129761478,4.554045176992727,4.571460247039795,220400
2024-01-25 00:00:00+00:00,4.571460247039795,4.597583059714409,4.562752504412249,4.571460247039795,196900
2024-01-26 00:00:00+00:00,4.597581585284996,4.623703974374224,4.588873845449995,4.606288909912109,184300
2024-01-29 00:00:00+00:00,4.614998036866596,4.641120433807373,4.597582967170074,4.641120433807373,247800
2024-01-30 00:00:00+00:00,4.641119020999187,4.641119020999187,4.606288892208821,4.623703956604004,134600
2024-01-31 00:00:00+00:00,4.614996450275554,4.641118838235708,4.588873647107531,4.597581386566162,125700
2024-02-01 00:00:00+00:00,4.606289625270271,4.65853482677031,4.588874558103592,4.632412433624268,209200
2024-02-02 00:00:00+00:00,4.632411513984947,4.632411513984947,4.58016632285677,4.597581386566162,152000
2024-02-05 00:00:00+00:00,4.58016798966734,4.588875317086864,4.554045176992727,4.571460247039795,163700
