"('date', '')","('open', 'AMG')","('high', 'AMG')","('low', 'AMG')","('close', 'AMG')","('volume', 'AMG')"
2024-01-02 00:00:00+00:00,149.8593578993129,150.89894577721668,148.56988639507478,149.77938842773438,181500
2024-01-03 00:00:00+00:00,148.7398366086261,148.93975268922873,146.01094473948302,146.3607940673828,203400
2024-01-04 00:00:00+00:00,147.67026267258038,149.69944064342835,146.80061932867963,148.0601043701172,283900
2024-01-05 00:00:00+00:00,147.21044493221345,150.2791954230069,147.21044493221345,149.34957885742188,372200
2024-01-08 00:00:00+00:00,149.18962463740743,152.47828703886637,149.18962463740743,151.49868774414062,149800
2024-01-09 00:00:00+00:00,150.2092344673745,151.05888157232272,147.78020923796387,148.63986206054688,175100
2024-01-10 00:00:00+00:00,148.519903150709,148.9197352548591,147.710233225604,148.27000427246094,151600
2024-01-11 00:00:00+00:00,148.6498691156156,149.41954674950216,147.3903688917676,147.7002410888672,171100
2024-01-12 00:00:00+00:00,149.26962669407888,150.0193234639699,147.22045247251953,147.77023315429688,196600
2024-01-16 00:00:00+00:00,146.76060027279632,147.92011931576187,145.301184314205,147.88014221191406,245300
2024-01-17 00:00:00+00:00,146.1008815129399,149.14965082953847,146.1008815129399,148.82977294921875,281100
2024-01-18 00:00:00+00:00,150.10926764318432,150.52909595989598,148.18005547929855,149.91934204101562,205100
2024-01-19 00:00:00+00:00,151.3987507396336,153.27798002699478,149.91933832395665,153.07806396484375,164400
2024-01-22 00:00:00+00:00,153.6278432834328,155.44709926211317,152.5382877891461,153.18801879882812,261400
2024-01-23 00:00:00+00:00,153.34798457725185,153.34798457725185,150.01932896652966,150.3491973876953,241100
2024-01-24 00:00:00+00:00,152.0784548217089,152.68820867102355,149.64944514086605,149.83935546875,224600
2024-01-25 00:00:00+00:00,150.50909098797834,151.20880473739345,149.489499380193,151.02886962890625,141900
2024-01-26 00:00:00+00:00,151.36873913483686,152.38833081483602,151.0988593319152,151.65863037109375,126200
2024-01-29 00:00:00+00:00,151.69862053038557,152.27838780015924,150.38915275409428,151.72860717773438,137200
2024-01-30 00:00:00+00:00,151.08887306809308,152.28840002376384,150.96892647357353,151.17884826660156,130800
2024-01-31 00:00:00+00:00,150.37914399921405,151.6086421488306,148.59986529404011,148.77978515625,320200
2024-02-01 00:00:00+00:00,149.30959098166696,151.22881271737006,147.64026814778902,151.20883178710938,321900
2024-02-02 00:00:00+00:00,150.56908093905793,151.00890541669122,149.1196552052344,149.59947204589844,404000
2024-02-05 00:00:00+00:00,154.32754227272213,159.42548521360553,153.25798306317563,156.84652709960938,530500
2024-02-06 00:00:00+00:00,156.42672620480582,157.06646680025332,152.89815483814118,154.0476837158203,315500
