"('date', '')","('open', 'BTT')","('high', 'BTT')","('low', 'BTT')","('close', 'BTT')","('volume', 'BTT')"
2012-08-30 00:00:00+00:00,15.323861903705643,15.397416955255299,15.323861903705643,15.385157585144043,97100
2012-08-31 00:00:00+00:00,15.397407586175227,15.415795461035497,15.342241623360076,15.354499816894531,62500
2012-09-04 00:00:00+00:00,15.379011280649113,15.397400315943754,15.366751923786019,15.391270637512207,62800
2012-09-05 00:00:00+00:00,15.385140832555942,15.385140832555942,15.34223425300459,15.379011154174805,117500
2012-09-06 00:00:00+00:00,15.391281394536115,15.391281394536115,15.323856053781896,15.342245101928711,94000
2012-09-07 00:00:00+00:00,15.372886535174402,15.385145895971363,15.32997994150203,15.360627174377441,172800
2012-09-10 00:00:00+00:00,15.372893838233148,15.379023521543601,15.329987224177527,15.348376274108887,69000
2012-09-11 00:00:00+00:00,15.35449749397896,15.385145895971363,15.32997994150203,15.360627174377441,61100
2012-09-12 00:00:00+00:00,15.372888860871972,15.3851482235236,15.342241623360076,15.354499816894531,72700
2012-09-13 00:00:00+00:00,15.379016754109557,15.385146434722685,15.323850797708443,15.3667573928833,52800
2012-09-14 00:00:00+00:00,15.336112856119144,15.366760095457721,15.323853492736816,15.323853492736816,77800
2012-09-17 00:00:00+00:00,15.34837130468589,15.354499816894533,15.323852579382635,15.354499816894531,52600
2012-09-18 00:00:00+00:00,15.599685930396944,15.599685930396944,15.342245101928711,15.342245101928711,99100
2012-09-19 00:00:00+00:00,15.428054823687123,15.428054823687123,15.354499816894533,15.354499816894531,75900
2012-09-20 00:00:00+00:00,15.348371802141807,15.379019040647012,15.323853076043878,15.32998275756836,53400
2012-09-21 00:00:00+00:00,15.323853492736816,15.354500732075394,15.323853492736816,15.323853492736816,68400
2012-09-24 00:00:00+00:00,15.323853492736816,15.354500732075394,15.323853492736816,15.323853492736816,156600
2012-09-25 00:00:00+00:00,15.32384322033738,15.538377259245394,15.32384322033738,15.44030475616455,141700
2012-09-26 00:00:00+00:00,15.415785633904514,15.550636198874617,15.354490028837779,15.446434020996094,47000
2012-09-27 00:00:00+00:00,15.440303544219338,15.440303544219338,15.391267296527886,15.41578483581543,80600
2012-09-28 00:00:00+00:00,15.44644343671145,15.489350035677887,15.385147794280622,15.434184074401855,32900
2012-10-01 00:00:00+00:00,15.403534759745481,15.501608483318268,15.385146886483202,15.46483039855957,50100
2012-10-02 00:00:00+00:00,15.421925687511065,15.538387298583984,15.415796005968573,15.538387298583984,88300
2012-10-03 00:00:00+00:00,15.538391920228243,15.562909484573353,15.421930274515686,15.495485305786133,82100
