"('date', '')","('open', 'CX')","('high', 'CX')","('low', 'CX')","('close', 'CX')","('volume', 'CX')"
1999-09-15 00:00:00+00:00,6.129976404064746,6.197338819290859,6.062613988838633,6.146817684173584,2293406
1999-09-16 00:00:00+00:00,6.180498215484331,6.197338819290859,6.096295196451689,6.146817684173584,464261
1999-09-17 00:00:00+00:00,6.180497373109374,6.298381583687966,6.146816846389137,6.218388557434082,847723
1999-09-20 00:00:00+00:00,6.214179021493826,6.399425651393709,6.197338418775654,6.382585048675537,446890
1999-09-21 00:00:00+00:00,6.382585299152382,6.382585299152382,6.231019868740839,6.29838228225708,24061549
1999-09-22 00:00:00+00:00,6.3320634890152006,6.3320634890152006,6.2478604721199,6.29838228225708,669546
1999-09-23 00:00:00+00:00,6.315222885636141,6.365744695773321,6.264701751801252,6.29838228225708,696654
1999-09-24 00:00:00+00:00,6.231018594027683,6.298380993763233,6.214177994093795,6.281540393829346,503739
1999-09-27 00:00:00+00:00,6.332063053784328,6.36574425822739,6.332063053784328,6.348903656005859,295295
1999-09-28 00:00:00+00:00,6.382585048675537,6.449947459548222,6.298382035084682,6.382585048675537,762714
1999-09-29 00:00:00+00:00,6.365742933086928,6.534148243943486,6.365742933086928,6.44994592666626,501107
1999-09-30 00:00:00+00:00,6.4667880026378946,6.567831618015226,6.433106797512118,6.500469207763672,848776
1999-10-01 00:00:00+00:00,6.466785907745361,6.466785907745361,6.298379936670997,6.466785907745361,305296
1999-10-04 00:00:00+00:00,6.466788062266393,6.483628664984565,6.365744445957366,6.382585048675537,322140
1999-10-05 00:00:00+00:00,6.365744304180916,6.382584906524017,6.214178883093007,6.2647013664245605,262660
1999-10-06 00:00:00+00:00,6.2478581453486886,6.466785907745361,6.2478581453486886,6.466785907745361,264765
1999-10-07 00:00:00+00:00,6.483626504852798,6.601510684604852,6.466785907745361,6.466785907745361,595854
1999-10-08 00:00:00+00:00,6.500467918558916,6.55098971622785,6.416264922444025,6.4836273193359375,1125122
1999-10-11 00:00:00+00:00,6.500469539095827,6.550991349359615,6.466788332253302,6.51731014251709,441364
1999-10-12 00:00:00+00:00,6.517309483971296,6.517309483971296,6.315222263336182,6.315222263336182,258449
1999-10-13 00:00:00+00:00,6.264700494565473,6.298381018262102,6.028932094573975,6.028932094573975,844039
1999-10-14 00:00:00+00:00,6.028933215080259,6.180497966941676,5.826845301226377,5.843686580657959,918520
1999-10-15 00:00:00+00:00,5.725802164075126,5.725802164075126,5.422671318054199,5.422671318054199,1245398
1999-10-18 00:00:00+00:00,5.388989637513951,5.4563523841759975,5.186902750132296,5.287946701049805,1690446
1999-10-19 00:00:00+00:00,5.473192121439716,5.624757526003395,5.4226706580695785,5.540554523468018,1129069
1999-10-20 00:00:00+00:00,5.793163347160494,5.8268445490713745,5.641598614863726,5.675279140472412,675336
1999-10-21 00:00:00+00:00,5.607917942157628,5.708960881123237,5.523714929434405,5.5573954582214355,173966
