"('date', '')","('open', 'ARE')","('high', 'ARE')","('low', 'ARE')","('close', 'ARE')","('volume', 'ARE')"
2024-01-02 00:00:00+00:00,117.47534468272904,121.50835708050825,116.55034196869181,119.61209869384766,964900
2024-01-03 00:00:00+00:00,117.44760371894829,117.44760371894829,113.58109182899392,115.9490966796875,1091900
2024-01-04 00:00:00+00:00,115.23684468580352,117.35510183746773,113.98809238044286,116.2450942993164,844800
2024-01-05 00:00:00+00:00,114.87609621281304,118.19685276815449,113.84009057028416,117.02210235595703,840800
2024-01-08 00:00:00+00:00,117.02209714005893,120.62035013156762,116.96659217745439,120.01910400390625,909400
2024-01-09 00:00:00+00:00,118.31710696567953,119.7231010049913,117.69734975013593,118.71485137939453,630000
2024-01-10 00:00:00+00:00,119.29759859846122,120.3890950026799,118.53908961430574,119.44560241699219,535500
2024-01-11 00:00:00+00:00,118.34486266560592,119.09411268907027,115.89360378910703,116.43010711669922,911500
2024-01-12 00:00:00+00:00,117.90085346886409,119.15886487120596,116.55035025719368,116.78160095214844,900600
2024-01-16 00:00:00+00:00,115.16284824183927,117.54010514815747,114.70034684327767,117.06835174560547,872300
2024-01-17 00:00:00+00:00,114.44133060454065,117.32733439671372,112.31382165658873,113.95108032226562,1200900
2024-01-18 00:00:00+00:00,113.62733914664491,114.49684402610245,111.63858879723048,112.81333923339844,1004400
2024-01-19 00:00:00+00:00,113.43307986595832,114.61708926364248,111.70332931366455,114.09908294677734,1026000
2024-01-22 00:00:00+00:00,114.72809928581697,115.38485044487457,113.38684801209826,114.15460205078125,1187900
2024-01-23 00:00:00+00:00,115.18134324939426,115.18134324939426,112.54508673351143,112.8410873413086,1276900
2024-01-24 00:00:00+00:00,114.66334665004943,115.09809909675367,111.17608918678607,111.71258544921875,960500
2024-01-25 00:00:00+00:00,113.81234273226666,114.55234072086196,112.81333803759131,114.1638412475586,843400
2024-01-26 00:00:00+00:00,114.52458368643958,115.21833572148167,113.18333257490914,115.02408599853516,1054600
2024-01-29 00:00:00+00:00,115.34783427035755,117.29959053875749,114.69108319792689,116.95734405517578,1646700
2024-01-30 00:00:00+00:00,115.1535806832482,115.34783039754004,112.06407514563925,112.11032104492188,1791900
2024-01-31 00:00:00+00:00,112.87809829024856,115.671610889723,110.18634362753568,111.83284759521484,1513000
2024-02-01 00:00:00+00:00,111.46283104420351,113.34058549197701,108.62307289241971,113.28508758544922,1323400
2024-02-02 00:00:00+00:00,110.7135783608275,112.85958439951698,108.965323775987,112.350830078125,1853400
2024-02-05 00:00:00+00:00,110.2233232853625,110.50081985641867,108.71556439283663,109.1595687866211,1316200
2024-02-06 00:00:00+00:00,108.90057323946834,110.55632189653471,108.47506577827968,108.80806732177734,1501900
