"('date', '')","('open', 'CMRE')","('high', 'CMRE')","('low', 'CMRE')","('close', 'CMRE')","('volume', 'CMRE')"
2010-11-04 00:00:00+00:00,5.2078733095620295,5.2599519929915,4.990878588330278,5.142775058746338,7605800
2010-11-05 00:00:00+00:00,5.142777237161778,5.142777237161778,4.817285017439761,5.0993781089782715,1046900
2010-11-08 00:00:00+00:00,4.917099647023515,5.025596992127978,4.847661412378183,4.947478771209717,573000
2010-11-09 00:00:00+00:00,4.891062143626186,4.9865395410943165,4.604628709567805,4.7738847732543945,1185700
2010-11-10 00:00:00+00:00,4.708785660450309,4.743504783062281,4.613307866325092,4.68708610534668,653700
2010-11-11 00:00:00+00:00,4.6653852462768555,4.72180390822355,4.578587464006739,4.6653852462768555,438900
2010-11-12 00:00:00+00:00,4.665387392044067,4.786904343111928,4.635008257748268,4.7738847732543945,116600
2010-11-15 00:00:00+00:00,4.773884514683749,4.943140569202825,4.769544520338086,4.817283630371094,226900
2010-11-16 00:00:00+00:00,4.799924458625344,4.925781407729059,4.682747085036709,4.752185344696045,323500
2010-11-17 00:00:00+00:00,4.75218435677298,4.773883911876609,4.608967872527448,4.68708610534668,221400
2010-11-18 00:00:00+00:00,4.708786115608711,5.068997357939925,4.578589186286489,4.8650221824646,587800
2010-11-19 00:00:00+00:00,4.860683264526283,4.925781950544213,4.795584992393075,4.8563432693481445,82600
2010-11-22 00:00:00+00:00,4.799924458625344,4.8520031533698464,4.739165774481088,4.752185344696045,131100
2010-11-23 00:00:00+00:00,4.752185077310388,4.882382013788341,4.695766391040453,4.808603763580322,123900
2010-11-24 00:00:00+00:00,4.843322625263458,4.886721739665741,4.804263505078328,4.8650221824646,97400
2010-11-26 00:00:00+00:00,4.830303818726487,4.938801207968633,4.778225121556421,4.873702526092529,46000
2010-11-29 00:00:00+00:00,4.838982365011336,4.9431401510735595,4.812943228909234,4.934460163116455,160000
2010-11-30 00:00:00+00:00,4.956159366650785,4.999558475580622,4.821622460075949,4.912760257720947,141800
2010-12-01 00:00:00+00:00,4.9170999140073794,5.068996370954963,4.9170999140073794,5.055976390838623,564300
2010-12-02 00:00:00+00:00,5.077676080299811,5.2078729877709975,5.077676080299811,5.199193000793457,711300
