"('date', '')","('open', 'AVB')","('high', 'AVB')","('low', 'AVB')","('close', 'AVB')","('volume', 'AVB')"
2024-01-02 00:00:00+00:00,176.72818666219342,179.1065063935505,176.71866409295654,179.01136779785156,758600
2024-01-03 00:00:00+00:00,177.78414379892305,177.78414379892305,173.93126330808994,174.36886596679688,1105200
2024-01-04 00:00:00+00:00,174.0644629770807,175.58659338813402,173.38901379669653,174.65428161621094,661600
2024-01-05 00:00:00+00:00,172.79918623205955,175.35826041395336,172.7040476427411,173.779052734375,678100
2024-01-08 00:00:00+00:00,173.21778592655437,176.1288469805414,173.21778592655437,175.55804443359375,814800
2024-01-09 00:00:00+00:00,173.8266298055633,175.27265223445326,172.80870201553688,174.19764709472656,787600
2024-01-10 00:00:00+00:00,175.12994259250002,175.51999049969936,174.05495197963631,174.76844787597656,800000
2024-01-11 00:00:00+00:00,173.62683966574954,175.17750869736727,172.9418824564528,173.85516357421875,1018800
2024-01-12 00:00:00+00:00,175.7102210208117,176.61397942093504,173.4175178095124,173.6553497314453,1002600
2024-01-16 00:00:00+00:00,172.78016702914388,173.38901629913013,170.60163254444495,171.3817138671875,862700
2024-01-17 00:00:00+00:00,168.81311829918891,171.77174839203113,166.5775066379019,169.69786071777344,1353800
2024-01-18 00:00:00+00:00,169.12707316577698,170.24964763791445,167.56689598797624,168.86070251464844,986100
2024-01-19 00:00:00+00:00,168.86070276016395,172.11424244606016,168.39454686195535,171.64808654785156,1046600
2024-01-22 00:00:00+00:00,172.1522876796045,173.36998612073845,170.4113560373325,172.39962768554688,701700
2024-01-23 00:00:00+00:00,172.67551627236344,173.17021082874305,169.42197670239267,170.84896850585938,639400
2024-01-24 00:00:00+00:00,172.21887358297496,172.21887358297496,167.31001856245484,167.4622344970703,908900
2024-01-25 00:00:00+00:00,169.12707463535295,169.45052264080354,166.88194018768138,167.54786682128906,1041700
2024-01-26 00:00:00+00:00,168.41357723965874,169.00339589342738,166.8343694393169,168.86070251464844,790000
2024-01-29 00:00:00+00:00,168.94631885095043,170.36380265256508,168.11866822029512,169.6027374267578,667400
2024-01-30 00:00:00+00:00,168.8797239677387,170.84896506852547,168.41356809551814,169.75494384765625,709400
2024-01-31 00:00:00+00:00,171.31512321514427,173.8361362442396,169.18414357741625,170.2971954345703,1542500
2024-02-01 00:00:00+00:00,163.92329855488614,169.98325227888768,163.62838924568388,169.4790496826172,1716200
2024-02-02 00:00:00+00:00,167.44320248531912,168.5657768486452,164.87462030348908,166.53944396972656,1446400
