"('date', '')","('open', 'CNA')","('high', 'CNA')","('low', 'CNA')","('close', 'CNA')","('volume', 'CNA')"
1973-02-21 00:00:00+00:00,2.1341359615325928,2.1988068715954383,2.1341359615325928,2.1341359615325928,45900
1973-02-22 00:00:00+00:00,2.134135546913116,2.1664708106378443,2.134135546913116,2.150303363800049,48900
1973-02-23 00:00:00+00:00,2.150302971500254,2.18263822932576,2.085632085800171,2.085632085800171,957900
1973-02-26 00:00:00+00:00,2.0856318742086324,2.117967128753662,2.069464061911601,2.117967128753662,54900
1973-02-27 00:00:00+00:00,2.1179676495468227,2.134135465819405,2.085632387050782,2.1018002033233643,44700
1973-02-28 00:00:00+00:00,2.1017996865056636,2.1341349410506933,2.1017996865056636,2.117967128753662,80400
1973-03-01 00:00:00+00:00,2.1179684969635666,2.1341363197050285,2.069465398788452,2.069465398788452,95400
1973-03-02 00:00:00+00:00,2.0694642718628824,2.085632085800171,2.0532968279746644,2.085632085800171,68100
1973-03-05 00:00:00+00:00,2.1017996865056636,2.1341349410506933,2.1017996865056636,2.117967128753662,72900
1973-03-06 00:00:00+00:00,2.117967343625677,2.117967343625677,2.085632085800171,2.085632085800171,53700
1973-03-07 00:00:00+00:00,2.0856320618827966,2.117967319337492,2.020961176924339,2.0532968044281006,150300
1973-03-08 00:00:00+00:00,2.053297946096262,2.069465398788452,2.053297946096262,2.069465398788452,31500
1973-03-09 00:00:00+00:00,2.0694645707782,2.1018002033233643,2.0532971245547413,2.1018002033233643,63000
1973-03-12 00:00:00+00:00,2.1017996865056636,2.117967128753662,2.069464061911601,2.117967128753662,53400
1973-03-13 00:00:00+00:00,2.1179676495468227,2.134135465819405,2.1018002033233643,2.1018002033233643,52800
1973-03-14 00:00:00+00:00,2.1017998756346774,2.134135133089373,2.0532968044281006,2.0532968044281006,87000
1973-03-15 00:00:00+00:00,2.0532969788674955,2.0856322390692577,2.020961348616636,2.0371291637420654,45600
1973-03-16 00:00:00+00:00,2.0371298690223774,2.0371298690223774,2.0047945976257324,2.0047945976257324,75600
1973-03-19 00:00:00+00:00,2.0047945976257324,2.020962048299442,1.9724589561798616,2.0047945976257324,39300
1973-03-20 00:00:00+00:00,2.0047945496067228,2.0209619998931885,1.9886267292710407,2.0209619998931885,57300
1973-03-21 00:00:00+00:00,2.0209619998931885,2.053297640564553,2.0047945496067228,2.0209619998931885,49200
1973-03-22 00:00:00+00:00,2.0209618678208265,2.037129687099922,1.9886265993118286,1.9886265993118286,56700
1973-03-23 00:00:00+00:00,2.0047945976257324,2.0371298690223774,2.0047945976257324,2.0047945976257324,65100
1973-03-26 00:00:00+00:00,2.020961348616636,2.0532969788674955,2.020961348616636,2.0371291637420654,37800
1973-03-27 00:00:00+00:00,2.0694645707782,2.1018002033233643,2.0694645707782,2.1018002033233643,95700
1973-03-28 00:00:00+00:00,2.101800691525775,2.1341359615325928,2.0694650514697472,2.1341359615325928,211800
1973-03-29 00:00:00+00:00,2.1341359615325928,2.1826390515674245,2.117968141504579,2.1341359615325928,214500
1973-03-30 00:00:00+00:00,2.1341360021445315,2.150303822480214,2.0209619998931885,2.0209619998931885,36300
1973-04-02 00:00:00+00:00,2.020961485082299,2.020961485082299,1.9562909603118896,1.9562909603118896,228000
1973-04-03 00:00:00+00:00,1.9401231178870568,1.9401231178870568,1.843116961992704,1.8916200399398804,176100
1973-04-04 00:00:00+00:00,1.8916197776134474,1.8916197776134474,1.8431167063925897,1.859284520149231,203100
1973-04-05 00:00:00+00:00,1.8592845201492312,1.8916197776134474,1.8592845201492312,1.859284520149231,51600
1973-04-06 00:00:00+00:00,1.8754522492751944,1.9886262226970943,1.8754522492751944,1.9562909603118896,103800
1973-04-09 00:00:00+00:00,1.9724582732894436,2.0371291637420654,1.9724582732894436,2.0371291637420654,83400
1973-04-10 00:00:00+00:00,2.0532976014909434,2.166471231539411,2.0532976014909434,2.1341359615325928,351600
1973-04-11 00:00:00+00:00,2.134135465819405,2.150303282091987,2.085632387050782,2.1018002033233643,100500
1973-04-12 00:00:00+00:00,2.101800691525775,2.1503037815606065,2.101800691525775,2.1341359615325928,35400
1973-04-13 00:00:00+00:00,2.1341359615325928,2.1341359615325928,2.101800691525775,2.1341359615325928,17700
1973-04-16 00:00:00+00:00,2.1341363197050285,2.150304142446491,2.069465398788452,2.069465398788452,94200
1973-04-17 00:00:00+00:00,2.0694644239438276,2.0856322390692577,2.0371291637420654,2.0371291637420654,44700
1973-04-18 00:00:00+00:00,2.037130117784101,2.037130117784101,1.9724591970443728,1.9724591970443726,37500
1973-04-19 00:00:00+00:00,2.0047945976257324,2.020962048299442,2.0047945976257324,2.0047945976257324,26700
1973-04-23 00:00:00+00:00,2.004794038914258,2.004794038914258,1.9562909603118896,1.9562909603118896,108900
1973-04-24 00:00:00+00:00,1.9562909603118896,1.9724584064799306,1.9562909603118896,1.9562909603118896,12300
