"('date', '')","('open', 'BDC')","('high', 'BDC')","('low', 'BDC')","('close', 'BDC')","('volume', 'BDC')"
2024-01-02 00:00:00+00:00,76.13650601988338,77.98036543979566,76.13650601988338,76.82421875,234600
2024-01-03 00:00:00+00:00,75.65810387589197,76.0866696638076,74.7012828486843,74.83085632324219,253300
2024-01-04 00:00:00+00:00,74.79098213622362,75.2594236670437,73.7245332145152,74.5517807006836,295900
2024-01-05 00:00:00+00:00,74.0534417291436,75.18965808049128,73.51523278312469,73.67469787597656,186600
2024-01-08 00:00:00+00:00,73.67470410715379,75.23949395874621,73.4355026456067,75.2095947265625,255700
2024-01-09 00:00:00+00:00,74.00360931038786,74.00360931038786,73.03682693506781,73.43550109863281,199800
2024-01-10 00:00:00+00:00,73.16638824222265,74.00359700280296,72.41887716138626,73.47535705566406,170200
2024-01-11 00:00:00+00:00,73.1564295570437,73.49529764458426,72.06008133889655,73.48533630371094,258000
2024-01-12 00:00:00+00:00,74.3823298675662,74.3823298675662,72.38896707498859,72.80757904052734,191400
2024-01-16 00:00:00+00:00,72.16971928555203,72.99695924568194,71.75110722877137,72.23948669433594,191200
2024-01-17 00:00:00+00:00,71.10325145689148,72.15973897155526,70.9637166613073,71.94046783447266,194500
2024-01-18 00:00:00+00:00,72.61820563033599,72.83747674960736,71.85075671288621,72.68797302246094,177800
2024-01-19 00:00:00+00:00,73.13648263417484,73.39562194233804,72.0301656077168,73.16638946533203,189300
2024-01-22 00:00:00+00:00,74.0733738833919,74.6713813038108,73.63483155984879,73.82420349121094,199300
2024-01-23 00:00:00+00:00,74.58168041784866,75.24945521531077,73.85409955805261,74.1830062866211,229700
2024-01-24 00:00:00+00:00,75.32919524726358,75.32919524726358,73.40559950376458,73.65476989746094,204700
2024-01-25 00:00:00+00:00,74.4620808109809,74.5218792731843,73.47536816423926,74.37238311767578,275900
2024-01-26 00:00:00+00:00,74.88068895087073,75.17969648480175,74.51192161031027,74.67138671875,104100
2024-01-29 00:00:00+00:00,74.37237531887234,75.12984777427604,73.9438019751756,74.97038269042969,125500
2024-01-30 00:00:00+00:00,75.07004078870457,76.07669110562843,75.01024233956616,75.70791625976562,121700
2024-01-31 00:00:00+00:00,75.7079298379509,75.76772829781413,73.90393866069338,73.933837890625,304400
2024-02-01 00:00:00+00:00,74.4919704274578,74.9604119317953,73.71456010284496,74.62154388427734,187900
2024-02-02 00:00:00+00:00,73.66474211491068,75.09995847558899,73.48533911931624,74.95045471191406,202400
2024-02-05 00:00:00+00:00,73.9039300362205,74.01356560255999,72.66804718411964,73.2461166381836,154600
2024-02-06 00:00:00+00:00,73.28599310413983,75.25942591756815,73.28599310413983,74.73118591308594,317700
2024-02-07 00:00:00+00:00,74.7311799213198,75.13981536965373,74.04346727413022,74.25276947021484,352100
2024-02-08 00:00:00+00:00,79.5351859256285,85.3259029479134,77.79099331852328,83.95048522949219,665400
2024-02-09 00:00:00+00:00,85.0667639148664,85.0667639148664,81.69798320567186,82.95380401611328,518200
2024-02-12 00:00:00+00:00,83.93055328286368,85.61494755312525,83.62158443246611,85.45547485351562,455800
2024-02-13 00:00:00+00:00,82.3059622722208,82.92389995195823,80.69133546204152,82.56509399414062,936700
2024-02-14 00:00:00+00:00,83.8009886527929,84.55846117487388,82.82423736347788,84.11992645263672,419500
2024-02-15 00:00:00+00:00,84.70796434318524,85.03687108563479,83.47208132788995,84.68803405761719,223500
2024-02-16 00:00:00+00:00,84.34915826322687,85.0767391528055,82.73453899157394,82.8342056274414,252900
