"('date', '')","('open', 'BIP')","('high', 'BIP')","('low', 'BIP')","('close', 'BIP')","('volume', 'BIP')"
2024-01-02 00:00:00+00:00,28.252043272473117,28.935560448420045,28.115340184938542,28.352293014526367,595000
2024-01-03 00:00:00+00:00,28.32494844510425,28.406970635849465,27.86927038019699,27.978633880615234,329700
2024-01-04 00:00:00+00:00,27.869273275140777,27.978636786919246,27.586753332267968,27.741683959960938,362400
2024-01-05 00:00:00+00:00,27.431823572816516,28.26115762428273,27.41359603056418,27.614093780517578,488100
2024-01-08 00:00:00+00:00,27.55029712303199,28.270269345321857,27.295118503100575,28.160905838012695,445900
2024-01-09 00:00:00+00:00,28.06977104607703,28.06977104607703,27.431822731282672,27.66877555847168,226000
2024-01-10 00:00:00+00:00,27.64143401640005,28.36140626283507,27.61409270408734,28.06977081298828,259200
2024-01-11 00:00:00+00:00,28.34317789335148,28.34317789335148,27.30423065338002,27.541183471679688,352300
2024-01-12 00:00:00+00:00,27.668772162348436,28.388742588117307,27.431819364243513,27.477386474609375,250100
2024-01-16 00:00:00+00:00,27.322460520482817,27.84193331555679,26.921465013782214,27.78725242614746,449000
2024-01-17 00:00:00+00:00,27.286007356095414,27.55941354324446,26.939690998214203,27.349802017211914,618000
2024-01-18 00:00:00+00:00,27.47738932027599,27.8875003091368,27.121960955445964,27.641433715820312,512200
2024-01-19 00:00:00+00:00,27.632321611876996,28.30672503780259,27.249551911943644,28.224702835083008,478900
2024-01-22 00:00:00+00:00,28.2429256393818,28.707717464059428,27.787247584396727,27.914836883544922,732800
2024-01-23 00:00:00+00:00,28.05154505444847,28.571017821299993,27.714342488483535,28.179134368896484,871900
2024-01-24 00:00:00+00:00,28.470769565587602,29.16340053693265,27.814593679285306,27.933069229125977,683900
2024-01-25 00:00:00+00:00,28.133568978900186,28.899106650818844,27.93306948587046,28.798858642578125,720100
2024-01-26 00:00:00+00:00,28.917332411352277,29.081376808894237,28.2884978718068,28.434314727783203,467500
2024-01-29 00:00:00+00:00,28.525448324089883,29.13605704675176,28.20647504516308,28.953786849975586,368500
2024-01-30 00:00:00+00:00,28.671266102376475,29.181626841682647,28.452540816219855,29.11783218383789,249500
