"('date', '')","('open', 'ATLC')","('high', 'ATLC')","('low', 'ATLC')","('close', 'ATLC')","('volume', 'ATLC')"
2024-01-02 00:00:00+00:00,38.47999954223633,38.47999954223633,37.0,37.68000030517578,21600
2024-01-03 00:00:00+00:00,37.33000183105469,37.33000183105469,35.7400016784668,35.7400016784668,11800
2024-01-04 00:00:00+00:00,35.7400016784668,35.7400016784668,34.459999084472656,34.630001068115234,10100
2024-01-05 00:00:00+00:00,33.59000015258789,36.2400016784668,33.59000015258789,35.5099983215332,14700
2024-01-08 00:00:00+00:00,35.209999084472656,35.810001373291016,34.86000061035156,35.77000045776367,8200
2024-01-09 00:00:00+00:00,34.0099983215332,35.95000076293945,34.0099983215332,35.52000045776367,10600
2024-01-10 00:00:00+00:00,35.0,36.72999954223633,35.0,35.86000061035156,37800
2024-01-11 00:00:00+00:00,35.7599983215332,36.130001068115234,34.5,35.349998474121094,8500
2024-01-12 00:00:00+00:00,35.790000915527344,35.790000915527344,35.18000030517578,35.61000061035156,8400
2024-01-16 00:00:00+00:00,35.08000183105469,35.540000915527344,34.650001525878906,35.52000045776367,6100
2024-01-17 00:00:00+00:00,34.58000183105469,35.209999084472656,33.959999084472656,35.20000076293945,9400
2024-01-18 00:00:00+00:00,32.36000061035156,34.880001068115234,32.36000061035156,34.61000061035156,8000
2024-01-19 00:00:00+00:00,34.90999984741211,35.02000045776367,32.9900016784668,35.0,12300
2024-01-22 00:00:00+00:00,35.0,35.939998626708984,34.900001525878906,35.939998626708984,9400
2024-01-23 00:00:00+00:00,36.099998474121094,36.099998474121094,34.68000030517578,35.0,15200
2024-01-24 00:00:00+00:00,34.54999923706055,34.869998931884766,34.02000045776367,34.15999984741211,5700
2024-01-25 00:00:00+00:00,34.31999969482422,36.0099983215332,34.31999969482422,36.0,10700
2024-01-26 00:00:00+00:00,36.52000045776367,36.52000045776367,35.7599983215332,36.02000045776367,4500
2024-01-29 00:00:00+00:00,35.790000915527344,36.79999923706055,35.279998779296875,36.630001068115234,5000
2024-01-30 00:00:00+00:00,36.09000015258789,37.08000183105469,36.09000015258789,36.810001373291016,6000
2024-01-31 00:00:00+00:00,34.9900016784668,36.5,34.689998626708984,34.689998626708984,13900
2024-02-01 00:00:00+00:00,35.0,35.400001525878906,34.66999816894531,34.779998779296875,8700
2024-02-02 00:00:00+00:00,34.2599983215332,34.849998474121094,34.189998626708984,34.22999954223633,7400
2024-02-05 00:00:00+00:00,33.7400016784668,34.040000915527344,32.400001525878906,32.959999084472656,9100
