"('date', '')","('open', 'AUPH')","('high', 'AUPH')","('low', 'AUPH')","('close', 'AUPH')","('volume', 'AUPH')"
2024-01-02 00:00:00+00:00,8.859999656677246,8.979999542236328,8.649999618530273,8.739999771118164,1442500
2024-01-03 00:00:00+00:00,8.670000076293945,8.694999694824219,8.390000343322754,8.449999809265137,1207000
2024-01-04 00:00:00+00:00,8.460000038146973,8.595000267028809,8.180000305175781,8.210000038146973,1863800
2024-01-05 00:00:00+00:00,8.4399995803833,8.819999694824219,8.199999809265137,8.399999618530273,4854100
2024-01-08 00:00:00+00:00,8.350000381469727,9.3100004196167,8.210000038146973,9.3100004196167,3727600
2024-01-09 00:00:00+00:00,9.180000305175781,9.329999923706055,8.880000114440918,8.989999771118164,2257700
2024-01-10 00:00:00+00:00,9.130000114440918,9.430000305175781,8.454999923706055,8.510000228881836,2863700
2024-01-11 00:00:00+00:00,8.399999618530273,8.425000190734863,7.769999980926514,7.920000076293945,4809500
2024-01-12 00:00:00+00:00,8.0,8.109999656677246,7.639999866485596,7.739999771118164,2854000
2024-01-16 00:00:00+00:00,7.699999809265137,8.100000381469727,7.559999942779541,7.800000190734863,3230600
2024-01-17 00:00:00+00:00,7.699999809265137,7.90500020980835,7.53000020980835,7.869999885559082,1499900
2024-01-18 00:00:00+00:00,7.900000095367432,8.0,7.710000038146973,7.880000114440918,2619800
2024-01-19 00:00:00+00:00,7.929999828338623,8.050000190734863,7.802999973297119,8.0,1666100
2024-01-22 00:00:00+00:00,7.96999979019165,8.300000190734863,7.909999847412109,8.100000381469727,2153000
2024-01-23 00:00:00+00:00,8.180000305175781,8.239999771118164,7.920000076293945,8.050000190734863,1445400
2024-01-24 00:00:00+00:00,8.149999618530273,8.220000267028809,7.869999885559082,7.880000114440918,1697500
2024-01-25 00:00:00+00:00,7.980000019073486,8.039999961853027,7.800000190734863,8.039999961853027,1126500
2024-01-26 00:00:00+00:00,8.09000015258789,8.133999824523926,7.909999847412109,7.989999771118164,1095200
2024-01-29 00:00:00+00:00,8.0,8.055000305175781,7.78000020980835,8.029999732971191,1141600
2024-01-30 00:00:00+00:00,7.980000019073486,7.985000133514404,7.71999979019165,7.739999771118164,1130600
2024-01-31 00:00:00+00:00,7.71999979019165,7.909999847412109,7.53000020980835,7.539999961853027,1625000
2024-02-01 00:00:00+00:00,7.619999885559082,7.835000038146973,7.409999847412109,7.730000019073486,1610400
2024-02-02 00:00:00+00:00,7.619999885559082,7.730000019073486,7.460000038146973,7.679999828338623,1551900
2024-02-05 00:00:00+00:00,7.570000171661377,7.659999847412109,7.48799991607666,7.550000190734863,1092200
2024-02-06 00:00:00+00:00,7.510000228881836,7.949999809265137,7.5,7.929999828338623,1447300
2024-02-07 00:00:00+00:00,7.900000095367432,7.900000095367432,7.710000038146973,7.78000020980835,986000
2024-02-08 00:00:00+00:00,7.78000020980835,7.949999809265137,7.710000038146973,7.909999847412109,1073900
2024-02-09 00:00:00+00:00,7.980000019073486,8.350000381469727,7.920000076293945,8.289999961853027,2772800
2024-02-12 00:00:00+00:00,8.279999732971191,8.5,8.21500015258789,8.319999694824219,2422700
2024-02-13 00:00:00+00:00,8.0,8.130000114440918,7.739999771118164,7.78000020980835,2247900
2024-02-14 00:00:00+00:00,7.940000057220459,7.980000019073486,7.670000076293945,7.96999979019165,2826700
2024-02-15 00:00:00+00:00,6.0,6.199999809265137,5.5,6.019999980926514,19625700
2024-02-16 00:00:00+00:00,5.920000076293945,6.130000114440918,5.670000076293945,5.849999904632568,5600900
2024-02-20 00:00:00+00:00,5.75,5.849999904632568,5.519999980926514,5.590000152587891,4774600
2024-02-21 00:00:00+00:00,5.550000190734863,5.800000190734863,5.349999904632568,5.739999771118164,5581500
2024-02-22 00:00:00+00:00,5.699999809265137,6.014999866485596,5.639999866485596,6.0,4163300
2024-02-23 00:00:00+00:00,5.960000038146973,6.130000114440918,5.900000095367432,5.949999809265137,2666900
2024-02-26 00:00:00+00:00,5.900000095367432,6.099999904632568,5.889999866485596,6.0,2561400
2024-02-27 00:00:00+00:00,6.039999961853027,6.119999885559082,5.875,6.019999980926514,2168500
2024-02-28 00:00:00+00:00,5.949999809265137,6.03000020980835,5.760000228881836,5.840000152587891,2352100
2024-02-29 00:00:00+00:00,5.960000038146973,6.019999980926514,5.71999979019165,5.71999979019165,2040900
2024-03-01 00:00:00+00:00,5.730000019073486,5.880000114440918,5.639999866485596,5.78000020980835,1583800
2024-03-04 00:00:00+00:00,5.78000020980835,5.800000190734863,5.610000133514404,5.760000228881836,1757000
2024-03-05 00:00:00+00:00,5.71999979019165,5.789999961853027,5.559999942779541,5.599999904632568,2042300
2024-03-06 00:00:00+00:00,5.659999847412109,5.670000076293945,5.474999904632568,5.519999980926514,1766800
2024-03-07 00:00:00+00:00,5.510000228881836,5.579999923706055,5.389999866485596,5.449999809265137,1342200
2024-03-08 00:00:00+00:00,5.460000038146973,5.630000114440918,5.400000095367432,5.429999828338623,1353000
2024-03-11 00:00:00+00:00,5.400000095367432,5.559999942779541,5.34499979019165,5.369999885559082,1469100
2024-03-12 00:00:00+00:00,5.389999866485596,5.389999866485596,5.190000057220459,5.199999809265137,1874000
2024-03-13 00:00:00+00:00,5.159999847412109,5.289999961853027,5.159999847412109,5.25,1348700
2024-03-14 00:00:00+00:00,5.199999809265137,5.239999771118164,4.980000019073486,5.090000152587891,1987500
2024-03-15 00:00:00+00:00,5.070000171661377,5.199999809265137,5.059999942779541,5.170000076293945,2205400
2024-03-18 00:00:00+00:00,5.179999828338623,5.21999979019165,5.059999942779541,5.090000152587891,1267100
2024-03-19 00:00:00+00:00,5.050000190734863,5.190000057220459,4.960000038146973,5.179999828338623,1176500
2024-03-20 00:00:00+00:00,5.150000095367432,5.230000019073486,5.025000095367432,5.139999866485596,1807600
