"('date', '')","('open', 'BSL')","('high', 'BSL')","('low', 'BSL')","('close', 'BSL')","('volume', 'BSL')"
2010-05-26 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,261400
2010-05-27 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,66700
2010-05-28 00:00:00+00:00,6.378075575805288,6.381264686584473,6.378075575805288,6.381264686584473,42700
2010-06-01 00:00:00+00:00,6.378069877624512,6.38444809348457,6.378069877624512,6.378069877624512,42700
2010-06-02 00:00:00+00:00,6.378070745499171,6.394015679058829,6.378070745499171,6.390827178955078,106500
2010-06-03 00:00:00+00:00,6.390827178955078,6.390827178955078,6.387638070591102,6.390827178955078,39600
2010-06-04 00:00:00+00:00,6.390829585791828,6.438665012746224,6.387640476226807,6.387640476226807,65200
2010-06-07 00:00:00+00:00,6.394015679058829,6.403583004150759,6.378070745499171,6.390827178955078,70500
2010-06-08 00:00:00+00:00,6.394014809014515,6.394014809014515,6.378069877624512,6.378069877624512,139400
2010-06-09 00:00:00+00:00,6.378074122881648,6.3844523429870605,6.378074122881648,6.3844523429870605,21300
2010-06-10 00:00:00+00:00,6.38444809348457,6.38444809348457,6.378069877624512,6.378069877624512,16400
2010-06-11 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,11900
2010-06-14 00:00:00+00:00,6.381258985554541,6.381258985554541,6.378069877624512,6.378069877624512,11600
2010-06-15 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,74000
2010-06-16 00:00:00+00:00,6.378075575805288,6.381264686584473,6.378075575805288,6.381264686584473,17900
2010-06-17 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,18000
2010-06-18 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,11000
2010-06-21 00:00:00+00:00,6.378075575805288,6.381264686584473,6.378075575805288,6.381264686584473,17900
2010-06-22 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,10500
2010-06-23 00:00:00+00:00,6.381264686584473,6.381264686584473,6.378075575805288,6.381264686584473,10900
2010-06-24 00:00:00+00:00,6.381264686584473,6.381264686584473,6.378075575805288,6.381264686584473,8200
2010-06-25 00:00:00+00:00,6.378075575805288,6.381264686584473,6.378075575805288,6.381264686584473,35400
2010-06-28 00:00:00+00:00,6.387642908142842,6.387642908142842,6.378075575805288,6.381264686584473,16000
2010-06-29 00:00:00+00:00,6.378069877624512,6.378069877624512,6.378069877624512,6.378069877624512,18600
2010-06-30 00:00:00+00:00,6.381258985554541,6.381258985554541,6.378069877624512,6.378069877624512,24800
2010-07-01 00:00:00+00:00,6.378069877624512,6.381258985554541,6.378069877624512,6.378069877624512,11100
2010-07-02 00:00:00+00:00,6.378075575805288,6.381264686584473,6.378075575805288,6.381264686584473,30400
2010-07-06 00:00:00+00:00,6.378075575805288,6.409966075336452,6.378075575805288,6.381264686584473,20900
2010-07-07 00:00:00+00:00,6.400398742998896,6.409966075336452,6.378075575805288,6.381264686584473,4000
2010-07-08 00:00:00+00:00,6.378073372697651,6.3812624823752575,6.234566478507763,6.282402515411377,530100
2010-07-09 00:00:00+00:00,6.282403585619737,6.282403585619737,6.186732103775336,6.266458034515381,149400
2010-07-12 00:00:00+00:00,6.269643907684541,6.269643907684541,6.151649931736141,6.173973083496094,44200
2010-07-13 00:00:00+00:00,6.173973849802272,6.205863722983043,6.07511329650879,6.075113296508789,72400
2010-07-14 00:00:00+00:00,6.059170786782296,6.059170786782296,5.950743471410608,6.014524459838867,22600
2010-07-15 00:00:00+00:00,6.008141524078767,6.027275562286377,5.957117016685071,6.027275562286377,44200
2010-07-16 00:00:00+00:00,6.020897346797137,6.027275562286377,6.008141524078767,6.027275562286377,9600
2010-07-19 00:00:00+00:00,6.011335254964485,6.107006127840292,6.011335254964485,6.081493854522705,33600
2010-07-20 00:00:00+00:00,6.068736143242763,6.097437517872286,6.03684565940325,6.059168815612793,32600
2010-07-21 00:00:00+00:00,6.059171007825182,6.138896942138672,6.049603676733746,6.138896942138672,33900
2010-07-22 00:00:00+00:00,6.02727824119573,6.113382363790332,6.02727824119573,6.09105920791626,36300
2010-07-23 00:00:00+00:00,6.068731824873823,6.087865858258041,5.998572688698432,6.062353610992432,33900
2010-07-26 00:00:00+00:00,6.068738358835928,6.091061523195279,5.8263714447361314,5.928420543670654,105600
2010-07-27 00:00:00+00:00,5.94436502456665,5.985822847944567,5.931609192323066,5.94436502456665,62100
2010-07-28 00:00:00+00:00,5.960307945897046,6.040033839096407,5.960307945897046,6.036844730377197,52000
2010-07-29 00:00:00+00:00,6.017713123265305,6.036847175068827,5.985822631419077,5.99220085144043,28600
2010-07-30 00:00:00+00:00,5.9794407737128,6.024087070179934,5.941172085126563,5.966684341430664,36700
2010-08-02 00:00:00+00:00,5.963497658141935,6.068735823485129,5.953930331016061,5.998576641082764,54400
2010-08-03 00:00:00+00:00,6.001764113903542,6.103813142383827,6.001764113903542,6.068734169006348,31700
2010-08-04 00:00:00+00:00,6.097437781738651,6.164407253265381,6.097437781738651,6.164407253265381,28300
2010-08-05 00:00:00+00:00,6.145272320443019,6.158028147737604,6.107003622038612,6.154839038848877,14200
2010-08-06 00:00:00+00:00,6.164405757773143,6.224997604164635,6.154838432050192,6.173973083496094,32200
2010-08-09 00:00:00+00:00,6.173974581309377,6.177163690657375,6.062358187171079,6.164407253265381,26900
2010-08-10 00:00:00+00:00,6.170785809271347,6.2186212355852994,6.135706212786242,6.202676296234131,26300
2010-08-11 00:00:00+00:00,6.202674016422308,6.205862516512242,6.129325740889156,6.1675944328308105,16300
2010-08-12 00:00:00+00:00,6.18035164555299,6.209053018888064,6.138894444213638,6.193108081817627,19500
2010-08-13 00:00:00+00:00,6.199486774321675,6.218620821922368,6.1548398522395145,6.212242603302002,30300
2010-08-16 00:00:00+00:00,6.2122414152407455,6.324491024017333,6.176962617216967,6.324491024017334,133300
2010-08-17 00:00:00+00:00,6.29563092163232,6.3565669016873025,6.279595427167016,6.327702522277832,52000
2010-08-18 00:00:00+00:00,6.305249777619327,6.362978510731724,6.2218638977586025,6.350149631500244,52400
2010-08-19 00:00:00+00:00,6.366186068638418,6.366186068638418,6.241106936347247,6.286007404327393,51200
2010-08-20 00:00:00+00:00,6.302043825886382,6.302043825886382,6.138479253060919,6.2282795906066895,30600
2010-08-23 00:00:00+00:00,6.212246477530849,6.215453087496506,6.119238883937128,6.170553207397461,53000
2010-08-24 00:00:00+00:00,6.061504890404773,6.132062483108614,6.039054969713354,6.083954811096191,64600
