"('date', '')","('open', 'AER')","('high', 'AER')","('low', 'AER')","('close', 'AER')","('volume', 'AER')"
2024-01-02 00:00:00+00:00,72.67629891270708,72.80428210542304,70.70728511663135,71.22907257080078,2011100
2024-01-03 00:00:00+00:00,69.5750938713851,70.53006667079624,69.38804268667741,69.56525421142578,2869600
2024-01-04 00:00:00+00:00,69.82123024030811,71.62287973953504,69.81139057898623,71.33737182617188,2319100
2024-01-05 00:00:00+00:00,70.98295128340408,72.60738929183266,70.83527373514836,71.95761108398438,1940000
2024-01-08 00:00:00+00:00,72.06590334569815,72.36125842538047,71.2093871347645,72.16436004638672,973000
2024-01-09 00:00:00+00:00,71.43581019060622,72.57784167096752,71.43581019060622,71.99697875976562,1239900
2024-01-10 00:00:00+00:00,73.30638544749695,73.77895208101984,72.96180952263225,73.09963989257812,1558600
2024-01-11 00:00:00+00:00,72.83381933845313,73.12916688378034,72.19388839012414,73.07009887695312,1102500
2024-01-12 00:00:00+00:00,73.29653827501744,73.79863891478703,72.78459797396015,73.09963989257812,1509100
2024-01-16 00:00:00+00:00,72.44986725274202,72.9913491126608,72.09545163947712,72.5778579711914,1419800
2024-01-17 00:00:00+00:00,71.79023323546382,72.73535885135384,71.67209722797176,71.99697875976562,1430300
2024-01-18 00:00:00+00:00,72.63692655018912,73.61158639439137,72.63692655018912,73.54267120361328,1781700
2024-01-19 00:00:00+00:00,73.6608009463154,74.48779059187387,73.05040400581252,74.47794342041016,1053500
2024-01-22 00:00:00+00:00,74.43856462105158,74.99973323333359,74.17274356138621,74.48779296875,1279500
2024-01-23 00:00:00+00:00,75.08834011024145,75.3147800086559,74.08414634838375,74.12352752685547,1248500
2024-01-24 00:00:00+00:00,74.82253463812958,75.2360257900225,74.31059428500396,74.34996795654297,1101600
2024-01-25 00:00:00+00:00,75.06865742221031,76.44696870006966,75.06865742221031,76.41743469238281,1570500
2024-01-26 00:00:00+00:00,76.49618294530016,77.56929936959153,75.92517465315103,76.61432647705078,1247500
2024-01-29 00:00:00+00:00,76.23037440612738,76.64386552768751,75.24586744363636,75.86610412597656,1319600
2024-01-30 00:00:00+00:00,75.8759532440358,76.75216386222165,75.8759532440358,76.64386749267578,1296700
2024-01-31 00:00:00+00:00,76.67338904426657,76.9785912684914,75.31477232594496,75.37384033203125,1859400
2024-02-01 00:00:00+00:00,76.10237884521484,76.65370025108804,75.28523639637365,76.10237884521484,1197100
2024-02-02 00:00:00+00:00,75.98424248578098,77.421621651691,75.89563295937731,76.99828338623047,1049800
2024-02-05 00:00:00+00:00,76.5946354422807,77.1361096995865,75.85625530952552,76.8210678100586,1232000
2024-02-06 00:00:00+00:00,76.82106395067187,77.34285134981438,75.89562516053034,76.00392150878906,1433800
2024-02-07 00:00:00+00:00,76.77185108660554,77.30347820081583,76.40758083090665,76.7423095703125,870300
2024-02-08 00:00:00+00:00,76.46664382450942,76.86044805947427,75.04895909430341,76.11222076416016,1039300
2024-02-09 00:00:00+00:00,76.20083616415799,76.28943818048592,75.53137116642215,76.07284545898438,1120600
