"('date', '')","('open', 'BEEP')","('high', 'BEEP')","('low', 'BEEP')","('close', 'BEEP')","('volume', 'BEEP')"
2024-01-02 00:00:00+00:00,3.930000066757202,3.9600000381469727,3.7300000190734863,3.8399999141693115,29300
2024-01-03 00:00:00+00:00,3.809999942779541,4.099999904632568,3.7699999809265137,4.099999904632568,21100
2024-01-04 00:00:00+00:00,4.0,4.230000019073486,3.9800000190734863,4.099999904632568,16000
2024-01-05 00:00:00+00:00,3.6500000953674316,4.230000019073486,3.6500000953674316,3.940000057220459,29400
2024-01-08 00:00:00+00:00,4.03000020980835,4.142000198364258,3.7699999809265137,4.03000020980835,32400
2024-01-09 00:00:00+00:00,3.799999952316284,3.950000047683716,3.799999952316284,3.799999952316284,22800
2024-01-10 00:00:00+00:00,3.821000099182129,3.950000047683716,3.7899999618530273,3.8399999141693115,13700
2024-01-11 00:00:00+00:00,3.7880001068115234,3.865000009536743,3.7869999408721924,3.865000009536743,6600
2024-01-12 00:00:00+00:00,3.869999885559082,4.03000020980835,3.700000047683716,3.8450000286102295,16200
2024-01-16 00:00:00+00:00,3.799999952316284,3.950000047683716,3.799999952316284,3.950000047683716,10000
2024-01-17 00:00:00+00:00,3.799999952316284,3.990000009536743,3.6600000858306885,3.799999952316284,34400
2024-01-18 00:00:00+00:00,3.9059998989105225,3.9059998989105225,3.809999942779541,3.809999942779541,1100
2024-01-19 00:00:00+00:00,3.859999895095825,3.859999895095825,3.799999952316284,3.8299999237060547,3700
2024-01-22 00:00:00+00:00,3.7200000286102295,3.990000009536743,3.7200000286102295,3.880000114440918,21200
2024-01-23 00:00:00+00:00,3.759999990463257,4.050000190734863,3.7100000381469727,3.859999895095825,39100
2024-01-24 00:00:00+00:00,3.9600000381469727,4.070000171661377,3.7899999618530273,3.7899999618530273,17900
2024-01-25 00:00:00+00:00,3.9000000953674316,3.9100000858306885,3.7799999713897705,3.799999952316284,13300
2024-01-26 00:00:00+00:00,3.8399999141693115,3.990000009536743,3.759999990463257,3.799999952316284,22500
2024-01-29 00:00:00+00:00,3.8399999141693115,3.9600000381469727,3.8399999141693115,3.940000057220459,5800
2024-01-30 00:00:00+00:00,3.859999895095825,3.9700000286102295,3.799999952316284,3.9700000286102295,14600
2024-01-31 00:00:00+00:00,4.039999961853027,4.039999961853027,3.8499999046325684,3.8499999046325684,17800
2024-02-01 00:00:00+00:00,3.890000104904175,3.940000057220459,3.812000036239624,3.890000104904175,23600
2024-02-02 00:00:00+00:00,3.8299999237060547,3.890000104904175,3.759999990463257,3.809999942779541,22000
2024-02-05 00:00:00+00:00,3.8499999046325684,3.9800000190734863,3.799999952316284,3.8399999141693115,13700
2024-02-06 00:00:00+00:00,3.7899999618530273,3.809999942779541,3.6600000858306885,3.799999952316284,15900
2024-02-07 00:00:00+00:00,3.990000009536743,3.990000009536743,3.7799999713897705,3.8499999046325684,8100
2024-02-08 00:00:00+00:00,3.8980000019073486,3.9739999771118164,3.880000114440918,3.950000047683716,8400
2024-02-09 00:00:00+00:00,3.990000009536743,3.990000009536743,3.759999990463257,3.819999933242798,78800
2024-02-12 00:00:00+00:00,3.880000114440918,4.019999980926514,3.7699999809265137,3.8499999046325684,28200
2024-02-13 00:00:00+00:00,3.7100000381469727,4.019999980926514,3.7100000381469727,3.930000066757202,12000
2024-02-14 00:00:00+00:00,3.7200000286102295,3.940000057220459,3.7200000286102295,3.940000057220459,17800
2024-02-15 00:00:00+00:00,3.869999885559082,4.03000020980835,3.759999990463257,4.03000020980835,27500
2024-02-16 00:00:00+00:00,3.9000000953674316,4.010000228881836,3.9000000953674316,3.933000087738037,8000
2024-02-20 00:00:00+00:00,3.890000104904175,3.9200000762939453,3.885999917984009,3.9200000762939453,4000
2024-02-21 00:00:00+00:00,3.8499999046325684,3.9600000381469727,3.799999952316284,3.9200000762939453,19500
2024-02-22 00:00:00+00:00,3.859999895095825,4.005000114440918,3.8499999046325684,3.990000009536743,17200
