"('date', '')","('open', 'AYI')","('high', 'AYI')","('low', 'AYI')","('close', 'AYI')","('volume', 'AYI')"
2024-01-02 00:00:00+00:00,202.2334854968739,203.5480400179355,201.06829179502364,202.0442657470703,184500
2024-01-03 00:00:00+00:00,201.12807508404714,203.36880668384478,199.44503425107197,200.38116455078125,795800
2024-01-04 00:00:00+00:00,201.04837721104028,204.73313233357806,201.04837721104028,202.6915740966797,410800
2024-01-05 00:00:00+00:00,201.39693300208157,205.35058026883692,201.39693300208157,204.53396606445312,438100
2024-01-08 00:00:00+00:00,204.6833547673455,206.8842577544488,203.4982543278232,203.67752075195312,565100
2024-01-09 00:00:00+00:00,215.22972388421758,227.31971451729993,213.4371508487353,227.060791015625,1240400
2024-01-10 00:00:00+00:00,228.02678023853593,229.39113178611558,224.57107337055177,228.95294189453125,529600
2024-01-11 00:00:00+00:00,229.00275706324217,229.00275706324217,222.40007855334073,223.77438354492188,427100
2024-01-12 00:00:00+00:00,224.710497055476,224.74037225767904,221.01577335840398,223.64491271972656,197700
2024-01-16 00:00:00+00:00,222.28054459781424,223.59511427035991,221.03569386059985,223.31626892089844,221600
2024-01-17 00:00:00+00:00,222.15107829226775,224.0531985656877,221.32449562449852,223.2764129638672,163800
2024-01-18 00:00:00+00:00,224.43165689786684,225.6267106014388,222.5693650031,225.45741271972656,137700
2024-01-19 00:00:00+00:00,225.11882093413024,230.2077715948017,224.09306509414552,229.56044006347656,248700
2024-01-22 00:00:00+00:00,231.04429463396085,232.3090672258266,228.59442172016665,231.3131866455078,241700
2024-01-23 00:00:00+00:00,231.23353483246962,232.23936883704087,228.3056432359569,230.10818481445312,350400
2024-01-24 00:00:00+00:00,231.9903843405105,232.89663933982234,227.65831281801104,228.01683044433594,245100
2024-01-25 00:00:00+00:00,230.47663932742827,236.13324902169063,230.3671070498255,235.81455993652344,297400
2024-01-26 00:00:00+00:00,239.95743659031913,241.10270844111767,237.1191858907212,238.1150665283203,360000
2024-01-29 00:00:00+00:00,237.2984361273055,241.20228638699186,237.2984361273055,240.00723266601562,308700
2024-01-30 00:00:00+00:00,239.04122019835137,243.15421195618742,238.20468413788942,241.97906494140625,160000
2024-01-31 00:00:00+00:00,241.10271202108706,242.39734471244293,236.54157680964602,237.17893981933594,239100
2024-02-01 00:00:00+00:00,239.03127128271723,239.55908679700164,235.0875773311528,239.15077209472656,207000
2024-02-02 00:00:00+00:00,237.09796923863757,239.82839313696957,236.54990471195714,238.41336059570312,160400
2024-02-05 00:00:00+00:00,237.0780261971433,238.4133365330201,233.84935108738128,236.07154846191406,167800
2024-02-06 00:00:00+00:00,235.49361012712194,236.35058816037855,232.67350464639088,233.7596893310547,227400
2024-02-07 00:00:00+00:00,233.9689536250067,237.15777567482007,232.3845173624676,235.483642578125,211800
2024-02-08 00:00:00+00:00,235.4836363080722,241.0441252224553,235.4836363080722,240.93450927734375,230900
2024-02-09 00:00:00+00:00,240.1372857536373,241.42278312299896,238.2738300321023,239.4596710205078,283200
2024-02-12 00:00:00+00:00,239.4796163465643,241.02418388438582,238.16422504353358,240.64552307128906,139900
2024-02-13 00:00:00+00:00,236.3206930884315,237.56632190548086,232.68346302481936,234.33766174316406,189100
2024-02-14 00:00:00+00:00,236.5598453956344,241.8612486281065,236.16125027977094,241.7516326904297,193500
2024-02-15 00:00:00+00:00,242.18014007254638,242.18014007254638,236.98836758888098,241.14378356933594,157200
2024-02-16 00:00:00+00:00,239.3799673544639,242.24990104576776,239.29028572796815,239.33013916015625,105500
2024-02-20 00:00:00+00:00,237.52648047849016,239.140810641238,235.6929184164271,238.94151306152344,147800
2024-02-21 00:00:00+00:00,238.3834633728682,238.73224552624976,236.77909283708698,237.3470916748047,184700
2024-02-22 00:00:00+00:00,239.0311811020709,241.75164536924544,238.67243939680776,241.47262573242188,118400
2024-02-23 00:00:00+00:00,241.9609078854072,244.03363609473,241.9110796908435,243.94395446777344,81800
2024-02-26 00:00:00+00:00,243.1068764520874,244.9802917360717,241.91106069816382,243.52540588378906,145100
2024-02-27 00:00:00+00:00,244.99029138907355,250.06248848092187,244.4123177707347,249.28521728515625,243500
2024-02-28 00:00:00+00:00,249.32507195922508,251.0789271423415,248.0096957773183,249.18556213378906,262200
2024-02-29 00:00:00+00:00,250.53085390163767,251.11878709513635,248.01966177316564,250.3614501953125,355100
2024-03-01 00:00:00+00:00,248.87663677514308,252.02559006292253,248.42821344366124,250.73013305664062,142500
2024-03-04 00:00:00+00:00,252.12522519988707,256.8984680052797,252.0056497024734,256.420166015625,208600
2024-03-05 00:00:00+00:00,254.75599178541646,257.1077547336905,253.43065614540853,255.63291931152344,198800
2024-03-06 00:00:00+00:00,257.70564734937,260.0474356734294,256.35041775553344,259.3897399902344,148900
2024-03-07 00:00:00+00:00,262.7778698571424,263.3757473662081,254.2278565471813,256.0315246582031,314700
2024-03-08 00:00:00+00:00,256.0415022567065,256.3603905389809,252.23485321556456,253.0320587158203,173200
2024-03-11 00:00:00+00:00,251.99569789747548,254.45706166448088,251.8462133156808,253.7395782470703,206100
2024-03-12 00:00:00+00:00,254.40726666355854,257.64588681563947,252.4640884901372,257.6060485839844,182400
2024-03-13 00:00:00+00:00,257.12767589155266,260.1669979719843,255.78239071743113,256.5596618652344,163300
2024-03-14 00:00:00+00:00,258.11420154287435,260.3463889892236,254.37733041967877,255.80233764648438,146300
2024-03-15 00:00:00+00:00,254.84568332736978,257.894964876651,253.59007981277438,257.6358947753906,413500
2024-03-18 00:00:00+00:00,257.0978291434024,264.2826087993833,257.0978291434024,261.72161865234375,274300
2024-03-19 00:00:00+00:00,260.7948177844112,263.61493858747673,259.09080599846243,262.2696533203125,171500
2024-03-20 00:00:00+00:00,263.4953759730404,265.1196505603769,260.764936666081,265.0997314453125,230400
2024-03-21 00:00:00+00:00,266.82363102833426,269.2551005808783,265.68760310471777,268.30841064453125,257000
2024-03-22 00:00:00+00:00,267.6008940499142,268.2785087151272,265.767332385356,266.9930114746094,174100
2024-03-25 00:00:00+00:00,266.5545753464943,267.52118446425436,264.322418378,265.279052734375,225100
2024-03-26 00:00:00+00:00,265.25915734752186,267.4415015259976,265.25915734752186,266.90338134765625,320200
2024-03-27 00:00:00+00:00,269.36472523375284,270.0025017550766,265.9068585850253,266.65423583984375,210600
2024-03-28 00:00:00+00:00,266.3652606887761,268.7768115192538,266.2656347096257,267.790283203125,315300
2024-04-01 00:00:00+00:00,268.059316711993,268.059316711993,262.98711990752645,264.21282958984375,335400
2024-04-02 00:00:00+00:00,261.6518005767661,261.6518005767661,257.6259199329839,260.91436767578125,467800
2024-04-03 00:00:00+00:00,262.4091139253355,271.7862105300575,257.97469395169946,263.7643737792969,584800
2024-04-04 00:00:00+00:00,269.9327367116435,271.4773041927564,261.1335982174484,263.5750427246094,374600
2024-04-05 00:00:00+00:00,265.17942245233013,271.45741016039307,265.17942245233013,270.9392395019531,309300
2024-04-08 00:00:00+00:00,271.4673779223431,271.65668552640483,266.2257620771881,266.8934020996094,227500
2024-04-09 00:00:00+00:00,267.1624759485709,267.61088407818283,262.9273379518078,265.3189392089844,177100
2024-04-10 00:00:00+00:00,261.7115879410959,267.0827233012538,261.7115879410959,265.07977294921875,215200
2024-04-11 00:00:00+00:00,266.4250665680277,266.4250665680277,261.90096418014815,264.0733337402344,226700
2024-04-12 00:00:00+00:00,262.22972757558694,262.73795377738327,256.33044753838857,256.67919921875,232600
2024-04-15 00:00:00+00:00,259.6588085187776,260.19689827302915,250.56073075462442,251.58712768554688,241800
2024-04-16 00:00:00+00:00,250.61994519655866,252.0059072510552,249.09439038889232,251.26805114746094,272300
2024-04-17 00:00:00+00:00,253.6411375760454,253.6411375760454,247.7682461662002,247.99757385253906,239500
2024-04-18 00:00:00+00:00,249.72257470470316,250.4305192317745,244.9564592453445,246.14300537109375,244400
2024-04-19 00:00:00+00:00,246.82100879763388,248.41636765383137,244.10892308524956,246.3424072265625,253800
2024-04-22 00:00:00+00:00,247.81811175393662,251.53728896655164,246.38230699741507,248.8750457763672,216200
2024-04-23 00:00:00+00:00,250.52023297830945,254.86756976911877,250.52023297830945,254.44879150390625,177100
2024-04-24 00:00:00+00:00,254.68808866494567,255.85470375388016,249.91200805677846,252.35488891601562,198700
2024-04-25 00:00:00+00:00,249.55303976141747,252.55429148952084,247.2896289046691,250.9988250732422,245700
2024-04-26 00:00:00+00:00,250.27096265070142,253.5314690934931,250.25101648127543,251.42759704589844,192100
2024-04-29 00:00:00+00:00,253.03292510646494,255.41598270343815,251.46747789443307,253.2622528076172,270100
2024-04-30 00:00:00+00:00,252.0756912638421,254.0898282768314,247.43920363618298,247.57879638671875,238600
2024-05-01 00:00:00+00:00,247.41928812793304,250.40060928710494,244.94649543438382,245.30545043945312,264800
2024-05-02 00:00:00+00:00,248.99467110595666,250.29089820321306,244.23852166182093,249.74249267578125,211400
2024-05-03 00:00:00+00:00,252.3050502989276,254.49867267199494,250.9888920895578,253.67108154296875,203700
