"('date', '')","('open', 'BFST')","('high', 'BFST')","('low', 'BFST')","('close', 'BFST')","('volume', 'BFST')"
2024-01-02 00:00:00+00:00,23.45346910805578,23.96207425232428,23.338312155748056,23.52064323425293,45900
2024-01-03 00:00:00+00:00,23.434274246225463,23.5206414964858,22.724144945474087,22.762529373168945,66700
2024-01-04 00:00:00+00:00,22.916071790450193,22.964054615205395,22.54181490914767,22.80091667175293,69800
2024-01-05 00:00:00+00:00,21.802895292864854,23.069614376860255,21.802895292864854,22.704952239990234,147200
2024-01-08 00:00:00+00:00,22.685758590698242,22.762529276118162,22.46504309891066,22.685758590698242,43000
2024-01-09 00:00:00+00:00,22.37867526269104,22.397868391132533,22.157959776686262,22.225133895874023,37500
2024-01-10 00:00:00+00:00,22.100382642229413,22.196344625547837,21.841280894411643,22.167556762695312,55900
2024-01-11 00:00:00+00:00,22.109979881911155,22.109979881911155,21.620566064538075,21.975629806518555,41400
2024-01-12 00:00:00+00:00,22.157958779339598,22.724143230377003,21.649351880677596,22.004417419433594,79700
2024-01-16 00:00:00+00:00,21.726122882868513,21.793297000029032,21.323076349547996,21.39984703063965,41200
2024-01-17 00:00:00+00:00,21.044784023444535,21.601371937632912,21.01599433068467,21.572582244873047,40600
2024-01-18 00:00:00+00:00,21.610966632099267,21.783701112998465,21.562983814984314,21.754911422729492,30400
2024-01-19 00:00:00+00:00,21.850876918918406,21.999619087601317,21.543794187028897,21.966032028198242,33900
2024-01-22 00:00:00+00:00,22.22513305262269,22.820107199232616,22.20593992490941,22.810510635375977,79300
2024-01-23 00:00:00+00:00,22.752932416636497,22.8968790514953,22.42665838060037,22.455446243286133,48700
2024-01-24 00:00:00+00:00,22.9640544645383,23.16557683611513,21.831685432751552,22.100383758544922,62300
2024-01-25 00:00:00+00:00,22.436253711708297,22.455446840914608,22.10518046950837,22.36907958984375,57900
2024-01-26 00:00:00+00:00,22.55140807516722,22.767326178128588,22.493830524496634,22.561004638671875,61600
2024-01-29 00:00:00+00:00,22.61858363467475,22.9160698008991,22.463124054894532,22.906475067138672,43300
2024-01-30 00:00:00+00:00,22.772124722850926,23.002436767806127,22.695354041199188,22.752931594848633,21300
2024-01-31 00:00:00+00:00,22.426658980727503,22.474639973392723,21.63975715637207,21.63975715637207,60300
2024-02-01 00:00:00+00:00,21.927646993179458,21.927646993179458,20.843259067145084,21.505407333374023,65200
2024-02-02 00:00:00+00:00,21.150342215936792,21.58217658059966,21.140745652674426,21.342267990112305,50200
2024-02-05 00:00:00+00:00,21.102361380509482,21.102361380509482,20.747297658258347,20.87204933166504,45800
2024-02-06 00:00:00+00:00,20.824068465513975,21.02079345614028,20.40182879159991,20.58415985107422,47900
2024-02-07 00:00:00+00:00,20.641736255646617,20.728103498460158,19.768469094182905,20.46900177001953,61300
2024-02-08 00:00:00+00:00,20.526581504281214,20.593755626865786,20.373040129700033,20.516984939575195,32600
2024-02-09 00:00:00+00:00,20.55537149504436,20.987207761259455,20.440214547267804,20.929628372192383,37200
2024-02-12 00:00:00+00:00,21.300045408755842,21.75491303076963,21.300045408755842,21.524600982666016,53900
2024-02-13 00:00:00+00:00,20.84326159159852,20.84326159159852,20.113939120095534,20.32505989074707,87700
2024-02-14 00:00:00+00:00,20.61486418330102,20.67282485961914,20.32505895917373,20.67282485961914,44100
2024-02-15 00:00:00+00:00,20.914329512325285,21.600204568152943,20.866029256543566,21.5422420501709,58100
