"('date', '')","('open', 'CION')","('high', 'CION')","('low', 'CION')","('close', 'CION')","('volume', 'CION')"
2021-10-05 00:00:00+00:00,7.447061138006246,7.815977120359476,6.352916088986202,6.788282871246338,182400
2021-10-06 00:00:00+00:00,6.75963926892056,7.160634703027485,6.75963926892056,6.839838027954102,222300
2021-10-07 00:00:00+00:00,6.730997089919445,6.938369351971378,6.662255057537415,6.759639739990234,320400
2021-10-08 00:00:00+00:00,6.759638879771295,7.011692966429473,6.704072287746671,6.845566272735596,201600
2021-10-11 00:00:00+00:00,6.816925048828125,6.874210353633668,6.788282942738508,6.816925048828125,89100
2021-10-12 00:00:00+00:00,6.816923887963444,6.971593856811524,6.7940098792059205,6.971593856811523,138900
2021-10-13 00:00:00+00:00,6.902852531261601,6.988779936246715,6.81692457996337,6.874209880828857,117700
2021-10-14 00:00:00+00:00,6.874208919161376,6.913735760302692,6.805466895527327,6.845566272735596,107800
2021-10-15 00:00:00+00:00,6.816924270782979,6.9314948673176255,6.816924270782979,6.885666847229004,91500
2021-10-18 00:00:00+00:00,6.937223433792559,6.942952073273082,6.816924736267225,6.8283820152282715,88000
2021-10-19 00:00:00+00:00,6.805466895527327,6.885666196256905,6.799738256979563,6.845566272735596,78400
2021-10-20 00:00:00+00:00,6.822652264857579,6.902851565587157,6.816923626309815,6.845566272735596,101800
2021-10-21 00:00:00+00:00,6.788283580909914,6.891396374415181,6.616428196650193,6.771097660064697,127100
2021-10-22 00:00:00+00:00,6.816925130634845,6.845567783381343,6.748183091831146,6.822653770446777,107000
2021-10-25 00:00:00+00:00,6.828381858661714,6.885667159527202,6.773960877470813,6.874209880828857,76500
2021-10-26 00:00:00+00:00,6.874209314906386,6.942951342497881,6.799738648437331,6.839838027954102,69400
2021-10-27 00:00:00+00:00,6.730996194388963,7.051792849137578,6.730996194388963,7.03460693359375,73100
2021-10-28 00:00:00+00:00,6.977322001593861,7.275204094352002,6.960136086507663,7.21791934967041,65400
2021-10-29 00:00:00+00:00,7.189276704173102,7.275204094352002,7.12626277481642,7.21791934967041,62300
2021-11-01 00:00:00+00:00,7.160634689097649,7.26088368400763,7.1491774113648185,7.252290725708008,248900
2021-11-02 00:00:00+00:00,7.1892770213965855,7.298118423513303,7.145167159637976,7.235105037689209,109900
