"('date', '')","('open', 'BNS')","('high', 'BNS')","('low', 'BNS')","('close', 'BNS')","('volume', 'BNS')"
2002-06-07 00:00:00+00:00,6.012382708588083,6.054039231886899,5.998497642227128,6.040153503417969,256000
2002-06-10 00:00:00+00:00,6.026269804672398,6.040154874184463,5.942957401275634,5.942957401275635,29800
2002-06-11 00:00:00+00:00,5.901298637110625,5.998496735374812,5.880470709663969,5.894355773925781,62200
2002-06-12 00:00:00+00:00,5.9221258923092135,5.989817145407803,5.920390507763932,5.937747001647949,73000
2002-06-13 00:00:00+00:00,5.936011137839986,5.936011137839986,5.791949734224253,5.833606243133545,21600
2002-06-14 00:00:00+00:00,5.7659165925058335,5.7971588173141315,5.750295480101684,5.77112340927124,24400
2002-06-17 00:00:00+00:00,5.785009354245705,5.8665856891045225,5.758973945224152,5.817986965179443,29600
2002-06-18 00:00:00+00:00,5.835344103871151,5.868322380534021,5.797159671783447,5.797159671783447,26800
2002-06-19 00:00:00+00:00,5.830137286338289,5.830137286338289,5.797159671783447,5.797159671783447,2400
2002-06-20 00:00:00+00:00,5.805837065959119,5.805837065959119,5.710375006648399,5.77112340927124,11600
2002-06-21 00:00:00+00:00,5.772859099807417,5.797159124251075,5.7103753089904785,5.7103753089904785,5000
2002-06-24 00:00:00+00:00,5.679132458690473,5.687810706841658,5.627061645567583,5.6704535484313965,8200
2002-06-25 00:00:00+00:00,5.727729797363281,5.727729797363281,5.7103733052446675,5.727729797363281,1400
2002-06-26 00:00:00+00:00,5.670454919701373,5.706904630123505,5.5836710929870605,5.5836710929870605,18600
2002-06-27 00:00:00+00:00,5.623590438999321,5.720787870112262,5.623590438999321,5.7086381912231445,502600
2002-06-28 00:00:00+00:00,5.757790225389685,5.847317218780518,5.722681613660751,5.847317218780518,39600
2002-07-01 00:00:00+00:00,5.864874857950305,5.898227691650391,5.864874857950305,5.898227691650391,18800
2002-07-02 00:00:00+00:00,5.757791989978906,5.775346636043877,5.699863332067695,5.727950096130371,30200
2002-07-03 00:00:00+00:00,5.736726930512312,5.736726930512312,5.67353154565555,5.719172954559326,2000
2002-07-05 00:00:00+00:00,5.731460024263639,5.731460024263639,5.7051283945860085,5.7209272384643555,3000
2002-07-08 00:00:00+00:00,5.7314593282900415,5.84907240871502,5.7314593282900415,5.842050552368164,10000
2002-07-09 00:00:00+00:00,5.880672050878766,5.921046733856201,5.880672050878766,5.921046733856201,10000
2002-07-10 00:00:00+00:00,5.889447426059468,5.889447426059468,5.810453211594898,5.836784839630127,19000
2002-07-11 00:00:00+00:00,5.810454159568395,5.810454159568395,5.685819195101876,5.692841053009033,10600
2002-07-12 00:00:00+00:00,5.619114047897148,5.619114047897148,5.548897463208498,5.564696311950684,9400
2002-07-15 00:00:00+00:00,5.578738489184795,5.580493953645411,5.505010655941979,5.562939643859863,32200
2002-07-16 00:00:00+00:00,5.547141376087626,5.605070370036913,5.534853458404541,5.534853458404541,14000
2002-07-17 00:00:00+00:00,5.575229189986553,5.592783504903491,5.5383650951789125,5.578740119934082,16600
2002-07-18 00:00:00+00:00,5.564695108320479,5.6173577028565145,5.550651727456162,5.562939643859863,39200
2002-07-19 00:00:00+00:00,5.529587799293747,5.545386648363098,5.389153957366943,5.389153957366943,44400
2002-07-22 00:00:00+00:00,5.283823292157349,5.327708867117426,5.194296679060348,5.250470161437988,31600
2002-07-23 00:00:00+00:00,5.276804567836609,5.310157718329594,5.090729713439941,5.090729713439941,44200
2002-07-24 00:00:00+00:00,4.91518963189921,5.169726371765137,4.91518963189921,5.169726371765137,22400
2002-07-25 00:00:00+00:00,5.143389733641955,5.28206832423221,5.143389733641955,5.232916355133057,37200
2002-07-26 00:00:00+00:00,5.23291982019685,5.245207736903185,5.160947449642073,5.187278747558594,19400
2002-07-29 00:00:00+00:00,5.246957868988817,5.348772362995008,5.245202406269021,5.339995384216309,71400
2002-07-30 00:00:00+00:00,5.290845399108475,5.427768528763786,5.290845399108475,5.376861095428467,8000
2002-07-31 00:00:00+00:00,5.3628201850546,5.438303470611572,5.354043198984487,5.438303470611572,11000
2002-08-01 00:00:00+00:00,5.422505902349786,5.503255599420793,5.376864827452371,5.480434894561768,25000
2002-08-02 00:00:00+00:00,5.480433689677531,5.520808696746826,5.466390310859686,5.520808696746826,15600
2002-08-05 00:00:00+00:00,5.503252953593636,5.503252953593636,5.476921667033187,5.478676795959473,3200
2002-08-06 00:00:00+00:00,5.441814188037729,5.517297470668894,5.441814188037729,5.512031078338623,10000
2002-08-07 00:00:00+00:00,5.53309683856198,5.53309683856198,5.464635071045792,5.5190534591674805,5800
2002-08-08 00:00:00+00:00,5.573470796419888,5.59453603021558,5.52607427149498,5.589269638061523,38400
2002-08-09 00:00:00+00:00,5.664754668514274,5.685819573998259,5.648955821990967,5.648955821990967,5800
2002-08-12 00:00:00+00:00,5.566449941200265,5.582248785682925,5.55416202545166,5.55416202545166,4000
2002-08-13 00:00:00+00:00,5.627891706919424,5.641934756000608,5.564696311950684,5.564696311950684,19400
2002-08-14 00:00:00+00:00,5.547142066649212,5.605071067810059,5.519055298499754,5.605071067810059,44600
2002-08-15 00:00:00+00:00,5.582247210971618,5.592779994202565,5.527829170227051,5.527829170227051,54400
2002-08-16 00:00:00+00:00,5.536607767115749,5.536607767115749,5.5190534591674805,5.5190534591674805,1000
2002-08-19 00:00:00+00:00,5.501499554308143,5.550651553200493,5.497988625497133,5.529586315155029,44200
2002-08-20 00:00:00+00:00,5.589271022839728,5.670020380284906,5.571716712797547,5.654221534729004,28600
2002-08-21 00:00:00+00:00,5.678796884798307,5.736726203455624,5.634911280836524,5.696351528167725,39400
2002-08-22 00:00:00+00:00,5.6840661679725,5.6840661679725,5.601560981147937,5.6331586837768555,215400
2002-08-23 00:00:00+00:00,5.634912389355812,5.648956106814074,5.612092018127441,5.612092018127441,7000
2002-08-26 00:00:00+00:00,5.629646046280118,5.648955821990967,5.629646046280118,5.648955821990967,2000
2002-08-27 00:00:00+00:00,5.648954895371145,5.66299794017651,5.3979291915893555,5.3979291915893555,137800
2002-08-28 00:00:00+00:00,5.23467224480976,5.3066445735686,5.23467224480976,5.285579681396484,21600
2002-08-29 00:00:00+00:00,5.232915864489884,5.275045976273114,5.213606439185299,5.250470161437988,13600
2002-08-30 00:00:00+00:00,5.264515086626711,5.318933121896975,5.264515086626711,5.2943572998046875,11800
2002-09-03 00:00:00+00:00,5.271540484609291,5.271540484609291,5.192546239331257,5.2171220779418945,27600
2002-09-04 00:00:00+00:00,5.220629942649633,5.227651798027663,5.1784998148429295,5.222385406494141,16600
2002-09-05 00:00:00+00:00,5.1907888292037,5.231163501739502,5.1433922997987676,5.231163501739502,8200
2002-09-06 00:00:00+00:00,5.283826796287089,5.304891698738349,5.199566516840873,5.2294087409973145,13800
2002-09-09 00:00:00+00:00,5.231166026180425,5.261008262634277,5.231166026180425,5.261008262634277,7400
2002-09-10 00:00:00+00:00,5.25047409910474,5.285582719331151,5.201322097751889,5.225898265838623,15000
2002-09-11 00:00:00+00:00,5.2662735996417505,5.304892818837019,5.2662735996417505,5.289093971252441,14000
2002-09-12 00:00:00+00:00,5.236430749204551,5.2592511181133705,5.187278747558594,5.187278747558594,16000
2002-09-13 00:00:00+00:00,5.152168500181868,5.171477932730644,5.138125124318898,5.1504130363464355,13400
