"('date', '')","('open', 'AISP')","('high', 'AISP')","('low', 'AISP')","('close', 'AISP')","('volume', 'AISP')"
2024-01-02 00:00:00+00:00,1.690000057220459,1.690000057220459,1.4500000476837158,1.600000023841858,1083300
2024-01-03 00:00:00+00:00,1.659999966621399,2.990000009536743,1.6299999952316284,2.2200000286102295,18415000
2024-01-04 00:00:00+00:00,2.0299999713897705,2.3299999237060547,2.0,2.109999895095825,1580300
2024-01-05 00:00:00+00:00,2.0299999713897705,2.0899999141693115,1.75,1.8899999856948853,875000
2024-01-08 00:00:00+00:00,1.850000023841858,2.0,1.7899999618530273,1.809999942779541,453700
2024-01-09 00:00:00+00:00,1.809999942779541,1.850000023841858,1.6100000143051147,1.649999976158142,551100
2024-01-10 00:00:00+00:00,1.6399999856948853,1.6699999570846558,1.5399999618530273,1.600000023841858,346200
2024-01-11 00:00:00+00:00,1.5700000524520874,1.6299999952316284,1.4800000190734863,1.5499999523162842,259200
2024-01-12 00:00:00+00:00,1.590000033378601,1.774999976158142,1.5609999895095825,1.7300000190734863,310700
2024-01-16 00:00:00+00:00,1.7100000381469727,1.850000023841858,1.600000023841858,1.6200000047683716,242100
2024-01-17 00:00:00+00:00,1.5700000524520874,1.6349999904632568,1.4910000562667847,1.5399999618530273,170100
2024-01-18 00:00:00+00:00,1.5700000524520874,1.5750000476837158,1.440000057220459,1.4500000476837158,153500
2024-01-19 00:00:00+00:00,1.5,1.5,1.4149999618530273,1.5,195700
2024-01-22 00:00:00+00:00,1.5,1.690000057220459,1.4900000095367432,1.5800000429153442,190800
2024-01-23 00:00:00+00:00,1.590000033378601,1.7000000476837158,1.5149999856948853,1.5299999713897705,263600
2024-01-24 00:00:00+00:00,1.5199999809265137,1.690000057220459,1.5199999809265137,1.5800000429153442,177300
2024-01-25 00:00:00+00:00,1.6399999856948853,1.659999966621399,1.5099999904632568,1.5399999618530273,113900
2024-01-26 00:00:00+00:00,1.5399999618530273,1.590000033378601,1.4900000095367432,1.5199999809265137,136800
2024-01-29 00:00:00+00:00,1.5099999904632568,1.5499999523162842,1.4800000190734863,1.5,71800
2024-01-30 00:00:00+00:00,1.5130000114440918,1.590000033378601,1.4900000095367432,1.5800000429153442,67000
2024-01-31 00:00:00+00:00,1.5399999618530273,1.5800000429153442,1.5099999904632568,1.5099999904632568,64100
2024-02-01 00:00:00+00:00,1.5399999618530273,1.5800000429153442,1.5099999904632568,1.5299999713897705,60600
2024-02-02 00:00:00+00:00,1.5199999809265137,1.5499999523162842,1.4800000190734863,1.5,63100
2024-02-05 00:00:00+00:00,1.5099999904632568,1.5199999809265137,1.440000057220459,1.4500000476837158,128900
2024-02-06 00:00:00+00:00,1.5099999904632568,1.5399999618530273,1.4500000476837158,1.4700000286102295,70400
2024-02-07 00:00:00+00:00,1.5499999523162842,1.5499999523162842,1.4299999475479126,1.4620000123977661,100100
2024-02-08 00:00:00+00:00,1.5199999809265137,1.5199999809265137,1.340000033378601,1.399999976158142,213500
2024-02-09 00:00:00+00:00,1.4199999570846558,1.440000057220459,1.3899999856948853,1.409999966621399,54500
2024-02-12 00:00:00+00:00,1.4700000286102295,1.7999999523162842,1.399999976158142,1.7100000381469727,749600
2024-02-13 00:00:00+00:00,1.659999966621399,1.8700000047683716,1.600000023841858,1.6100000143051147,285000
2024-02-14 00:00:00+00:00,1.690000057220459,1.7200000286102295,1.6100000143051147,1.621999979019165,134500
2024-02-15 00:00:00+00:00,1.600000023841858,1.75,1.5099999904632568,1.6699999570846558,243000
2024-02-16 00:00:00+00:00,1.7799999713897705,1.7799999713897705,1.649999976158142,1.7100000381469727,83900
