"('date', '')","('open', 'BBSI')","('high', 'BBSI')","('low', 'BBSI')","('close', 'BBSI')","('volume', 'BBSI')"
2024-01-02 00:00:00+00:00,28.321385591265077,28.575112583326256,28.08736414505262,28.32877540588379,120000
2024-01-03 00:00:00+00:00,28.25487255577645,28.32631056037362,27.4887638092041,27.4887638092041,120800
2024-01-04 00:00:00+00:00,27.658734461865052,27.801610457651893,27.136500914980196,27.38776397705078,119200
2024-01-05 00:00:00+00:00,27.232575800757598,27.882905800829107,27.232575800757598,27.833637237548828,170000
2024-01-08 00:00:00+00:00,27.833636256257044,27.927245583487558,27.454276789689292,27.88783073425293,106000
2024-01-09 00:00:00+00:00,27.666125282882234,27.77697813029925,27.212865819693587,27.46659278869629,78800
2024-01-10 00:00:00+00:00,27.466592110660002,27.905071935130135,27.289229062693813,27.873048782348633,150800
2024-01-11 00:00:00+00:00,27.688296807309374,27.809001487939423,27.183304883978376,27.66119956970215,130800
2024-01-12 00:00:00+00:00,27.914926776216255,28.07997222165109,27.4542756124081,27.614395141601562,109200
2024-01-16 00:00:00+00:00,27.49861608541802,28.072582110742207,27.323716929946496,27.90260887145996,161200
2024-01-17 00:00:00+00:00,27.68829619300694,28.203139937315004,27.668588769838312,28.092288970947266,111600
2024-01-18 00:00:00+00:00,27.870586012816254,28.215458411221555,27.747417433343177,28.121850967407227,159200
2024-01-19 00:00:00+00:00,28.316454259614794,28.328771868710326,27.900145759712323,27.919851303100586,86000
2024-01-22 00:00:00+00:00,28.079971834518748,28.506135940551758,28.035631071344234,28.506135940551758,90000
2024-01-23 00:00:00+00:00,28.552940425796457,28.552940425796457,28.190824508666992,28.190824508666992,69200
2024-01-24 00:00:00+00:00,28.326310002691557,28.419919327963793,28.104606178893384,28.21053123474121,67200
2024-01-25 00:00:00+00:00,28.412529459394612,28.412529459394612,27.865662498102697,27.90753936767578,75200
2024-01-26 00:00:00+00:00,28.099681628781482,28.235167827524357,28.01100009495042,28.025779724121094,74400
2024-01-29 00:00:00+00:00,27.865664220962625,28.32138765658382,27.86073642458845,28.245023727416992,91200
2024-01-30 00:00:00+00:00,27.912463130527893,28.311530008205143,27.806538076049552,28.08736228942871,186400
2024-01-31 00:00:00+00:00,28.185900116530156,28.32877613417677,27.639031267844086,27.656274795532227,164400
2024-02-01 00:00:00+00:00,27.873052494448775,28.10214614868164,27.611933803766053,28.10214614868164,120400
2024-02-02 00:00:00+00:00,27.956806729962306,28.008537313525434,27.54296018205369,27.609472274780273,128800
2024-02-05 00:00:00+00:00,27.587297001319946,27.587297001319946,27.170988494319428,27.439495086669922,115200
2024-02-06 00:00:00+00:00,27.496155416983186,27.779441657157413,27.21040339948822,27.451814651489258,95600
2024-02-07 00:00:00+00:00,27.3779135429082,27.653811856136,26.835972508407473,27.203014373779297,135600
2024-02-08 00:00:00+00:00,27.06260023258322,27.540494918823242,27.06260023258322,27.540494918823242,79600
2024-02-09 00:00:00+00:00,27.370521068666616,28.072581574949535,27.32618030619594,27.97158432006836,98000
2024-02-12 00:00:00+00:00,27.924782054510256,28.33123876544618,27.924782054510256,28.14402198791504,77200
2024-02-13 00:00:00+00:00,27.444424110055657,27.57744452360988,26.658607962166585,26.818727493286133,152000
2024-02-14 00:00:00+00:00,26.99855156986202,27.4444230944055,26.791629263632334,27.380374908447266,89600
2024-02-15 00:00:00+00:00,27.555276220807833,28.02577924221792,27.439497449219008,27.986366271972656,113600
2024-02-16 00:00:00+00:00,27.841025722075475,28.040560104871616,27.466594056051562,27.89768409729004,140400
2024-02-20 00:00:00+00:00,27.616863876008157,27.94941872294104,27.616863876008157,27.83856773376465,165200
2024-02-21 00:00:00+00:00,27.789294268092288,27.85580635339893,27.70800443407793,27.73509979248047,68000
2024-02-22 00:00:00+00:00,27.68583747107716,27.94941819717274,27.47891512733274,27.786836624145508,91600
2024-02-23 00:00:00+00:00,27.68336967021383,28.2696533203125,27.68336967021383,28.2696533203125,64400
2024-02-26 00:00:00+00:00,28.10953342743504,28.658864240781913,28.10953342743504,28.533233642578125,101200
2024-02-27 00:00:00+00:00,28.602208627898705,28.777107791045324,28.331238119916666,28.575111389160156,106000
2024-02-28 00:00:00+00:00,28.35094553512244,28.87318104051075,28.331239988797336,28.42977523803711,89600
2024-02-29 00:00:00+00:00,31.205990563417988,32.023829834791925,29.67870096921232,30.050668716430664,212800
2024-03-01 00:00:00+00:00,29.858532371410956,29.858532371410956,28.993888256239234,29.461929321289062,151200
2024-03-04 00:00:00+00:00,29.764919964783665,30.422639741332993,29.370780878428455,29.61219024658203,154800
2024-03-05 00:00:00+00:00,29.415121769145312,29.47670606038355,28.851009435874648,28.875642776489258,126000
2024-03-06 00:00:00+00:00,29.370781482223954,29.54814266517738,29.057932225176845,29.30180549621582,209600
2024-03-07 00:00:00+00:00,29.259928007688067,29.612190227004643,29.218051140910006,29.59987449645996,60800
2024-03-08 00:00:00+00:00,29.493947258156116,29.89054833336688,29.176172114927297,29.259925842285156,81200
2024-03-11 00:00:00+00:00,29.05300768760251,29.51612091064453,29.05300768760251,29.51612091064453,84800
2024-03-12 00:00:00+00:00,29.333829988913834,29.78955336719032,29.255002171479003,29.757530212402344,95600
2024-03-13 00:00:00+00:00,29.658993657048104,29.740285368759267,29.388023164080895,29.4471435546875,84800
2024-03-14 00:00:00+00:00,29.276744497591256,29.526169637696036,29.08411651154412,29.23229217529297,126400
2024-03-15 00:00:00+00:00,28.977925196019033,29.50641475842034,28.977925196019033,29.387874603271484,276800
2024-03-18 00:00:00+00:00,29.313788132067078,29.950937491800083,29.311319919232997,29.674346923828125,166000
2024-03-19 00:00:00+00:00,29.852151443662034,30.022552319285595,29.60766462342996,29.810169219970703,166400
2024-03-20 00:00:00+00:00,29.847214729404367,30.568328513268717,29.844744632545886,30.469545364379883,184400
2024-03-21 00:00:00+00:00,30.81034571670903,31.104223168868224,30.746136390264834,31.0523624420166,132800
2024-03-22 00:00:00+00:00,30.805407631533086,30.857268361934043,30.190485389199573,30.667112350463867,144000
2024-03-25 00:00:00+00:00,30.733788756797004,31.042484914997583,30.67204952515689,30.970869064331055,119600
2024-03-26 00:00:00+00:00,31.235112981783235,31.363529754911326,31.022729873657227,31.022729873657227,90400
2024-03-27 00:00:00+00:00,31.094347608642213,31.45984280579035,30.99062426727633,31.022729873657227,164400
2024-03-28 00:00:00+00:00,31.017791549260963,31.437619481287488,31.017791549260963,31.294384002685547,122800
2024-04-01 00:00:00+00:00,31.291912527238498,31.30179103058263,30.904190220607603,31.279565811157227,118800
