"('date', '')","('open', 'ADTN')","('high', 'ADTN')","('low', 'ADTN')","('close', 'ADTN')","('volume', 'ADTN')"
2024-01-02 00:00:00+00:00,7.329999923706055,7.659999847412109,7.25,7.429999828338623,921800
2024-01-03 00:00:00+00:00,7.360000133514404,7.360000133514404,7.090000152587891,7.139999866485596,668700
2024-01-04 00:00:00+00:00,7.170000076293945,7.239999771118164,7.03000020980835,7.21999979019165,600800
2024-01-05 00:00:00+00:00,7.150000095367432,7.25,7.090000152587891,7.159999847412109,656400
2024-01-08 00:00:00+00:00,7.150000095367432,7.420000076293945,7.110000133514404,7.389999866485596,467200
2024-01-09 00:00:00+00:00,7.269999980926514,7.360000133514404,7.210000038146973,7.300000190734863,1051500
2024-01-10 00:00:00+00:00,7.300000190734863,7.409999847412109,7.190000057220459,7.409999847412109,477200
2024-01-11 00:00:00+00:00,7.360000133514404,7.409999847412109,7.139999866485596,7.199999809265137,552000
2024-01-12 00:00:00+00:00,7.309999942779541,7.429999828338623,7.110000133514404,7.139999866485596,526700
2024-01-16 00:00:00+00:00,7.050000190734863,7.320000171661377,7.050000190734863,7.289999961853027,734400
2024-01-17 00:00:00+00:00,7.139999866485596,7.170000076293945,6.869999885559082,6.960000038146973,708500
2024-01-18 00:00:00+00:00,7.050000190734863,7.110000133514404,6.869999885559082,7.039999961853027,505500
2024-01-19 00:00:00+00:00,7.079999923706055,7.079999923706055,6.889999866485596,7.03000020980835,367000
2024-01-22 00:00:00+00:00,7.099999904632568,7.210000038146973,7.019999980926514,7.119999885559082,892100
2024-01-23 00:00:00+00:00,7.210000038146973,7.21999979019165,6.769999980926514,7.03000020980835,735200
2024-01-24 00:00:00+00:00,7.099999904632568,7.119999885559082,6.880000114440918,6.909999847412109,516700
2024-01-25 00:00:00+00:00,7.099999904632568,7.119999885559082,6.96999979019165,7.059999942779541,452200
2024-01-26 00:00:00+00:00,7.119999885559082,7.179999828338623,6.949999809265137,6.949999809265137,262200
2024-01-29 00:00:00+00:00,6.909999847412109,7.210000038146973,6.900000095367432,7.199999809265137,414900
2024-01-30 00:00:00+00:00,7.0,7.070000171661377,6.409999847412109,6.429999828338623,956200
2024-01-31 00:00:00+00:00,6.460000038146973,6.559999942779541,6.25,6.269999980926514,986300
2024-02-01 00:00:00+00:00,6.260000228881836,6.730000019073486,6.260000228881836,6.699999809265137,1019400
2024-02-02 00:00:00+00:00,6.590000152587891,6.760000228881836,6.53000020980835,6.699999809265137,663200
2024-02-05 00:00:00+00:00,6.599999904632568,6.670000076293945,6.53000020980835,6.570000171661377,601600
2024-02-06 00:00:00+00:00,6.559999942779541,6.619999885559082,6.53000020980835,6.559999942779541,578300
2024-02-07 00:00:00+00:00,6.590000152587891,6.590000152587891,6.349999904632568,6.380000114440918,578800
2024-02-08 00:00:00+00:00,6.400000095367432,6.539999961853027,6.25,6.400000095367432,760200
2024-02-09 00:00:00+00:00,6.400000095367432,6.429999828338623,6.110000133514404,6.349999904632568,1090000
2024-02-12 00:00:00+00:00,6.489999771118164,6.829999923706055,6.420000076293945,6.800000190734863,977800
2024-02-13 00:00:00+00:00,6.579999923706055,6.670000076293945,6.139999866485596,6.199999809265137,745500
2024-02-14 00:00:00+00:00,6.269999980926514,6.5,6.199999809265137,6.429999828338623,558100
