"('date', '')","('open', 'BLFY')","('high', 'BLFY')","('low', 'BLFY')","('close', 'BLFY')","('volume', 'BLFY')"
2024-01-02 00:00:00+00:00,9.720000267028809,10.045000076293945,9.640000343322754,9.949999809265137,79900
2024-01-03 00:00:00+00:00,9.949999809265137,10.0600004196167,9.779999732971191,9.789999961853027,50100
2024-01-04 00:00:00+00:00,9.819999694824219,10.029999732971191,9.779999732971191,9.829999923706055,43600
2024-01-05 00:00:00+00:00,9.760000228881836,10.0600004196167,9.760000228881836,9.970000267028809,79900
2024-01-08 00:00:00+00:00,10.010000228881836,10.050999641418457,9.84000015258789,9.880000114440918,35800
2024-01-09 00:00:00+00:00,9.760000228881836,9.890000343322754,9.680000305175781,9.819999694824219,47100
2024-01-10 00:00:00+00:00,9.800000190734863,9.930000305175781,9.65999984741211,9.890000343322754,41900
2024-01-11 00:00:00+00:00,9.800000190734863,9.899999618530273,9.720000267028809,9.84000015258789,38800
2024-01-12 00:00:00+00:00,9.90999984741211,9.90999984741211,9.760000228881836,9.850000381469727,33200
2024-01-16 00:00:00+00:00,9.75,9.850000381469727,9.53499984741211,9.710000038146973,35000
2024-01-17 00:00:00+00:00,9.569999694824219,9.694999694824219,9.569999694824219,9.649999618530273,31600
2024-01-18 00:00:00+00:00,9.65999984741211,9.670000076293945,9.59000015258789,9.65999984741211,51100
2024-01-19 00:00:00+00:00,9.699999809265137,9.850000381469727,9.593000411987305,9.84000015258789,48500
2024-01-22 00:00:00+00:00,9.899999618530273,10.0,9.484999656677246,10.0,60000
2024-01-23 00:00:00+00:00,10.0,10.0,9.579999923706055,9.670000076293945,129200
2024-01-24 00:00:00+00:00,9.819999694824219,10.119999885559082,9.65999984741211,10.039999961853027,179000
2024-01-25 00:00:00+00:00,10.029999732971191,10.119999885559082,9.857000350952148,10.050000190734863,91100
2024-01-26 00:00:00+00:00,10.0600004196167,10.199999809265137,10.010000228881836,10.079999923706055,85200
2024-01-29 00:00:00+00:00,10.100000381469727,10.199999809265137,10.020000457763672,10.199999809265137,114200
2024-01-30 00:00:00+00:00,10.1899995803833,10.199999809265137,10.050000190734863,10.069999694824219,36900
