"('date', '')","('open', 'CIO')","('high', 'CIO')","('low', 'CIO')","('close', 'CIO')","('volume', 'CIO')"
2014-04-15 00:00:00+00:00,5.492112497886919,5.5316557749140935,5.38227024792918,5.448175430297852,379200
2014-04-16 00:00:00+00:00,5.448174861979624,5.527261407784179,5.413025379180908,5.413025379180908,71300
2014-04-17 00:00:00+00:00,5.426207315518248,5.478931545216171,5.426207315518248,5.448175430297852,16700
2014-04-21 00:00:00+00:00,5.487717675690128,5.514079995090707,5.448174406096683,5.5052924156188965,93800
2014-04-22 00:00:00+00:00,5.5140814781188965,5.522868640939189,5.492112942545721,5.5140814781188965,37400
2014-04-23 00:00:00+00:00,5.514080518305201,5.527261469748766,5.501778241089222,5.522867679595947,27900
2014-04-24 00:00:00+00:00,5.523745203147855,5.523745203147855,5.4525675773620605,5.4525675773620605,43800
2014-04-25 00:00:00+00:00,5.456962893681416,5.505293331774661,5.456962893681416,5.478931427001953,11600
2014-04-28 00:00:00+00:00,5.474536725497264,5.5052924156188965,5.470142935761358,5.5052924156188965,12300
2014-04-29 00:00:00+00:00,5.492112592963154,5.505293545862083,5.470144058788314,5.4745378494262695,17800
2014-04-30 00:00:00+00:00,5.470142935761358,5.5052924156188965,5.465749146025453,5.5052924156188965,17700
2014-05-01 00:00:00+00:00,5.505294109455452,5.509687900543213,5.474538409871085,5.509687900543213,7000
2014-05-02 00:00:00+00:00,5.4877166748046875,5.496504252673763,5.426205305780265,5.4877166748046875,14400
2014-05-05 00:00:00+00:00,5.500899566861636,5.522867679595947,5.500899566861636,5.522867679595947,11900
2014-05-06 00:00:00+00:00,5.505291411528062,5.505291411528062,5.467066369630092,5.4877166748046875,16200
2014-05-07 00:00:00+00:00,5.4877166748046875,5.492110463739225,5.434992464634564,5.4877166748046875,17100
2014-05-08 00:00:00+00:00,5.536048316578998,5.536048316578998,5.4481742012247,5.500898838043213,12700
2014-05-09 00:00:00+00:00,5.5009001742390655,5.5009001742390655,5.461356896527341,5.4745378494262695,13000
