"('date', '')","('open', 'CASH')","('high', 'CASH')","('low', 'CASH')","('close', 'CASH')","('volume', 'CASH')"
1993-09-20 00:00:00+00:00,1.6548151527151111,1.7434661388397215,1.6548151527151111,1.7434661388397217,345150
1993-09-21 00:00:00+00:00,1.743465605055186,1.743465605055186,1.625264749131129,1.6400394439697266,2133900
1993-09-22 00:00:00+00:00,1.654815848773777,1.713916446505428,1.654815848773777,1.6695911884307861,1621800
1993-09-23 00:00:00+00:00,1.713915705680847,1.713915705680847,1.6548151334948844,1.7139157056808472,223650
1993-09-24 00:00:00+00:00,1.713915705680847,1.743466118589838,1.6843656732198848,1.7139157056808472,244800
1993-09-27 00:00:00+00:00,1.713917311289676,1.7434677518817108,1.6843672511460261,1.7286925315856934,135000
1993-09-28 00:00:00+00:00,1.684366299618064,1.7730168104171753,1.684366299618064,1.7730168104171753,330750
1993-09-29 00:00:00+00:00,1.684366299618064,1.8025673611317157,1.684366299618064,1.7730168104171753,154350
1993-09-30 00:00:00+00:00,1.7730168513645106,1.8616678714752195,1.7730168513645106,1.8616678714752197,146250
1993-10-01 00:00:00+00:00,1.8025666083377418,1.9503180320454276,1.8025666083377418,1.891217589378357,94050
1993-10-04 00:00:00+00:00,1.9503188915859286,1.9503188915859286,1.8616678714752195,1.8616678714752197,50400
1993-10-05 00:00:00+00:00,1.9503187636518702,1.9503187636518702,1.8321171998977661,1.8321171998977661,149400
1993-10-06 00:00:00+00:00,1.9207682609558105,1.9207682609558105,1.8321172445020217,1.9207682609558105,52200
1993-10-07 00:00:00+00:00,1.920768295829311,1.920768295829311,1.7730168104171753,1.7730168104171753,43200
1993-10-08 00:00:00+00:00,1.8616684457772745,1.8616684457772745,1.7730173983187965,1.802567958831787,14850
1993-10-11 00:00:00+00:00,1.7730173983187965,1.802567958831787,1.7730173983187965,1.802567958831787,54000
1993-10-12 00:00:00+00:00,1.8025672845194325,1.8321171998977661,1.7730167350608423,1.8321171998977661,61200
1993-10-13 00:00:00+00:00,1.8321171998977661,1.8321171998977661,1.7730167350608423,1.8321171998977661,43650
1993-10-14 00:00:00+00:00,1.832117885264284,1.8616684457772745,1.7730173983187965,1.802567958831787,160650
1993-10-15 00:00:00+00:00,1.8321171998977661,1.8616677493563563,1.8025672845194325,1.8321171998977661,51300
1993-10-18 00:00:00+00:00,1.891217589378357,1.891217589378357,1.891217589378357,1.891217589378357,23850
1993-10-19 00:00:00+00:00,1.891217589378357,1.891217589378357,1.891217589378357,1.891217589378357,450
1993-10-20 00:00:00+00:00,1.891217589378357,1.891217589378357,1.832116512631268,1.891217589378357,58950
