"('date', '')","('open', 'B')","('high', 'B')","('low', 'B')","('close', 'B')","('volume', 'B')"
2024-01-02 00:00:00+00:00,17.41182847711886,17.614740127857168,17.218577706245856,17.276552200317383,13275400
2024-01-03 00:00:00+00:00,16.870726990650102,17.218577639686494,16.493890016177968,16.745115280151367,24485500
2024-01-04 00:00:00+00:00,16.793426861607532,16.880389522884876,16.474564384582575,16.764440536499023,20467200
2024-01-05 00:00:00+00:00,16.851403651784256,17.121952522624266,16.687141047498837,16.899715423583984,16573200
2024-01-08 00:00:00+00:00,16.803088046967943,17.315201245083355,16.725788115457668,17.09296417236328,18051900
2024-01-09 00:00:00+00:00,17.09296519029152,17.102627912677708,16.78376544583681,16.81275177001953,14814100
2024-01-10 00:00:00+00:00,16.851401374494074,16.928701304712938,16.619501583837476,16.754776000976562,13048900
2024-01-11 00:00:00+00:00,16.793423109067106,16.899711191983673,16.368274463351835,16.571186065673828,14181400
2024-01-12 00:00:00+00:00,16.98667844287403,17.218578269725004,16.90937850059037,17.044652938842773,16466500
2024-01-16 00:00:00+00:00,16.69680217486581,16.725788497985256,15.41168871076855,15.421351432800293,36002400
2024-01-17 00:00:00+00:00,15.092827475467718,15.150802890856019,14.899577626653324,15.034852981567383,26323900
2024-01-18 00:00:00+00:00,15.054176833790828,15.073502278553697,14.812614303182519,15.005864143371582,17680200
2024-01-19 00:00:00+00:00,15.09282693755622,15.141139628409936,14.928564341546346,15.08316421508789,14500800
2024-01-22 00:00:00+00:00,14.899576370722205,15.121813447753722,14.812613715714086,15.063838958740234,13851700
2024-01-23 00:00:00+00:00,15.247425812540982,15.527638295355846,15.18945132450363,15.450338363647461,18271100
2024-01-24 00:00:00+00:00,15.711227211921567,15.80785259276006,15.005864143371582,15.005864143371582,22914600
2024-01-25 00:00:00+00:00,15.20877610276184,15.20877610276184,15.015526270237068,15.063838958740234,17401900
2024-01-26 00:00:00+00:00,15.141139492247888,15.305402086780573,14.996202342478073,15.005864143371582,16142000
2024-01-29 00:00:00+00:00,15.160463239416938,15.208775927362925,14.938226164948425,15.170125961303711,17398900
2024-01-30 00:00:00+00:00,15.276413318934491,15.373037768657097,15.034850812396227,15.150800704956055,13836000
2024-01-31 00:00:00+00:00,15.228101451971579,15.527638460148548,15.025188898711617,15.073501586914062,25064600
2024-02-01 00:00:00+00:00,15.247425891492517,15.508312931987227,14.976876129112256,15.353713989257812,20311300
2024-02-02 00:00:00+00:00,14.967214450129115,14.996202617805636,14.687001946338341,14.889914512634277,24403000
2024-02-05 00:00:00+00:00,14.677338820584234,14.783626922835795,14.580714362113989,14.658014297485352,19506900
2024-02-06 00:00:00+00:00,14.70632648811532,14.715988288592738,14.503413934283351,14.522738456726074,20553700
2024-02-07 00:00:00+00:00,14.493752251642261,14.56138946727378,14.38746506686588,14.426115036010742,22404500
2024-02-08 00:00:00+00:00,14.406788782166098,14.464764193373707,14.232863470031168,14.319826126098633,23143000
2024-02-09 00:00:00+00:00,14.300501230608962,14.300501230608962,14.08792595703908,14.174888610839844,17190200
2024-02-12 00:00:00+00:00,14.194214410436297,14.300502517530184,14.049277255383853,14.232864379882812,19310100
2024-02-13 00:00:00+00:00,14.010626526974155,14.010626526974155,13.546826918740242,13.672438621520996,31242600
2024-02-14 00:00:00+00:00,13.78839040203675,13.836702173464882,13.295602592970843,13.585477828979492,32433100
