"('date', '')","('open', 'CHCO')","('high', 'CHCO')","('low', 'CHCO')","('close', 'CHCO')","('volume', 'CHCO')"
1987-06-26 00:00:00+00:00,3.316700458526611,4.065632987697923,3.316700458526611,3.3167004585266113,299
1987-06-29 00:00:00+00:00,3.316700458526611,3.316700458526611,3.316700458526611,3.3167004585266113,0
1987-06-30 00:00:00+00:00,3.316700458526611,3.316700458526611,3.316700458526611,3.3167004585266113,0
1987-07-01 00:00:00+00:00,3.316700458526611,3.316700458526611,3.316700458526611,3.3167004585266113,0
1987-07-02 00:00:00+00:00,3.316700458526611,3.316700458526611,3.316700458526611,3.3167004585266113,0
1987-07-06 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-07 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-08 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-09 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-10 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-13 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-14 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-15 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-16 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-17 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-20 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-21 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-22 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-23 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-24 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-27 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
1987-07-28 00:00:00+00:00,3.354573965072632,3.354573965072632,3.354573965072632,3.354573965072632,0
