"('date', '')","('open', 'AHR')","('high', 'AHR')","('low', 'AHR')","('close', 'AHR')","('volume', 'AHR')"
2024-02-07 00:00:00+00:00,12.002018592972657,12.384962222986251,11.796536319279783,12.347601890563965,12732800
2024-02-08 00:00:00+00:00,12.160800791032463,12.36628218349068,12.14212017858683,12.198161125183105,1630300
2024-02-09 00:00:00+00:00,12.15146024119443,12.562423908612399,12.095419295721674,12.25420093536377,2062100
2024-02-12 00:00:00+00:00,13.029428391788555,13.599174583917119,12.235521092222438,12.282220840454102,1161200
2024-02-13 00:00:00+00:00,12.282220204635708,12.665164711791773,12.151459491171224,12.469022750854492,1631700
2024-02-14 00:00:00+00:00,12.515722974472249,12.982727576366596,12.37562195020018,12.851966857910156,1157600
2024-02-15 00:00:00+00:00,12.851968247230756,12.936029227177375,12.469024574798995,12.739887237548828,479400
2024-02-16 00:00:00+00:00,12.609124786188211,13.076129407898886,12.571764452080982,12.954708099365234,203600
2024-02-20 00:00:00+00:00,12.8426267924597,12.972454017208802,12.478362875497861,12.525063514709473,524200
2024-02-21 00:00:00+00:00,12.525064488845791,12.665166417377046,12.375623144338327,12.515724182128906,194200
2024-02-22 00:00:00+00:00,12.469023941611924,12.75856631256854,12.142120345251213,12.6558256149292,888800
2024-02-23 00:00:00+00:00,12.655824501947462,12.889326795744498,12.61566190076256,12.70252513885498,514500
2024-02-26 00:00:00+00:00,12.571763741892761,12.721205069879625,12.375621776224857,12.38496208190918,248400
2024-02-27 00:00:00+00:00,12.38496296593399,13.057448989876182,12.38496296593399,12.6558256149292,922000
2024-02-28 00:00:00+00:00,12.68384628733752,13.066789959769283,12.56242497083026,12.739887237548828,184100
2024-02-29 00:00:00+00:00,12.795925260566491,12.870645921796093,12.60912360749249,12.767905235290527,496200
2024-03-01 00:00:00+00:00,12.72120647931965,13.080800271341927,12.590444857473184,12.777247428894043,559800
2024-03-04 00:00:00+00:00,12.711865906223235,12.893998320467919,12.609125206687233,12.84262752532959,369200
2024-03-05 00:00:00+00:00,12.889327068727923,13.085469035301152,12.70252540788213,12.879986763000488,364300
2024-03-06 00:00:00+00:00,12.936028809082796,13.12283048584855,12.76790685462329,12.84262752532959,442500
