"('date', '')","('open', 'AZTA')","('high', 'AZTA')","('low', 'AZTA')","('close', 'AZTA')","('volume', 'AZTA')"
2024-01-02 00:00:00+00:00,64.51000213623047,65.58999633789062,63.939998626708984,64.86000061035156,313300
2024-01-03 00:00:00+00:00,64.22000122070312,64.22000122070312,61.36000061035156,61.95000076293945,404600
2024-01-04 00:00:00+00:00,61.95000076293945,62.97999954223633,61.06999969482422,62.7599983215332,440000
2024-01-05 00:00:00+00:00,62.119998931884766,64.62000274658203,61.349998474121094,64.30000305175781,669500
2024-01-08 00:00:00+00:00,64.37000274658203,65.38999938964844,64.11000061035156,64.5999984741211,258300
2024-01-09 00:00:00+00:00,63.90999984741211,65.98999786376953,63.90999984741211,64.70999908447266,272500
2024-01-10 00:00:00+00:00,64.55000305175781,64.86000061035156,63.400001525878906,64.66000366210938,217000
2024-01-11 00:00:00+00:00,64.05999755859375,64.30000305175781,63.040000915527344,63.959999084472656,339800
2024-01-12 00:00:00+00:00,65.05999755859375,65.9800033569336,64.56999969482422,65.13999938964844,242400
2024-01-16 00:00:00+00:00,64.30999755859375,66.0,63.95000076293945,65.69999694824219,336800
2024-01-17 00:00:00+00:00,64.5199966430664,65.4800033569336,63.869998931884766,64.55999755859375,363100
2024-01-18 00:00:00+00:00,64.7300033569336,66.38999938964844,64.2699966430664,66.08999633789062,301000
2024-01-19 00:00:00+00:00,66.20999908447266,67.45999908447266,65.55999755859375,67.41000366210938,293800
2024-01-22 00:00:00+00:00,68.11000061035156,69.16000366210938,67.26000213623047,67.26000213623047,421800
2024-01-23 00:00:00+00:00,67.69000244140625,68.54000091552734,66.06999969482422,66.55000305175781,251800
2024-01-24 00:00:00+00:00,67.06999969482422,68.11000061035156,64.87000274658203,65.13999938964844,337900
2024-01-25 00:00:00+00:00,65.83000183105469,66.16000366210938,65.13999938964844,65.36000061035156,286500
2024-01-26 00:00:00+00:00,66.02999877929688,66.6500015258789,65.41000366210938,65.5,304000
2024-01-29 00:00:00+00:00,65.37999725341797,67.55000305175781,64.98999786376953,67.51000213623047,258100
2024-01-30 00:00:00+00:00,67.04000091552734,67.86000061035156,66.69000244140625,67.43000030517578,261900
2024-01-31 00:00:00+00:00,67.12999725341797,67.52999877929688,65.0,65.19999694824219,593300
2024-02-01 00:00:00+00:00,65.62999725341797,66.86000061035156,65.1500015258789,66.12999725341797,487600
