"('date', '')","('open', 'ARRY')","('high', 'ARRY')","('low', 'ARRY')","('close', 'ARRY')","('volume', 'ARRY')"
2024-01-02 00:00:00+00:00,16.540000915527344,17.7549991607666,16.459999084472656,16.959999084472656,4364400
2024-01-03 00:00:00+00:00,16.68000030517578,16.799999237060547,16.010000228881836,16.6299991607666,6391500
2024-01-04 00:00:00+00:00,16.520000457763672,16.6299991607666,15.430000305175781,15.4399995803833,6650500
2024-01-05 00:00:00+00:00,15.270000457763672,15.890000343322754,14.975000381469727,15.09000015258789,6072600
2024-01-08 00:00:00+00:00,14.779999732971191,15.15999984741211,14.479999542236328,14.880000114440918,7339900
2024-01-09 00:00:00+00:00,14.720000267028809,15.279999732971191,14.430000305175781,15.149999618530273,4257400
2024-01-10 00:00:00+00:00,15.130000114440918,15.170000076293945,14.619999885559082,14.8100004196167,5139500
2024-01-11 00:00:00+00:00,14.729999542236328,14.739999771118164,13.899999618530273,14.239999771118164,5108600
2024-01-12 00:00:00+00:00,14.399999618530273,14.664999961853027,13.979999542236328,14.199999809265137,4551400
2024-01-16 00:00:00+00:00,13.979999542236328,14.109999656677246,13.199999809265137,13.350000381469727,6214600
2024-01-17 00:00:00+00:00,13.069999694824219,13.460000038146973,12.979999542236328,13.390000343322754,6776200
2024-01-18 00:00:00+00:00,13.510000228881836,13.744999885559082,13.210000038146973,13.529999732971191,4203600
2024-01-19 00:00:00+00:00,13.510000228881836,13.529999732971191,12.850000381469727,12.979999542236328,7933500
2024-01-22 00:00:00+00:00,12.640000343322754,13.949999809265137,12.520000457763672,13.180000305175781,8921600
2024-01-23 00:00:00+00:00,13.600000381469727,13.9350004196167,13.0649995803833,13.40999984741211,5236000
2024-01-24 00:00:00+00:00,13.670000076293945,13.824999809265137,13.050000190734863,13.0600004196167,4534900
2024-01-25 00:00:00+00:00,13.25,13.5,12.885000228881836,13.210000038146973,3299300
2024-01-26 00:00:00+00:00,13.289999961853027,13.470000267028809,12.949999809265137,13.020000457763672,2692400
2024-01-29 00:00:00+00:00,12.979999542236328,13.579999923706055,12.859999656677246,13.579999923706055,4780300
2024-01-30 00:00:00+00:00,13.329999923706055,13.460000038146973,13.0,13.380000114440918,4226400
2024-01-31 00:00:00+00:00,13.399999618530273,14.140000343322754,13.204999923706055,13.239999771118164,5925000
2024-02-01 00:00:00+00:00,14.119999885559082,14.75,13.418999671936035,13.720000267028809,11909800
2024-02-02 00:00:00+00:00,13.350000381469727,13.859999656677246,13.220000267028809,13.680000305175781,5539500
2024-02-05 00:00:00+00:00,13.3100004196167,13.399999618530273,12.8100004196167,13.0600004196167,5560600
2024-02-06 00:00:00+00:00,13.0600004196167,13.510000228881836,12.989999771118164,13.279999732971191,5292100
2024-02-07 00:00:00+00:00,13.739999771118164,14.28499984741211,13.460000038146973,14.170000076293945,4791800
2024-02-08 00:00:00+00:00,14.069999694824219,14.489999771118164,13.949000358581543,14.15999984741211,2724200
2024-02-09 00:00:00+00:00,14.1899995803833,15.260000228881836,14.140000343322754,15.220000267028809,4476000
2024-02-12 00:00:00+00:00,15.279999732971191,16.219999313354492,15.201000213623047,15.869999885559082,5843400
