"('date', '')","('open', 'AMH')","('high', 'AMH')","('low', 'AMH')","('close', 'AMH')","('volume', 'AMH')"
2024-01-02 00:00:00+00:00,34.295390400005665,34.78830412462594,34.05841285639921,34.63663864135742,1909700
2024-01-03 00:00:00+00:00,34.46601112434037,34.598717957124364,33.982574958067254,34.19111633300781,2215500
2024-01-04 00:00:00+00:00,34.06789273049778,34.257475501732934,33.78352038164036,33.9067497253418,1983400
2024-01-05 00:00:00+00:00,33.69820519482916,34.02049479128675,33.33799832443766,33.56549835205078,2532500
2024-01-08 00:00:00+00:00,33.5275742597133,34.25746536254883,33.4801794849296,34.25746536254883,2544400
2024-01-09 00:00:00+00:00,34.011014881202634,34.11528556916905,33.641330526405326,34.105804443359375,2203000
2024-01-10 00:00:00+00:00,34.314349312472174,34.38070273593463,34.134244063653746,34.276432037353516,1720200
2024-01-11 00:00:00+00:00,34.1058104167895,34.219558634497915,33.887791492852266,33.92570877075195,2052000
2024-01-12 00:00:00+00:00,34.24799757935652,34.32382851734617,33.717166549466725,33.88779067993164,2853000
2024-01-16 00:00:00+00:00,33.64133447152022,33.736124044792916,33.22425167074328,33.451751708984375,3902300
2024-01-17 00:00:00+00:00,33.08206073332681,33.584451880567514,32.882996883448115,33.40435028076172,4567900
2024-01-18 00:00:00+00:00,33.50861896945093,33.584453509461795,32.92091574832625,33.015708923339844,3313300
2024-01-19 00:00:00+00:00,33.29060361006588,34.15320170593066,33.25268995204247,33.75508117675781,3992400
2024-01-22 00:00:00+00:00,33.98257520339728,34.37121819478042,33.944661548035285,34.295387268066406,2082400
2024-01-23 00:00:00+00:00,34.39018391219046,34.41862367955589,33.4612322687135,33.60342025756836,1636900
2024-01-24 00:00:00+00:00,33.86882794782002,33.90674522022719,33.167376488238055,33.21477127075195,2269800
2024-01-25 00:00:00+00:00,33.480188733130134,33.51810600982676,32.911444046642835,33.02519226074219,2559400
2024-01-26 00:00:00+00:00,33.02518714094891,33.281123294988355,32.864040547965566,33.24320602416992,2164000
2024-01-29 00:00:00+00:00,33.08206552834055,33.62237402206157,33.034667128267635,33.46122741699219,3525100
2024-01-30 00:00:00+00:00,33.546541282257074,33.78351883142927,33.36643964664277,33.451751708984375,2194500
2024-01-31 00:00:00+00:00,33.58445381510981,33.85934860116616,33.082062638930225,33.224246978759766,2756600
