"('date', '')","('open', 'AROC')","('high', 'AROC')","('low', 'AROC')","('close', 'AROC')","('volume', 'AROC')"
2024-01-02 00:00:00+00:00,14.546455299536081,14.621776680022997,14.151017603028938,14.292245864868164,1051400
2024-01-03 00:00:00+00:00,14.245169140265613,14.621776025850956,14.17926315976359,14.348735809326172,1368200
2024-01-04 00:00:00+00:00,14.537039114449223,14.640606680430611,14.216923713684082,14.216923713684082,1371100
2024-01-05 00:00:00+00:00,14.235754109315428,14.499378935996731,14.235754109315428,14.405227661132812,1118900
2024-01-08 00:00:00+00:00,14.169847577714123,14.169847577714123,13.73674921600792,14.132186889648438,991800
2024-01-09 00:00:00+00:00,14.047449659105544,14.141601825151396,13.821485538077424,14.11335563659668,965800
2024-01-10 00:00:00+00:00,14.066279802386607,14.094525991440957,13.72733361484894,13.79323959350586,838000
2024-01-11 00:00:00+00:00,13.849731166760964,13.915637145860668,13.548445664703326,13.670843124389648,877000
2024-01-12 00:00:00+00:00,13.840315677361495,13.934467845072767,13.64259684348912,13.79323959350586,701500
2024-01-16 00:00:00+00:00,13.774411540014444,14.132188568081256,13.72733544986586,14.122773170471191,1676200
2024-01-17 00:00:00+00:00,13.877977463155494,14.122772400256341,13.830901375574301,14.04745101928711,1745300
2024-01-18 00:00:00+00:00,14.094525511941251,14.28282894305604,13.84973060254123,14.1039400100708,1062200
2024-01-19 00:00:00+00:00,14.160430939875233,14.367565155029297,14.056864281248979,14.367565155029297,876200
2024-01-22 00:00:00+00:00,14.461717945042551,14.875986419094447,14.461717945042551,14.84774112701416,1664600
2024-01-23 00:00:00+00:00,14.847740470854037,14.998383219160472,14.68768232630305,14.697096824645996,1062800
2024-01-24 00:00:00+00:00,14.847742069430582,14.998384833955914,14.800665981040991,14.932477951049805,1132200
2024-01-25 00:00:00+00:00,15.064289093017578,15.130195070471018,14.885401055114698,15.064289093017578,592700
2024-01-26 00:00:00+00:00,15.25259488354449,15.845750533149683,15.064290533553718,15.751598358154297,1487400
2024-01-29 00:00:00+00:00,15.666862178493677,15.72335456313015,15.299670657373806,15.610371589660645,1317800
2024-01-30 00:00:00+00:00,15.450312091453844,15.864580564019896,15.365575317615258,15.798674583435059,1580800
2024-01-31 00:00:00+00:00,15.845748766774664,15.8739949548656,15.365574344047774,15.384405136108398,1159500
