"('date', '')","('open', 'BRY')","('high', 'BRY')","('low', 'BRY')","('close', 'BRY')","('volume', 'BRY')"
2018-07-18 00:00:00+00:00,7.825625818425959,7.970544815063477,7.825625818425959,7.970544815063477,6900
2018-07-19 00:00:00+00:00,8.405299186706543,8.405299186706543,8.405299186706543,8.405299186706543,400
2018-07-20 00:00:00+00:00,8.405301600694656,9.274815559387207,8.405301600694656,9.274815559387207,2900
2018-07-23 00:00:00+00:00,9.274815559387207,9.274815559387207,9.274815559387207,9.274815559387207,200
2018-07-24 00:00:00+00:00,8.405299186706543,8.405299186706543,8.405299186706543,8.405299186706543,400
2018-07-25 00:00:00+00:00,9.854488701655946,9.854488701655946,8.405299186706543,8.405299186706543,3400
2018-07-26 00:00:00+00:00,7.680705547332764,8.173430275271594,7.477818764576302,7.680705547332764,5064700
2018-07-27 00:00:00+00:00,7.570567047266624,8.10966522630504,7.251745210652172,7.703892230987549,1036900
2018-07-30 00:00:00+00:00,7.669110904320779,8.022713511603918,7.669110904320779,7.999526500701904,845100
2018-07-31 00:00:00+00:00,8.040105867110833,8.08647990180907,7.912576995279629,7.970544815063477,737200
2018-08-01 00:00:00+00:00,7.98213668436976,8.040103937418882,7.8256239402109955,7.889388084411621,362200
2018-08-02 00:00:00+00:00,7.854607621244288,7.90098164350225,7.709688663482666,7.709688663482666,583900
2018-08-03 00:00:00+00:00,7.744468725920169,7.906778352917691,7.599549771486485,7.7560625076293945,594600
2018-08-06 00:00:00+00:00,7.7618585956254424,7.935760880700489,7.680703790521041,7.854606628417969,246800
2018-08-07 00:00:00+00:00,7.964747395460389,7.97054428761959,7.477819510528826,7.727080345153809,548700
2018-08-08 00:00:00+00:00,7.964744087969701,7.970540977721648,7.454629399056896,7.669109344482422,473200
2018-08-09 00:00:00+00:00,7.674907115582216,7.848809958357912,7.593752861022949,7.593752861022949,263600
2018-08-10 00:00:00+00:00,7.5415843925786845,7.825625481066004,6.788005531985691,7.761861324310303,375100
2018-08-13 00:00:00+00:00,7.698094750182813,7.947355530183604,7.472021533737392,7.535785675048828,545400
2018-08-14 00:00:00+00:00,7.587954646787211,7.692296444813215,7.431441949748206,7.52998685836792,276400
2018-08-15 00:00:00+00:00,7.019872634165594,7.593752005990589,7.019872634165594,7.379271507263184,439000
2018-08-16 00:00:00+00:00,7.373477570299784,7.709689546592543,7.263338840204767,7.38507080078125,589600
2018-08-17 00:00:00+00:00,7.315511957236405,7.593756759071295,7.315511957236405,7.44304084777832,253800
2018-08-20 00:00:00+00:00,7.599549816360265,7.616940489026792,7.419850621381697,7.535785675048828,710300
2018-08-21 00:00:00+00:00,7.622735976463953,7.814028931873609,7.4836139275881814,7.698093891143799,1096100
2018-08-22 00:00:00+00:00,7.819826621433567,7.976339357033458,7.622736755636046,7.825623512268066,1174800
