"('date', '')","('open', 'BSAC')","('high', 'BSAC')","('low', 'BSAC')","('close', 'BSAC')","('volume', 'BSAC')"
1994-10-31 00:00:00+00:00,1.6873932191276984,1.7192309481810661,1.6873932191276984,1.6980057954788208,4160
1994-11-01 00:00:00+00:00,1.6980057954788208,1.6980057954788208,1.6767807480339658,1.6980057954788208,32760
1994-11-02 00:00:00+00:00,1.6873934268951416,1.6873934268951416,1.6873934268951416,1.6873934268951416,4940
1994-11-03 00:00:00+00:00,1.6873934114051903,1.6980059889656098,1.6661683615417533,1.6767809391021729,267020
1994-11-04 00:00:00+00:00,1.6555557250976562,1.6555557250976562,1.6555557250976562,1.6555557250976562,41600
1994-11-07 00:00:00+00:00,1.6449428868229403,1.6449428868229403,1.6024926900863647,1.6024926900863647,67600
1994-11-08 00:00:00+00:00,1.6024926900863647,1.6024926900863647,1.6024926900863647,1.6024926900863647,23400
1994-11-09 00:00:00+00:00,1.62371826171875,1.62371826171875,1.62371826171875,1.62371826171875,28340
1994-11-10 00:00:00+00:00,1.6024926900863647,1.6024926900863647,1.6024926900863647,1.6024926900863647,7020
1994-11-11 00:00:00+00:00,1.6024932583926759,1.6024932583926759,1.5918806791305542,1.5918806791305542,10660
1994-11-14 00:00:00+00:00,1.570655630094645,1.570655630094645,1.5388180017471313,1.5388180017471313,275860
1994-11-15 00:00:00+00:00,1.538817222348438,1.5600422620773315,1.538817222348438,1.5600422620773315,194740
1994-11-16 00:00:00+00:00,1.5706558363785672,1.5918806791305542,1.5706558363785672,1.5918806791305542,83200
1994-11-17 00:00:00+00:00,1.5918800932941066,1.5918800932941066,1.5812678337097168,1.5812678337097168,21840
1994-11-18 00:00:00+00:00,1.5812682079629512,1.5812682079629512,1.5388180017471313,1.5388180017471313,61620
1994-11-21 00:00:00+00:00,1.5388176690431394,1.5388176690431394,1.5069799423217773,1.5069799423217773,36400
1994-11-22 00:00:00+00:00,1.4963671307556066,1.4963671307556066,1.4645295143127441,1.4645295143127441,30420
1994-11-23 00:00:00+00:00,1.4326923774526281,1.4326923774526281,1.4220798015594482,1.4220798015594482,134680
1994-11-25 00:00:00+00:00,1.4326925456417774,1.453917384147644,1.4326925456417774,1.453917384147644,62140
1994-11-28 00:00:00+00:00,1.475142524911879,1.4963675737380981,1.475142524911879,1.4963675737380981,81120
1994-11-29 00:00:00+00:00,1.5175925493240356,1.5706553230344897,1.5175925493240356,1.5175925493240356,73060
1994-11-30 00:00:00+00:00,1.5494306778543236,1.6024932583926759,1.5494306778543236,1.5918806791305542,111800
1994-12-01 00:00:00+00:00,1.5918800932941066,1.6024926686506367,1.5812678337097168,1.5812678337097168,8580
