"('date', '')","('open', 'CCJ')","('high', 'CCJ')","('low', 'CCJ')","('close', 'CCJ')","('volume', 'CCJ')"
1996-03-14 00:00:00+00:00,5.995139122009277,6.105904032274349,5.995139122009277,5.995139122009277,229200
1996-03-15 00:00:00+00:00,5.95360219899137,5.967448208525754,5.8705286769877665,5.898220062255859,29400
1996-03-18 00:00:00+00:00,5.912063989889769,5.925909996032715,5.912063989889769,5.925909996032715,37200
1996-03-19 00:00:00+00:00,5.912065437989568,5.925911447523952,5.898220062255859,5.898220062255859,6600
1996-03-20 00:00:00+00:00,5.925909996032715,5.953600740717567,5.925909996032715,5.925909996032715,19800
1996-03-21 00:00:00+00:00,5.939760208129883,5.939760208129883,5.939760208129883,5.939760208129883,600
1996-03-22 00:00:00+00:00,5.912065029144287,5.912065029144287,5.912065029144287,5.912065029144287,6000
1996-03-25 00:00:00+00:00,5.898220382336441,5.912065758821502,5.8013014793396,5.8013014793396,24000
1996-03-26 00:00:00+00:00,5.8151479413953755,5.828993320465089,5.8151479413953755,5.828993320465088,19200
1996-03-27 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-03-28 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-03-29 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-04-01 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-04-02 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-04-03 00:00:00+00:00,5.828993320465089,5.828993320465089,5.828993320465089,5.828993320465088,0
1996-04-04 00:00:00+00:00,5.787453593207183,5.8012995990051435,5.745916843414307,5.745916843414307,24000
1996-04-08 00:00:00+00:00,5.7043804413534165,5.7043804413534165,5.662843689028512,5.690535068511963,21000
1996-04-09 00:00:00+00:00,5.704381898214393,5.759764671325684,5.648999758903806,5.759764671325684,63600
1996-04-10 00:00:00+00:00,5.773611170385408,5.828993320465089,5.773611170385408,5.828993320465088,42000
1996-04-11 00:00:00+00:00,5.828993320465089,5.828993320465089,5.8151479413953755,5.828993320465088,13800
1996-04-12 00:00:00+00:00,5.828992410280597,5.8705291748046875,5.828992410280597,5.8705291748046875,24600
1996-04-15 00:00:00+00:00,5.856682896238694,5.912065029144287,5.856682896238694,5.912065029144287,9000
1996-04-16 00:00:00+00:00,5.912065029144287,5.925911037721158,5.912065029144287,5.912065029144287,7800
1996-04-17 00:00:00+00:00,5.870529107828929,5.870529107828929,5.842838354329273,5.856683731079102,16800
1996-04-18 00:00:00+00:00,5.842837810516357,5.842837810516357,5.842837810516357,5.842837810516357,6000
1996-04-19 00:00:00+00:00,5.842837810516357,5.842837810516357,5.842837810516357,5.842837810516357,2400
1996-04-22 00:00:00+00:00,5.870528271014934,5.912065029144287,5.870528271014934,5.912065029144287,6000
1996-04-23 00:00:00+00:00,5.912068807081379,5.939760208129883,5.912068807081379,5.939760208129883,51000
1996-04-24 00:00:00+00:00,5.925911447523952,5.95360219899137,5.898220062255859,5.898220062255859,10800
1996-04-25 00:00:00+00:00,5.8843746865221505,5.912065437989568,5.856683301254058,5.898220062255859,5400
1996-04-26 00:00:00+00:00,5.8705291748046875,5.898220562420992,5.8705291748046875,5.8705291748046875,4200
