"('date', '')","('open', 'CBOE')","('high', 'CBOE')","('low', 'CBOE')","('close', 'CBOE')","('volume', 'CBOE')"
2010-06-15 00:00:00+00:00,26.244023013202398,27.004140161527587,25.843961677476063,25.995986938476562,17022500
2010-06-16 00:00:00+00:00,25.899967349095746,26.23602042360429,25.579918618745616,25.659931182861328,2158800
2010-06-17 00:00:00+00:00,25.88396616659676,25.98798296435358,25.00383248404851,25.2038631439209,1467700
2010-06-18 00:00:00+00:00,25.163858214723014,25.323881830720023,24.611773153168116,24.811803817749023,1132200
2010-06-21 00:00:00+00:00,25.331892970189685,26.40405786624129,24.811813347743986,25.635940551757812,1066900
2010-06-22 00:00:00+00:00,25.90797359324808,26.524068431681368,25.451902377372022,26.156009674072266,1008800
2010-06-23 00:00:00+00:00,26.404057798817103,26.80411928061736,25.603934835216585,26.788116455078125,1029400
2010-06-24 00:00:00+00:00,26.796104904845148,27.348188352406787,26.212012771285803,26.636079788208008,1600800
2010-06-25 00:00:00+00:00,26.644081600980257,26.68408711998175,25.659931182861328,25.659931182861328,640100
2010-06-28 00:00:00+00:00,25.979987422782926,26.444057044086087,25.411899460226298,26.228023529052734,718200
2010-06-29 00:00:00+00:00,25.803959544030775,25.843965072413496,25.019839589270003,25.41189956665039,622300
2010-06-30 00:00:00+00:00,25.595930339918255,26.124012836321764,25.323888442967124,26.04399871826172,402400
2010-07-01 00:00:00+00:00,25.803959010189875,26.003989700191347,24.003682800176627,24.251720428466797,1023200
2010-07-02 00:00:00+00:00,24.2037123703485,24.803804412588548,24.01968451032867,24.691787719726562,483700
2010-07-06 00:00:00+00:00,25.123851192449372,25.123851192449372,23.763643587542493,23.84365463256836,805200
2010-07-07 00:00:00+00:00,23.84365240792275,24.347730490786535,23.339575851171684,23.387582778930664,583700
2010-07-08 00:00:00+00:00,23.243563409504088,24.259719586626108,22.763491018966892,23.211559295654297,2176300
2010-07-09 00:00:00+00:00,23.379582736062464,23.467596713857333,22.93151448986757,23.17955207824707,448600
2010-07-12 00:00:00+00:00,23.003524662943732,23.075535818760226,21.339269722286573,21.44328498840332,1194500
2010-07-13 00:00:00+00:00,21.907356239868538,22.379428698615747,21.53930057433017,22.283414840698242,877900
2010-07-14 00:00:00+00:00,21.899364725600527,21.899364725600527,21.70733388415581,21.8753604888916,885100
2010-07-15 00:00:00+00:00,21.76333736788914,21.803342891189285,20.88320212026993,21.203250885009766,642100
2010-07-16 00:00:00+00:00,21.011218626249608,21.723327216887203,20.979212991288843,21.16324234008789,708700
2010-07-19 00:00:00+00:00,21.54729426798446,21.54729426798446,20.851187179832937,21.195240020751953,306000
