"('date', '')","('open', 'AGI')","('high', 'AGI')","('low', 'AGI')","('close', 'AGI')","('volume', 'AGI')"
2024-01-02 00:00:00+00:00,13.30384815806122,13.452661346647293,12.976460467747085,12.996302604675293,2497000
2024-01-03 00:00:00+00:00,12.728440289510791,12.867332418980107,12.649073628706963,12.738361358642578,2818500
2024-01-04 00:00:00+00:00,12.71851924335591,12.956620172322772,12.658994720708117,12.817728042602539,1662100
2024-01-05 00:00:00+00:00,12.787964853054289,13.085589336940412,12.708598197867968,12.88717269897461,2237200
2024-01-08 00:00:00+00:00,12.649073628706963,12.867332418980107,12.599469229173263,12.738361358642578,1615200
2024-01-09 00:00:00+00:00,12.768123524698842,12.807806854804832,12.371290223638942,12.420894622802734,3434200
2024-01-10 00:00:00+00:00,12.480419168609394,12.569706898048805,12.341527039911952,12.500261306762695,1542200
2024-01-11 00:00:00+00:00,12.668914769091653,12.797884873145504,12.401051600383301,12.609389305114746,3059200
2024-01-12 00:00:00+00:00,12.966539304722126,13.105431423831199,12.718518271679239,12.758201599121094,2124800
2024-01-16 00:00:00+00:00,12.520102423801479,12.6093901527061,12.242319114195602,12.27208137512207,3312700
2024-01-17 00:00:00+00:00,12.073663751562508,12.222475990317125,11.91493044459088,12.182792663574219,3162300
2024-01-18 00:00:00+00:00,12.212555889124936,12.3216848013234,12.093504962567339,12.232397079467773,2002700
2024-01-19 00:00:00+00:00,12.301843579764888,12.301843579764888,11.895089213171685,12.083585739135742,2201100
2024-01-22 00:00:00+00:00,11.954614651597266,12.133189162026895,11.825643593654906,11.994297981262207,1395600
2024-01-23 00:00:00+00:00,12.103426040168063,12.301842674375708,11.93477166456028,12.26215934753418,1919800
2024-01-24 00:00:00+00:00,12.460577819573999,12.510181272081788,11.964535725494423,12.004219055175781,2388300
2024-01-25 00:00:00+00:00,12.19271469116211,12.301843611760512,12.043902440698357,12.19271469116211,2532800
2024-01-26 00:00:00+00:00,12.222476920240615,12.26216025000275,12.063743601192067,12.083585739135742,1394800
2024-01-29 00:00:00+00:00,12.212556851032808,12.262160303859433,12.033981393256266,12.252240180969238,1592400
2024-01-30 00:00:00+00:00,12.321685732474778,12.36136906228447,12.073664684632895,12.143110275268555,2543500
2024-01-31 00:00:00+00:00,12.19271366415578,12.37128910657084,11.994297031541901,12.014138221740723,1977500
2024-02-01 00:00:00+00:00,12.133189342688159,12.609390251883216,12.113348150622862,12.579627990722656,3177500
2024-02-02 00:00:00+00:00,12.22247605256227,12.410972565144887,12.13318833040473,12.331605911254883,2361600
2024-02-05 00:00:00+00:00,12.12326816348717,12.311763729248467,12.033980441659399,12.212555885314941,1970400
2024-02-06 00:00:00+00:00,12.311763837589421,12.559784868793479,12.25223931993053,12.510180473327637,1995400
2024-02-07 00:00:00+00:00,12.440735739351839,12.520102399082536,12.15303136129676,12.19271469116211,1795800
2024-02-08 00:00:00+00:00,12.103426906316571,12.15303130494957,11.905010257909783,12.004219055175781,2269900
2024-02-09 00:00:00+00:00,12.004218037098964,12.004218037098964,11.756197011093821,11.8554048538208,1639200
2024-02-12 00:00:00+00:00,11.845484763344096,12.02406021956606,11.785960242020247,11.934772491455078,1480900
2024-02-13 00:00:00+00:00,11.62722671968908,11.62722671968908,11.151025826825864,11.29983901977539,4693800
2024-02-14 00:00:00+00:00,11.309758214625697,11.399045933845786,11.190708237707282,11.369283676147461,2199300
2024-02-15 00:00:00+00:00,11.607384689353434,11.736355745983776,11.547860168524169,11.637146949768066,2273900
2024-02-16 00:00:00+00:00,11.50817683167655,11.72643466940691,11.458572433601397,11.60738468170166,3178300
2024-02-20 00:00:00+00:00,11.716515531667834,11.766118987787817,11.587544464280263,11.67683219909668,1718500
2024-02-21 00:00:00+00:00,11.587543507858967,11.676831235305686,11.478413642701776,11.656989097595215,1394200
2024-02-22 00:00:00+00:00,11.557780200659291,11.65698899609743,11.270075829238914,11.359363555908203,2828900
2024-02-23 00:00:00+00:00,11.408967177161804,11.85540483399963,11.25023387216392,11.795880317687988,2899900
2024-02-26 00:00:00+00:00,11.637147920400247,11.67683219909668,11.498256729463849,11.67683219909668,1446300
2024-02-27 00:00:00+00:00,11.627225788586621,11.726433629816599,11.339521440606987,11.418888092041016,1939900
2024-02-28 00:00:00+00:00,11.379204776571386,11.488333685860173,11.270074921157486,11.448650360107422,2392500
2024-02-29 00:00:00+00:00,11.766117081812824,11.905009196375584,11.647067103384083,11.716513633728027,2343200
