"('date', '')","('open', 'BHE')","('high', 'BHE')","('low', 'BHE')","('close', 'BHE')","('volume', 'BHE')"
2024-01-02 00:00:00+00:00,26.712189248345396,26.95573583089482,26.37122366115361,26.575803756713867,290300
2024-01-03 00:00:00+00:00,26.449155528943283,26.59528309047303,25.991288673986677,26.15690040588379,223900
2024-01-04 00:00:00+00:00,26.010775785746436,26.21535402339997,25.91335678100586,25.91335678100586,180100
2024-01-05 00:00:00+00:00,25.776966330816762,26.186124615025573,25.757484018702243,25.98154640197754,176000
2024-01-08 00:00:00+00:00,26.088707111542636,26.40044639832373,26.04973877163864,26.26405906677246,151600
2024-01-09 00:00:00+00:00,25.93283802099733,26.17638457625116,25.75748420391653,26.15690040588379,155500
2024-01-10 00:00:00+00:00,26.195866235659143,26.244576660363613,26.039996592830256,26.147157669067383,224000
2024-01-11 00:00:00+00:00,26.186125408531016,26.29328648991547,25.74774271380996,26.13741683959961,133100
2024-01-12 00:00:00+00:00,26.458896857662133,26.458896857662133,25.90361102485717,26.059480667114258,96400
2024-01-16 00:00:00+00:00,25.962061994210682,26.215350630509413,25.74774169800994,25.776966094970703,170100
2024-01-17 00:00:00+00:00,25.42626201898103,25.640582329463427,24.70536440214441,24.909942626953125,165500
2024-01-18 00:00:00+00:00,25.10477894039494,25.15348750738355,24.880716559266983,25.14374542236328,127000
2024-01-19 00:00:00+00:00,25.289874291594927,25.289874291594927,24.909942246685606,25.163230895996094,169700
2024-01-22 00:00:00+00:00,25.38729527027453,25.932840953576566,25.34832878324608,25.91335678100586,218300
2024-01-23 00:00:00+00:00,26.176385316579555,26.614768013567264,26.030255892804178,26.283544540405273,418700
2024-01-24 00:00:00+00:00,26.50760890016948,26.51735098635217,25.991291339277467,26.312772750854492,170100
2024-01-25 00:00:00+00:00,26.6050241441444,26.61476622895037,26.29328486280409,26.429670333862305,231700
2024-01-26 00:00:00+00:00,26.536833190546286,26.546575276006433,26.21535180281274,26.25432014465332,190800
2024-01-29 00:00:00+00:00,26.23483579079689,26.254319961581313,25.72825849907858,26.07896614074707,138900
2024-01-30 00:00:00+00:00,26.244576862434606,27.15057032967368,26.2348347774187,26.955732345581055,239000
2024-01-31 00:00:00+00:00,26.858316039979396,27.140830959360372,26.34199848928203,26.419933319091797,295700
2024-02-01 00:00:00+00:00,26.984959243914453,28.855396874964057,26.93624881767374,28.835912704467773,582000
2024-02-02 00:00:00+00:00,28.58262536344585,30.29719342479848,28.494948450334256,29.547069549560547,474500
2024-02-05 00:00:00+00:00,29.225587375817664,29.62500358797148,28.90410598900818,29.391199111938477,327000
2024-02-06 00:00:00+00:00,29.352230598945514,29.352230598945514,28.514431695910503,28.582624435424805,273500
2024-02-07 00:00:00+00:00,28.494947537276566,28.543656106060983,27.842242681756318,27.949403762817383,203400
2024-02-08 00:00:00+00:00,27.871470321431616,28.76772178158936,27.59869749160521,28.74823760986328,263400
2024-02-09 00:00:00+00:00,28.719011265097876,29.498361408759227,28.465722607766402,29.352231979370117,274400
2024-02-12 00:00:00+00:00,29.420422747696282,30.082867775061363,29.352228155745518,29.89777374267578,214000
2024-02-13 00:00:00+00:00,29.050235639558494,29.235331559830207,28.05656515150563,28.241661071777344,327600
2024-02-14 00:00:00+00:00,28.51443223205569,29.235329840367438,28.280627752990757,29.137910842895508,252600
2024-02-15 00:00:00+00:00,29.22558709191323,29.858807773948794,29.0404911867262,29.761388778686523,246900
2024-02-16 00:00:00+00:00,29.60551959970082,30.063388327271422,29.449649948050816,29.566553115844727,260200
2024-02-20 00:00:00+00:00,29.079459499235735,29.284037716782095,28.358561907990385,28.465721130371094,233000
2024-02-21 00:00:00+00:00,28.192950622887203,28.90410614013672,28.01759680041739,28.90410614013672,256600
