"('date', '')","('open', 'BIPI')","('high', 'BIPI')","('low', 'BIPI')","('close', 'BIPI')","('volume', 'BIPI')"
2024-01-02 00:00:00+00:00,16.1231374441513,16.248422868327005,16.017128821573802,16.094226837158203,12200
2024-01-03 00:00:00+00:00,16.161688740692647,16.209874315205887,16.008455893261015,16.026765823364258,9600
2024-01-04 00:00:00+00:00,16.046039219077944,16.142412196840667,16.026764255893067,16.089406967163086,3200
2024-01-05 00:00:00+00:00,15.99978087889361,16.152050522585863,15.911118984668107,15.9785795211792,11600
2024-01-08 00:00:00+00:00,16.074952204940118,16.498992218472345,15.99785418776714,16.479717254638672,20600
2024-01-09 00:00:00+00:00,16.479716638546144,16.73028564453125,16.479716638546144,16.73028564453125,9400
2024-01-10 00:00:00+00:00,16.479716168375667,17.038677215576172,16.479716168375667,17.038677215576172,35200
2024-01-11 00:00:00+00:00,16.807383871700615,17.057952880859375,16.807383871700615,17.057952880859375,10900
2024-01-12 00:00:00+00:00,16.980854865592192,17.221786393072346,16.980854865592192,17.057952880859375,12500
2024-01-16 00:00:00+00:00,17.135050322151635,17.327794434782376,17.067587952661178,17.096500396728516,49800
2024-01-17 00:00:00+00:00,17.096501251665494,17.163961786367803,16.961580182260878,17.067588806152344,18000
2024-01-18 00:00:00+00:00,17.067590149365806,17.067590149365806,16.67246255373156,16.83629608154297,19500
2024-01-19 00:00:00+00:00,16.908573610127227,17.202510349297953,16.83725845597855,17.13504981994629,8100
2024-01-22 00:00:00+00:00,16.682099000681774,17.34707055324131,16.682099000681774,17.342252731323242,17800
2024-01-23 00:00:00+00:00,17.3470702396666,17.3470702396666,17.117702583851493,17.173599243164062,8200
2024-01-24 00:00:00+00:00,17.433805238414983,17.453080201510055,17.159143447875977,17.159143447875977,24800
2024-01-25 00:00:00+00:00,17.29888416209296,17.29888416209296,17.19769152498888,17.212148666381836,41400
2024-01-26 00:00:00+00:00,17.21214937400999,17.74219801344793,17.21214937400999,17.501266479492188,12900
2024-01-29 00:00:00+00:00,17.59764006889384,17.669918428681516,17.30852111525775,17.356708526611328,30700
2024-01-30 00:00:00+00:00,17.462718313484057,17.5687269380107,17.183236853000817,17.231422424316406,23100
2024-01-31 00:00:00+00:00,17.25069704764832,17.298884456174605,16.845932006835938,16.845932006835938,25600
2024-02-01 00:00:00+00:00,17.019402733548546,17.16396128053061,16.865206705012792,17.106138229370117,55400
2024-02-02 00:00:00+00:00,17.106137508930008,17.192873001098633,17.086862546634404,17.192873001098633,13800
2024-02-05 00:00:00+00:00,17.221787986658786,17.520542593693612,16.876772360388962,16.887374877929688,9500
2024-02-06 00:00:00+00:00,16.980853472199552,17.04831400025254,16.85556805881984,16.96639633178711,12200
2024-02-07 00:00:00+00:00,17.048316142055807,17.35188855643246,16.908575408869357,16.97218132019043,19900
2024-02-08 00:00:00+00:00,17.057952744343773,17.38561976614738,16.98085472969361,17.3759822845459,10200
