"('date', '')","('open', 'ACA')","('high', 'ACA')","('low', 'ACA')","('close', 'ACA')","('volume', 'ACA')"
2024-01-02 00:00:00+00:00,81.34852729411834,82.48390034893723,81.06966480324114,81.69710540771484,214800
2024-01-03 00:00:00+00:00,81.59751191692735,81.59751191692735,78.59972497360755,78.72920227050781,218700
2024-01-04 00:00:00+00:00,79.33672092469521,79.6454604258608,78.12167081265574,78.14158630371094,331600
2024-01-05 00:00:00+00:00,77.44443868311708,78.75908159231419,77.44443868311708,78.05196380615234,252900
2024-01-08 00:00:00+00:00,77.96232746553213,79.00806945630232,77.96232746553213,78.99810791015625,152800
2024-01-09 00:00:00+00:00,77.78305169697155,78.08183727110776,77.08091091665442,77.91252899169922,152500
2024-01-10 00:00:00+00:00,77.48427244160003,78.52004519171857,77.48427244160003,78.50012969970703,139100
2024-01-11 00:00:00+00:00,77.8324381020847,78.56492069655155,77.37401491426482,78.53004455566406,148100
2024-01-12 00:00:00+00:00,79.39704665700965,79.39704665700965,78.1712649272266,78.65958404541016,125900
2024-01-16 00:00:00+00:00,77.96199031637249,78.79910885849527,77.75270307758528,78.49017333984375,280100
2024-01-17 00:00:00+00:00,77.32417935180149,78.15133766441834,76.6564765418246,76.97537994384766,256800
2024-01-18 00:00:00+00:00,77.47365802532302,78.33071224475718,77.26437840475272,78.21112823486328,244200
2024-01-19 00:00:00+00:00,78.38055564851486,79.3173301461982,77.1747018820155,79.2176742553711,276900
2024-01-22 00:00:00+00:00,79.71594786220686,79.96509134886493,78.94360153291565,79.48674011230469,307600
2024-01-23 00:00:00+00:00,80.07471845425454,80.11458232618475,77.16472423265486,77.44376373291016,295100
2024-01-24 00:00:00+00:00,78.3805416047715,78.59978908726198,76.068490376859,76.41728973388672,339700
2024-01-25 00:00:00+00:00,77.48363845066876,78.0716135366152,77.16971516731185,78.04171752929688,237900
2024-01-26 00:00:00+00:00,78.68947916844667,78.7323311189226,77.6331132012139,78.25098419189453,106500
2024-01-29 00:00:00+00:00,78.18121898947295,80.27403025072137,77.70286777789163,80.06474304199219,235200
2024-01-30 00:00:00+00:00,79.4568524227129,80.2042829608787,79.09808515613278,79.91527557373047,140800
2024-01-31 00:00:00+00:00,79.93519839726017,80.22420576520256,77.81249854710464,78.01181030273438,249900
2024-02-01 00:00:00+00:00,78.39051900835572,80.7324665227052,78.39051900835572,80.36373138427734,238400
2024-02-02 00:00:00+00:00,79.52661210040097,81.14105719265935,79.52661210040097,80.46338653564453,126300
2024-02-05 00:00:00+00:00,79.30735635233461,80.42351430443209,78.38353035906722,80.03485107421875,186800
2024-02-06 00:00:00+00:00,80.01493271627085,80.84707114945533,79.76578919963154,80.26407623291016,140700
2024-02-07 00:00:00+00:00,80.53313665922953,81.66425019600806,79.82557008299858,81.29053497314453,168500
2024-02-08 00:00:00+00:00,81.17094383244311,82.80532447492473,81.17094383244311,82.287109375,153900
2024-02-09 00:00:00+00:00,82.09776998743041,83.53283909592086,82.01804983949181,83.2338638305664,150900
