"('date', '')","('open', 'CIG')","('high', 'CIG')","('low', 'CIG')","('close', 'CIG')","('volume', 'CIG')"
1996-11-18 00:00:00+00:00,0.4178145825862885,0.42100404518765105,0.41462515343954065,0.41781458258628845,8799
1996-11-19 00:00:00+00:00,0.4130300879478455,0.41781422760327,0.4130300879478455,0.41303008794784546,694022
1996-11-20 00:00:00+00:00,0.395687848329544,0.40505677609369517,0.39528920329514783,0.39568784832954407,3649388
1996-11-21 00:00:00+00:00,0.38572078943252563,0.3970831077794465,0.3841260757378984,0.38572078943252563,2525315
1996-11-22 00:00:00+00:00,0.3922989070415496,0.393893654084269,0.38751490009554973,0.3922989070415497,688522
1996-11-25 00:00:00+00:00,0.39708310365676874,0.39867781733483904,0.39229892916796205,0.3970831036567688,326663
1996-11-26 00:00:00+00:00,0.395687848329544,0.3988772762415277,0.392298997536557,0.39568784832954407,955792
1996-11-27 00:00:00+00:00,0.39708310365676874,0.39708310365676874,0.3936944207273592,0.3970831036567688,436651
1996-11-29 00:00:00+00:00,0.4076482653617859,0.4100402697525005,0.4064521962572148,0.4076482653617859,772113
1996-12-02 00:00:00+00:00,0.4082460701465606,0.4114354967514041,0.40346189678470734,0.40824607014656067,294767
1996-12-03 00:00:00+00:00,0.4050567150115967,0.414624930395468,0.39807979232434193,0.4050567150115967,2201951
1996-12-04 00:00:00+00:00,0.4050567150115967,0.4130302166799572,0.4050567150115967,0.4050567150115967,673124
1996-12-05 00:00:00+00:00,0.40505669853591175,0.4271833002567292,0.3827307408814659,0.4271833002567291,3058754
1996-12-06 00:00:00+00:00,0.44492450356483454,0.44651921720550675,0.44492450356483454,0.4449245035648346,457548
1996-12-09 00:00:00+00:00,0.43535637855529785,0.43535637855529785,0.4241934442427906,0.43535637855529785,2359233
1996-12-10 00:00:00+00:00,0.43057218194007874,0.4339608987773267,0.4275820097572702,0.43057218194007874,348661
1996-12-11 00:00:00+00:00,0.4210040271282196,0.42578820409773355,0.41781456466367256,0.4210040271282196,185879
1996-12-12 00:00:00+00:00,0.41462501883506775,0.41641912232959505,0.4050568014102937,0.41462501883506775,516942
1996-12-13 00:00:00+00:00,0.4050567150115967,0.40665146218170417,0.4050567150115967,0.4050567150115967,437751
1996-12-16 00:00:00+00:00,0.40525594353675837,0.40525594353675837,0.4018672607540006,0.4052559435367584,57194
1996-12-17 00:00:00+00:00,0.401867389678955,0.4020667791259458,0.39867792798302254,0.4018673896789551,918396
1996-12-18 00:00:00+00:00,0.41143542528152466,0.4130300379431843,0.40665128620530555,0.41143542528152466,1591520
1996-12-19 00:00:00+00:00,0.41940909624099737,0.4225985236054363,0.4148243111319143,0.4194090962409973,2359233
1996-12-20 00:00:00+00:00,0.4239940345287323,0.4257881718474607,0.3984787382003082,0.4239940345287323,1039383
1996-12-23 00:00:00+00:00,0.4210040271282196,0.42738291860270045,0.4210040271282196,0.4210040271282196,20898
1996-12-24 00:00:00+00:00,0.4289776682853698,0.4289776682853698,0.4289776682853698,0.4289776682853699,23097
1996-12-26 00:00:00+00:00,0.43057218194007874,0.43057218194007874,0.4082462209155828,0.43057218194007874,71492
1996-12-27 00:00:00+00:00,0.42578792572021484,0.4273826391825679,0.41781429149926674,0.42578792572021484,1764201
1996-12-30 00:00:00+00:00,0.4369511902332306,0.43715057976704236,0.41462521627705196,0.4369511902332306,629129
1996-12-31 00:00:00+00:00,0.4369511902332306,0.4369511902332306,0.4273830017067477,0.4369511902332306,7699
1997-01-02 00:00:00+00:00,0.42598727345466614,0.4385456614157597,0.421003842988233,0.42598727345466614,1694908
