"('date', '')","('open', 'COST')","('high', 'COST')","('low', 'COST')","('close', 'COST')","('volume', 'COST')"
1986-07-09 00:00:00+00:00,7.150192509997975,7.401076457717202,7.066564527424899,7.359262466430664,1116800
1986-07-10 00:00:00+00:00,7.401078047071184,7.442892047337123,7.15019404547555,7.317450046539307,595600
1986-07-11 00:00:00+00:00,7.275630589772963,7.317444558679704,7.066560745239258,7.066560745239258,800400
1986-07-14 00:00:00+00:00,7.1083812597321305,7.1083812597321305,6.773869200450618,6.857497215270996,738000
1986-07-15 00:00:00+00:00,6.815678635483268,6.815678635483268,6.230282924460164,6.648422718048096,2059200
1986-07-16 00:00:00+00:00,6.648425614392316,7.024751592565466,6.648425614392316,6.773867607116699,1160400
1986-07-17 00:00:00+00:00,6.773864617376971,6.8574925756161935,6.690236659137749,6.815678596496582,1046000
1986-07-18 00:00:00+00:00,6.815683207860808,6.92021822638628,6.69024118563024,6.857497215270996,1420000
1986-07-21 00:00:00+00:00,6.857497215270996,6.8993112226811855,6.815683207860808,6.857497215270996,322800
1986-07-22 00:00:00+00:00,6.8574925756161935,6.878399565175998,6.815678596496582,6.815678596496582,390800
1986-07-23 00:00:00+00:00,6.857494295013617,6.857494295013617,6.69023833659865,6.732052326202393,1004000
1986-07-24 00:00:00+00:00,6.732050676765681,6.773864656124474,6.564794759330509,6.648422718048096,1071600
1986-07-25 00:00:00+00:00,6.648424346994909,6.773866315806134,6.606610357391167,6.732052326202393,688400
1986-07-28 00:00:00+00:00,6.732053609541905,6.8574956022662885,6.669332613179713,6.773867607116699,414800
1986-07-29 00:00:00+00:00,6.690236659137749,6.815678596496582,6.690236659137749,6.815678596496582,278400
1986-07-30 00:00:00+00:00,6.732053609541905,6.773867607116699,6.6066116168175215,6.773867607116699,459200
1986-07-31 00:00:00+00:00,6.773866315806134,6.857494295013617,6.69023833659865,6.732052326202393,1213600
1986-08-01 00:00:00+00:00,6.690234159811949,6.773862086809598,6.5229783058166495,6.52297830581665,1118000
1986-08-04 00:00:00+00:00,6.5647922693154745,6.5647922693154745,6.376629433570764,6.52297830581665,892400
1986-08-05 00:00:00+00:00,6.522981568878772,6.522981568878772,6.355725631215214,6.3975396156311035,868800
1986-08-06 00:00:00+00:00,6.397542097797132,6.439356098436329,6.104844093322754,6.104844093322754,550400
1986-08-07 00:00:00+00:00,6.0212164921547044,6.063030495572446,5.435820444306331,5.603076457977295,7560000
1986-08-08 00:00:00+00:00,5.644887937626369,5.979399815411635,5.603073952903211,5.937585830688477,2802000
1986-08-11 00:00:00+00:00,6.02121609204436,6.104844093322754,5.937588090765966,6.104844093322754,1428000
1986-08-12 00:00:00+00:00,6.104841187795003,6.313911091486613,6.104841187795003,6.272097110748291,1155200
1986-08-13 00:00:00+00:00,6.313913708348428,6.752960688068021,6.272099710279895,6.481169700622559,865600
1986-08-14 00:00:00+00:00,6.522980238261975,6.56479421414827,6.272096382944207,6.355724334716797,762000
1986-08-15 00:00:00+00:00,6.355725072224935,6.355725072224935,6.146655168533325,6.272097110748291,654400
1986-08-18 00:00:00+00:00,6.313913708348428,6.606611694828157,6.18847171414283,6.481169700622559,606800
