"('date', '')","('open', 'ASBA')","('high', 'ASBA')","('low', 'ASBA')","('close', 'ASBA')","('volume', 'ASBA')"
2024-01-02 00:00:00+00:00,19.254630752065886,19.430718069210474,19.228084238389798,19.307722091674805,21500
2024-01-03 00:00:00+00:00,19.245780339450583,19.67051439705597,19.086504645912783,19.378509521484375,35200
2024-01-04 00:00:00+00:00,19.555483511521796,19.67051502287935,19.502392174567785,19.546634674072266,12600
2024-01-05 00:00:00+00:00,19.431600505174277,19.652816367142528,19.362581939352978,19.48469352722168,17300
2024-01-08 00:00:00+00:00,19.511241191617458,19.794398953872822,19.369663154361444,19.573183059692383,44000
2024-01-09 00:00:00+00:00,19.58202736976862,19.776698408565075,19.564331383486017,19.635120391845703,8800
2024-01-10 00:00:00+00:00,19.759002689538637,19.891731882377684,19.573182157112626,19.60857582092285,15100
2024-01-11 00:00:00+00:00,19.75015283400361,19.75015283400361,19.369661263125177,19.422754287719727,56700
2024-01-12 00:00:00+00:00,19.599725043794315,19.64396922885855,19.537784872447475,19.635120391845703,13400
2024-01-16 00:00:00+00:00,19.599721908569336,19.652813234410694,19.520084075935888,19.599721908569336,27800
2024-01-17 00:00:00+00:00,19.520088808279397,19.652817998932342,19.396208455369077,19.53778648376465,15300
2024-01-18 00:00:00+00:00,19.58202736976862,19.70590940020539,19.422753366766642,19.635120391845703,16000
2024-01-19 00:00:00+00:00,19.617421243288288,20.13949077360359,19.511236894858495,20.13064193725586,30700
2024-01-22 00:00:00+00:00,20.13064382748758,20.48458887591676,20.13064382748758,20.458044052124023,17500
2024-01-23 00:00:00+00:00,20.12179469955322,20.431497245357285,20.12179469955322,20.360708236694336,23400
2024-01-24 00:00:00+00:00,20.44034514949006,20.51113415492213,20.24567411874461,20.42264747619629,27400
2024-01-25 00:00:00+00:00,20.313812212924415,20.794292449951172,20.313812212924415,20.794292449951172,18400
2024-01-26 00:00:00+00:00,20.79428963595431,21.01550548314531,20.79428963595431,21.006656646728516,29900
2024-01-29 00:00:00+00:00,21.015504862503047,21.21017419469457,20.900473367967813,21.165931701660156,14800
2024-01-30 00:00:00+00:00,21.219024658203125,21.236722331871352,21.0597489706752,21.219024658203125,20700
2024-01-31 00:00:00+00:00,21.05090101267322,21.19247902109258,20.166037616180716,20.201431274414062,116700
