"('date', '')","('open', 'CTRN')","('high', 'CTRN')","('low', 'CTRN')","('close', 'CTRN')","('volume', 'CTRN')"
2005-05-18 00:00:00+00:00,15.82035956334183,15.82035956334183,14.466994819726091,14.653665542602539,3858700
2005-05-19 00:00:00+00:00,14.653667079921474,15.10167775194205,14.466996337461364,14.513664245605469,146200
2005-05-20 00:00:00+00:00,14.466997114278502,14.466997114278502,13.066965135477357,13.76698112487793,500700
2005-05-23 00:00:00+00:00,13.766983222367687,14.205660225126598,13.48697660592335,13.916319847106934,115600
2005-05-24 00:00:00+00:00,13.878986108141666,14.000322341918945,13.766983636220296,14.000322341918945,83300
2005-05-25 00:00:00+00:00,14.000317891440385,14.317658572731633,13.990984132551526,14.308324813842773,79000
2005-05-26 00:00:00+00:00,14.140322386325986,14.308326505726058,14.084321606603524,14.158989906311035,34000
2005-05-27 00:00:00+00:00,14.13098949566316,14.700335502624512,14.13098949566316,14.700335502624512,59700
2005-05-31 00:00:00+00:00,14.840338758854713,15.307016089511986,14.30832688674266,15.213680267333984,166300
2005-06-01 00:00:00+00:00,15.316348944705672,15.820361286545008,15.129677311380147,15.811027526855469,120800
2005-06-02 00:00:00+00:00,16.800382768362443,17.948408496944715,16.62304489623126,17.54706573486328,290900
2005-06-03 00:00:00+00:00,17.733743344137597,18.10708495323069,17.099061718562723,17.593740463256836,91100
2005-06-06 00:00:00+00:00,17.77106990426297,17.855070168470075,16.63237631529783,16.70704460144043,51200
2005-06-07 00:00:00+00:00,17.033722495939365,17.033722495939365,15.727026331749466,15.979032516479492,44300
2005-06-08 00:00:00+00:00,15.783027798998006,16.221703866125186,15.316350450050146,15.773694038391113,54600
2005-06-09 00:00:00+00:00,15.820362214761618,16.69771431426298,15.680357591436769,16.13770294189453,78300
2005-06-10 00:00:00+00:00,16.137704933462174,16.931055068969727,16.137704933462174,16.931055068969727,20400
2005-06-13 00:00:00+00:00,16.98705798624151,17.73374111037461,16.97772422466072,17.341732025146484,84800
2005-06-14 00:00:00+00:00,17.34173056834928,17.351064329145984,16.753717880019767,17.211061477661133,41200
2005-06-15 00:00:00+00:00,17.22039885416374,17.92041503880075,17.21106509140726,17.593740463256836,77000
2005-06-16 00:00:00+00:00,17.65906929556574,17.65906929556574,16.93105205875186,16.940385818481445,44800
2005-06-17 00:00:00+00:00,16.98705362088765,16.98705362088765,16.063031044409026,16.184368133544922,76800
2005-06-20 00:00:00+00:00,16.34304014842545,16.529710010437707,14.747003660022182,15.549688339233398,268900
2005-06-21 00:00:00+00:00,15.633691487586244,15.913697190196146,15.400352808667048,15.755026817321777,33000
2005-06-22 00:00:00+00:00,15.475017819745421,15.680355172589723,14.747001545760554,15.12967586517334,122200
2005-06-23 00:00:00+00:00,15.213678292169922,15.773691372299721,14.943006401250564,15.493685722351074,84500
2005-06-24 00:00:00+00:00,15.493686005634023,15.568354299001047,14.989673690232209,15.260347366333008,199300
2005-06-27 00:00:00+00:00,15.764357613270432,15.867027182360104,14.84967059119018,15.493685722351074,84700
2005-06-28 00:00:00+00:00,15.727024539662102,16.081698485723226,15.447017106235661,15.913694381713867,95900
2005-06-29 00:00:00+00:00,15.923030738273033,16.501711437564786,15.633691278743566,16.305706024169922,125500
2005-06-30 00:00:00+00:00,16.100365413397245,17.201724027962484,16.100365413397245,16.875049591064453,84400
