"('date', '')","('open', 'ASA')","('high', 'ASA')","('low', 'ASA')","('close', 'ASA')","('volume', 'ASA')"
2024-01-02 00:00:00+00:00,15.012380835312621,15.23168451283994,15.012380835312621,15.092127799987793,84000
2024-01-03 00:00:00+00:00,14.852886414295243,14.87282363140955,14.693392480016133,14.803045272827148,139600
2024-01-04 00:00:00+00:00,14.703360462188721,15.072190407161179,14.703360462188721,14.952569961547852,26500
2024-01-05 00:00:00+00:00,15.022348166862827,15.022348166862827,14.753202404590274,14.942601203918457,125400
2024-01-08 00:00:00+00:00,14.912697845053302,15.012382034187356,14.583741351833359,14.723299026489258,389600
2024-01-09 00:00:00+00:00,14.822980284087373,14.892758636761013,14.74323332370071,14.783106803894043,226000
2024-01-10 00:00:00+00:00,14.872823120566926,14.952570084967382,14.753202673966245,14.8329496383667,121400
2024-01-11 00:00:00+00:00,14.842919183065778,15.00241312192964,14.523930354679193,14.703361511230469,98300
2024-01-12 00:00:00+00:00,14.872823050729089,15.261590213349889,14.872823050729089,15.211748123168945,119000
2024-01-16 00:00:00+00:00,15.171874774224932,15.29149522131308,14.723297859979676,14.773138999938965,28700
2024-01-17 00:00:00+00:00,14.543866985069712,14.783107883704702,14.543866985069712,14.663487434387207,23500
2024-01-18 00:00:00+00:00,14.693392952166812,14.693392952166812,14.494025527911544,14.513962745666504,25000
2024-01-19 00:00:00+00:00,14.563803053702063,14.633582361184672,14.274720067442148,14.394340515136719,31400
2024-01-22 00:00:00+00:00,14.324562795090765,14.384373496926257,14.175037466490322,14.244815826416016,16400
2024-01-23 00:00:00+00:00,14.135164000885261,14.494025360397213,14.115226783360725,14.374404907226562,73900
2024-01-24 00:00:00+00:00,14.583740702031907,14.583740702031907,14.175037255978697,14.294657707214355,32400
2024-01-25 00:00:00+00:00,14.434214401695572,14.673456254439579,14.3744046515037,14.613645553588867,103500
2024-01-26 00:00:00+00:00,14.703360617897877,14.733265491953205,14.59370877925581,14.643549919128418,49800
2024-01-29 00:00:00+00:00,14.68342401623799,14.922665870674422,14.553835906352598,14.813013076782227,61200
2024-01-30 00:00:00+00:00,14.912696330479015,14.962538419983943,14.743233796557531,14.942601203918457,54500
2024-01-31 00:00:00+00:00,14.892759547966937,14.992443729878769,14.494024721637242,14.523929595947266,129400
2024-02-01 00:00:00+00:00,14.613645010936045,15.082159139782823,14.613645010936045,14.8329496383667,77300
2024-02-02 00:00:00+00:00,14.723297872740156,14.723297872740156,14.254783741578084,14.454151153564453,47100
2024-02-05 00:00:00+00:00,14.18500476593247,14.34449964990822,14.165068499597272,14.284688949584961,25400
2024-02-06 00:00:00+00:00,14.304626481302966,14.45415180941266,14.21491090417361,14.43421459197998,37400
2024-02-07 00:00:00+00:00,14.31459420531181,14.593709546702183,14.304626547208397,14.374404907226562,83000
2024-02-08 00:00:00+00:00,14.254784306325174,14.454151726210094,14.244815697666215,14.364436149597168,32400
2024-02-09 00:00:00+00:00,14.344499715365085,14.344499715365085,14.194973439204032,14.224879264831543,36300
2024-02-12 00:00:00+00:00,14.155099913024666,14.424246638907963,14.155099913024666,14.414278030395508,31600
2024-02-13 00:00:00+00:00,14.145131544292793,14.145131544292793,13.507155799222355,13.596871376037598,87100
2024-02-14 00:00:00+00:00,13.507155269056764,13.716491289856123,13.497186660766602,13.497186660766602,61200
2024-02-15 00:00:00+00:00,13.527091644292986,13.856048115256216,13.527091644292986,13.696554183959961,154600
2024-02-16 00:00:00+00:00,13.616807009898823,13.846080245622145,13.507155171475636,13.7463960647583,59300
2024-02-20 00:00:00+00:00,13.8062077381075,13.94576446037883,13.8062077381075,13.875986099243164,31400
2024-02-21 00:00:00+00:00,13.885954176597885,13.94576392652206,13.726460242588299,13.776301383972168,50200
2024-02-22 00:00:00+00:00,13.706522768116502,13.71649137646961,13.55699744545512,13.566965103149414,33800
2024-02-23 00:00:00+00:00,13.49718679323703,13.92582744733288,13.49718679323703,13.826143264770508,41100
2024-02-26 00:00:00+00:00,13.856048611629666,13.856048611629666,13.477250986560577,13.537060737609863,43500
2024-02-27 00:00:00+00:00,13.487218177819853,13.606838626437064,13.367597729202643,13.37756633758545,77800
2024-02-28 00:00:00+00:00,13.277882706391638,13.347662017309796,13.138325985873044,13.158262252807617,67000
2024-02-29 00:00:00+00:00,13.29782002408816,13.487218839357235,13.29782002408816,13.357629776000977,68000
2024-03-01 00:00:00+00:00,13.48721740070082,13.885953157108947,13.36759695897601,13.836111068725586,43800
