"('date', '')","('open', 'AAP')","('high', 'AAP')","('low', 'AAP')","('close', 'AAP')","('volume', 'AAP')"
2024-01-02 00:00:00+00:00,58.81855123937118,61.44342908668028,58.364986177247296,59.7835807800293,1415700
2024-01-03 00:00:00+00:00,59.04051165404676,60.85476834607047,58.693100406500115,58.86680603027344,1773900
2024-01-04 00:00:00+00:00,58.70275162574446,59.35896835902359,58.09478195432745,58.37464141845703,2045800
2024-01-05 00:00:00+00:00,58.38428743446047,60.70035981346969,58.16233108101055,59.36861801147461,1382600
2024-01-08 00:00:00+00:00,59.05016116814434,60.42050514387665,58.72205094983907,59.7449836730957,1390100
2024-01-09 00:00:00+00:00,59.45546791521453,60.14063797475845,58.93435110318307,59.243160247802734,992100
2024-01-10 00:00:00+00:00,59.14666032468967,60.2757430991294,58.451837890391076,58.84749984741211,1250200
2024-01-11 00:00:00+00:00,58.75060496030077,60.70798986584238,58.401763573666614,60.494808197021484,1196400
2024-01-12 00:00:00+00:00,60.8630212430062,62.22931401150423,59.39982604980469,59.39982604980469,1238800
2024-01-16 00:00:00+00:00,59.10913227319544,60.107203323796895,58.9347115871651,59.496734619140625,1268200
2024-01-17 00:00:00+00:00,58.85719588914343,60.06844865220537,58.527734989732586,59.14789581298828,1038500
2024-01-18 00:00:00+00:00,59.0509904844604,60.378526109258445,59.0509904844604,60.242862701416016,1569300
2024-01-19 00:00:00+00:00,60.55294280111329,61.87078255091328,59.00253722463442,61.77388381958008,1473900
2024-01-22 00:00:00+00:00,62.25839166330122,63.663441903211776,61.531640009644,63.41150665283203,1751100
2024-01-23 00:00:00+00:00,65.02974848659443,67.22938057453175,63.17895044418928,64.03167724609375,2272400
2024-01-24 00:00:00+00:00,64.73903494205646,64.87469465930714,63.072349966805234,63.41150665283203,1492300
2024-01-25 00:00:00+00:00,64.15763058781494,65.63051797571582,63.169251661194274,64.08010864257812,919800
2024-01-26 00:00:00+00:00,64.59369032538302,65.27198890953342,63.7894167235332,64.19639587402344,781800
